title,rating,total_votes,show_desc,year,link,genre,encoded_title
Planet Earth II,9.5,110000,David Attenborough returns with a new wildlife documentary that shows life in a variety of habitats.,2016,https://www.imdb.com/title/tt5491994,Documentary,tt5491994
Planet Earth,9.4,178000,"Emmy Award-winning, 11 episodes, five years in the making, the most expensive nature documentary series ever commissioned by the BBC, and the first to be filmed in high definition.",2006,https://www.imdb.com/title/tt0795176,Documentary,tt0795176
Breaking Bad,9.4,1700000,A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.,2008,https://www.imdb.com/title/tt0903747,"Crime, Drama, Thriller",tt0903747
Band of Brothers,9.4,415000,"The story of Easy Company of the U.S. Army 101st Airborne Division and their mission in World War II Europe, from Operation Overlord to V-J Day.",2001,https://www.imdb.com/title/tt0185906,"Drama, History, War",tt0185906
Chernobyl,9.3,654000,"In April 1986, an explosion at the Chernobyl nuclear power plant in the Union of Soviet Socialist Republics becomes one of the world's worst man-made catastrophes.",2019,https://www.imdb.com/title/tt7366338,"Drama, History, Thriller",tt7366338
The Wire,9.3,317000,"The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement.",2002,https://www.imdb.com/title/tt0306414,"Crime, Drama, Thriller",tt0306414
Blue Planet II,9.3,39000,"David Attenborough returns to the world's oceans in this sequel to the acclaimed documentary filming rare and unusual creatures of the deep, as well as documenting the problems our oceans face.",2017,https://www.imdb.com/title/tt6769208,Documentary,tt6769208
Cosmos: A Spacetime Odyssey,9.2,118000,An exploration of our discovery of the laws of nature and coordinates in space and time.,2014,https://www.imdb.com/title/tt2395695,Documentary,tt2395695
Our Planet,9.2,40000,"Documentary series focusing on the breadth of the diversity of habitats around the world, from the remote Arctic wilderness and mysterious deep oceans to the vast landscapes of Africa and diverse jungles of South America.",2019,https://www.imdb.com/title/tt9253866,Documentary,tt9253866
Avatar: The Last Airbender,9.2,287000,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.",2005,https://www.imdb.com/title/tt0417299,"Animation, Action, Adventure",tt0417299
Cosmos,9.2,40000,Astronomer Carl Sagan leads us on an engaging guided tour of the various elements and cosmological theories of the universe.,1980,https://www.imdb.com/title/tt0081846,Documentary,tt0081846
The Sopranos,9.2,362000,"New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling.",1999,https://www.imdb.com/title/tt0141842,"Crime, Drama",tt0141842
Game of Thrones,9.2,2000000,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.",2011,https://www.imdb.com/title/tt0944947,"Action, Adventure, Drama",tt0944947
Rick and Morty,9.1,460000,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,2013,https://www.imdb.com/title/tt2861424,"Animation, Adventure, Comedy",tt2861424
The World at War,9.1,25000,"A groundbreaking 26-part documentary series narrated by the actor Laurence Olivier about the deadliest conflict in history, World War II.",1973,https://www.imdb.com/title/tt0071075,"Documentary, History, War",tt0071075
