tv_show,episode,rating,year,total_votes,desc,genre,encoded_title,genre1,genre2,genre3
Attack on Titan,Hero,9.9,2019,83546,"As Erwin's heroic charge buys Levi time to confront the Beast Titan, Armin comes up with a plan of his own that lays it all on the line.","Animation, Action, Adventure",tt2560140,Animation,Action,Adventure
Attack on Titan,Perfect Game,9.9,2019,44994,"While one front is rained on by flames, the other is battered by boulders. With no way out and limited options, the Scouts are forced to fight against the Titans with little hope left.","Animation, Action, Adventure",tt2560140,Animation,Action,Adventure
Mr. Robot,407 Proxy Authentication Required,9.9,2019,26074,Vera holds Krista hostage as he tries to force Elliot into joining him by understanding Mr. Robot. Elliot realizes a shocking truth.,"Crime, Drama, Thriller",tt4158110,Crime,Drama,Thriller
Attack on Titan,Senshi,9.9,2017,27872,"Following the battle, the Scouts regroup atop the wall only to find more questions than answers. Before they leave for Trost to get medical attention, Reiner must fulfill what he came to do.","Animation, Action, Adventure",tt2560140,Animation,Action,Adventure
Game of Thrones,The Winds of Winter,9.9,2016,142118,Cersei and Loras Tyrell stand trial by the gods. Daenerys prepares to set sail for Westeros. Davos confronts Melisandre. Sam and Gilly arrive in the Citadel. Bran discovers a long-kept secret. Lord Frey has an uninvited guest.,"Action, Adventure, Drama",tt0944947,Action,Adventure,Drama
Game of Thrones,Battle of the Bastards,9.9,2016,201902,Jon and Sansa face Ramsay Bolton on the fields of Winterfell. Daenerys strikes back at her enemies. Theon and Yara arrive in Meereen.,"Action, Adventure, Drama",tt0944947,Action,Adventure,Drama
Game of Thrones,Hardhome,9.9,2015,97548,Tyrion advises Daenerys. Sansa forces Theon to tell her a secret. Cersei remains stubborn. Arya meets her first target. Jon and Tormund meet with the wildling elders.,"Action, Adventure, Drama",tt0944947,Action,Adventure,Drama
Breaking Bad,Felina,9.9,2013,106559,"Walter White makes one last attempt to secure his family's future, while also visiting some old enemies, during his final return to Albuquerque.","Crime, Drama, Thriller",tt0903747,Crime,Drama,Thriller
Breaking Bad,Ozymandias,9.9,2013,160353,"Walt goes on the run. Jesse is taken hostage. Marie convinces Skyler to tell Walter, Jr. the truth.","Crime, Drama, Thriller",tt0903747,Crime,Drama,Thriller
Game of Thrones,The Rains of Castamere,9.9,2013,100052,Robb and Catelyn arrive at the Twins for the wedding. Jon is put to the test to see where his loyalties truly lie. Bran's group decides to split up. Daenerys plans an invasion of Yunkai.,"Action, Adventure, Drama",tt0944947,Action,Adventure,Drama
Attack on Titan,Memories of the Future,9.9,2022,33640,"Zeke takes Eren through Grisha's memories to show him how he's been brainwashed. But in doing so, Zeke discovers something about Eren that he never knew.","Animation, Action, Adventure",tt2560140,Animation,Action,Adventure
Breaking Bad,Face Off,9.9,2011,55169,"Jesse is brought to the FBI for questioning on his knowledge of ricin. In a last effort to kill Gus, Walt must ask for help from an old enemy.","Crime, Drama, Thriller",tt0903747,Crime,Drama,Thriller
Attack on Titan,Assault,9.9,2021,68169,"As the battle between Eren and the warriors rages on, another party makes their move on Marley's Forces that pushes the tide of the battle into a more devastating climax.","Animation, Action, Adventure",tt2560140,Animation,Action,Adventure
Attack on Titan,The War Hammer Titan,9.9,2021,50994,"As the Attack Titan rampages, several people are crushed to death. While all of this is going on, the War Hammer Titan appears to confront Eren.","Animation, Action, Adventure",tt2560140,Animation,Action,Adventure
