tv_show,encoded_title,show_desc,rating_count
One Piece,tt0388629,"Follows the adventures of Monkey D. Luffy and his pirate crew in order to find the greatest treasure ever left by the legendary Pirate, Gold Roger. The famous mystery treasure named ""One Piece"".",80
Attack on Titan,tt2560140,"After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.",42
Regular Show,tt1710308,The daily surreal adventures of a blue jay and raccoon duo that attempt to deal with their mundane jobs as groundskeepers at the local park.,29
Young Justice,tt1641384,Teenage superheroes strive to prove themselves as members of the Justice League.,24
Game of Thrones,tt0944947,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.",19
Breaking Bad,tt0903747,A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.,16
Mr. Robot,tt4158110,"Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for.",12
Hunter x Hunter,tt2098220,"Gon Freecss aspires to become a Hunter, an exceptional being capable of greatness. With his friends and his potential, he seeks for his father who left him when he was younger.",11
The Office,tt0386676,"A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium.",11
Community,tt1439629,A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.,10
