tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
1883,1,1,1883,"Dec 19, 2021",8.8,2800,"The Dutton family embarks westward through the last bastion of untamed America. James arrives in Texas, where he and his family prepare to make their way through The Great Plains in search of a new home and the promise of opportunity.",https://www.imdb.com/title/tt14103574/,tt13991232,Follows the Dutton family on a journey west through the Great Plains toward the last bastion of uncolonised America.
1883,1,2,"Behind Us, A Cliff","Dec 19, 2021",9.0,2400,"Thomas and Shea recruit James and some local cowboys to corral a herd of cattle. As they begin their journey, the caravan is confronted with some of the many dangers they will face along the way.",https://www.imdb.com/title/tt15294862/,tt13991232,Follows the Dutton family on a journey west through the Great Plains toward the last bastion of uncolonised America.
1883,1,3,River,"Dec 26, 2021",8.5,1900,James butts heads with Shea and Thomas about an important decision. Tensions rise in camp when an accusation is made. Elsa begins a flirtation with a cowboy.,https://www.imdb.com/title/tt15294860/,tt13991232,Follows the Dutton family on a journey west through the Great Plains toward the last bastion of uncolonised America.
1883,1,4,The Crossing,"Jan 9, 2022",8.4,1800,The group faces the harrowing task of crossing the river with their wagons and supplies. Thomas and Noemi grow closer.,https://www.imdb.com/title/tt15294864/,tt13991232,Follows the Dutton family on a journey west through the Great Plains toward the last bastion of uncolonised America.
1883,1,5,The Fangs of Freedom,"Jan 16, 2022",9.2,2200,"Shea and Thomas cope with the aftermath of the river crossing, but there is little time to grieve and no shortage of challenges ahead. Elsa and Ennis share a romantic moment.",https://www.imdb.com/title/tt15294870/,tt13991232,Follows the Dutton family on a journey west through the Great Plains toward the last bastion of uncolonised America.
1883,1,6,Boring The Devil,"Jan 30, 2022",8.3,1600,Shea helps Elsa cope with her loss. The group crosses another river and prepares to enter Indian territory. Thomas buys Noemi a gift.,https://www.imdb.com/title/tt15294866/,tt13991232,Follows the Dutton family on a journey west through the Great Plains toward the last bastion of uncolonised America.
1883,1,7,Lightning Yellow Hair,"Feb 6, 2022",8.8,1900,Elsa makes an unlikely friend; the group faces a harrowing challenge from mother nature; the camp searches for one of their own.,https://www.imdb.com/title/tt15294868/,tt13991232,Follows the Dutton family on a journey west through the Great Plains toward the last bastion of uncolonised America.
1883,1,8,The Weep of Surrender,"Feb 13, 2022",7.6,1700,Elsa makes a big decision. Shea faces doubts as winter looms.,https://www.imdb.com/title/tt15294874/,tt13991232,Follows the Dutton family on a journey west through the Great Plains toward the last bastion of uncolonised America.
1883,1,9,Racing Clouds,"Feb 20, 2022",9.3,1800,A misunderstanding leads to a battle with serious consequences.,https://www.imdb.com/title/tt15294872/,tt13991232,Follows the Dutton family on a journey west through the Great Plains toward the last bastion of uncolonised America.
1883,1,10,This Is Not Your Heaven,"Feb 27, 2022",9.1,1600,James and Margaret face a heavy decision. Shea and Thomas take bold action to help one of their own.,https://www.imdb.com/title/tt15294876/,tt13991232,Follows the Dutton family on a journey west through the Great Plains toward the last bastion of uncolonised America.
