tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
Arrested Development,1,1,Pilot,"Nov 2, 2003",8.1,3658,"After his father fails to promote him within the family business, Michael accepts a job in Arizona -- until his dad is arrested for shady bookkeeping.",https://www.imdb.com/title/tt0515236/,tt0367279,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable."
Arrested Development,1,2,Top Banana,"Nov 9, 2003",8.5,3221,"Michael suspects that George Sr. is running the business from inside prison. George Michael is made manager of the banana stand, and Michael gives Gob a letter to mail after Lucille suggests that he be included in the business.",https://www.imdb.com/title/tt0515256/,tt0367279,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable."
Arrested Development,1,3,Bringing Up Buster,"Nov 16, 2003",8.1,2948,A reluctant Michael takes Buster under his wing while attempting to get closer to an increasingly distant George-Michael.,https://www.imdb.com/title/tt0515212/,tt0367279,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable."
Arrested Development,1,4,Key Decisions,"Nov 23, 2003",8.4,2804,"Determined to not be upstaged by his actress girlfriend, Gob decides to pull an elaborate escape at the Orange County Prison, where George Sr. is being held. Meanwhile, Michael falls for Gob's girlfriend Marta.",https://www.imdb.com/title/tt0515223/,tt0367279,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable."
Arrested Development,1,5,Charity Drive,"Nov 30, 2003",8.3,2679,Michael trades in his bicycle for his father's car and ends up giving a ride to a complete stranger who mistakes Michael for a killer.,https://www.imdb.com/title/tt0515214/,tt0367279,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable."
Arrested Development,1,6,Visiting Ours,"Dec 7, 2003",8.1,2592,"Michael gets a tip about the company's international accounts, and has Gob question the office secretary Kitty about them. But that's not before Michael does the unthinkable - setting up a conjugal visit between George Sr. and Lucille.",https://www.imdb.com/title/tt0515257/,tt0367279,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable."
Arrested Development,1,7,In God We Trust,"Dec 21, 2003",8.1,2537,"The family attorney arranges George Sr.'s release from prison for Christmas. Later, George-Michael has to wear an embarrassing codpeice in a pageant.",https://www.imdb.com/title/tt0515221/,tt0367279,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable."
Arrested Development,1,8,My Mother the Car,"Dec 14, 2003",8.1,2488,Michael loses his short-term memory after he and Lucille have a car accident. George-Michael and Maeby want to see an R-rated movie about cousins in love.,https://www.imdb.com/title/tt0515231/,tt0367279,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable."
Arrested Development,1,9,Storming the Castle,"Jan 4, 2004",8.4,2463,Michael decides to expose Marta to Gob's womanizing by having her participate in a magic trick that involves one of Gob's many girlfriends.,https://www.imdb.com/title/tt0515247/,tt0367279,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable."
Arrested Development,1,10,Pier Pressure,"Jan 11, 2004",9.1,3138,"When Buster asks George-Michael to buy him marijuana to treat Lucille Austero's vertigo, Michael stages a phony bust to teach George-Michael a lesson.",https://www.imdb.com/title/tt0515235/,tt0367279,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable."
Arrested Development,1,11,Public Relations,"Jan 25, 2004",8.2,2455,"After having a tough time getting George-Michael admitted to a private school, Michael hires an attractive publicist to change the family's image.",https://www.imdb.com/title/tt0515238/,tt0367279,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable."
Arrested Development,1,12,Marta Complex,"Feb 8, 2004",8.4,2387,Michael delivers a speech about love that makes Marta realise she has feelings for him. George-Michael realises that Maeby might not be his cousin.,https://www.imdb.com/title/tt0515226/,tt0367279,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable."
Arrested Development,1,13,Beef Consomme,"Feb 15, 2004",8.4,2367,"Michael tells Gob about his flirtation with Marta. Meanwhile, George-Michael tries to determine whether he and Maeby are related by blood.",https://www.imdb.com/title/tt0515210/,tt0367279,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable."
Arrested Development,1,14,Shock and Aww,"Mar 7, 2004",8.6,2456,"George Bluth Sr. gets a visit from a rabid female fan who may be in love with him. George Michael is interested in his teacher, and so is his father. Gob tries to get revenge on Michael for trying to steal his girlfriend.",https://www.imdb.com/title/tt0515244/,tt0367279,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable."
Arrested Development,1,15,Staff Infection,"Mar 14, 2004",8.2,2308,"Michael learns that most of his family is on the company payroll despite not working there. Gob and Buster are sent to work at the construction site, while Lindsay answers phone calls for the company.",https://www.imdb.com/title/tt0515246/,tt0367279,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable."
Arrested Development,1,16,Altar Egos,"Mar 17, 2004",8.5,2338,"Michael has a one-night stand with a woman named Maggie Lizer. He has a guilt-trip after learning she is blind, but not so much after he discovers that she's the prosecuting attorney against his family. Meanwhile, Gob gets married to a woman after a series of escalating dares, and tries to get a subsequent divorce.",https://www.imdb.com/title/tt0515208/,tt0367279,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable."
Arrested Development,1,17,Justice Is Blind,"Mar 21, 2004",8.7,2446,"While grappling with the dilemma of whether or not to open his father's case file, Michael discovers the truth about Maggie.",https://www.imdb.com/title/tt0515222/,tt0367279,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable."
Arrested Development,1,18,Missing Kitty,"Mar 28, 2004",8.3,2233,"Michael disobeys his father and fires the incompetent Kitty, who could reveal secrets that would further damage the family's reputation.",https://www.imdb.com/title/tt0515228/,tt0367279,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable."
Arrested Development,1,19,Best Man for the Gob,"Apr 4, 2004",8.1,2222,Gob throws a bachelor party to scare the company accountant -- who's getting ready to testify against George Sr. -- into believing he killed a stripper.,https://www.imdb.com/title/tt0515211/,tt0367279,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable."
