tv,season,episode_number,title,airdate,rating,total_votes,desc,encoded_title
Atlanta,1,1,The Big Bang,"Sep 6, 2016",8.2,2762,"Broke and low on options, Earn seeks to enter the music industry, by offering to be a manager for his rapper cousin, Paper Boi.",tt4288182
Atlanta,1,2,Streets on Lock,"Sep 6, 2016",8.5,2537,Earn awaits bail after the boys get arrested for their shooting incident.,tt4288182
Atlanta,1,3,Go for Broke,"Sep 13, 2016",8.2,2240,"Earn takes Van on a date, still broke. Paper Boi and Darius meet up with a group of thugs for a deal.",tt4288182
Atlanta,1,4,The Streisand Effect,"Sep 20, 2016",8.2,2180,"When a blogger begins trashing Paper Boi online, he decides to hunt down the blogger. Darius helps Earn look for a way to make big money fast.",tt4288182
Atlanta,1,5,Nobody Beats the Biebs,"Sep 27, 2016",8.1,2138,Paper Boi attends a celebrity event for the youth and is outwitted by a more famous hip hop artist. Earn faces a case of mistaken identity. Darius runs into trouble at the shooting range.,tt4288182
Atlanta,1,6,Value,"Oct 4, 2016",7.9,2164,"When Van meets up with an old friend, things don't go well for her and a sticky situation puts her job on the line.",tt4288182
Atlanta,1,7,B.A.N.,"Oct 11, 2016",9.3,4416,Paper Boi appears on Montague as a guest and must put up with a tedious interview.,tt4288182
Atlanta,1,8,The Club,"Oct 18, 2016",8.7,2208,"Earn, Paper Boi, and Darius attend the Primal Night Club. Paper Boi cannot contend with a popular NBA player who is drawing more people toward him. Earn tails an evasive club owner who owes him money.",tt4288182
Atlanta,1,9,Juneteenth,"Oct 25, 2016",8.4,2066,Earn and Van attend a Juneteenth party hosted by a wealthy couple and meet some unusual characters.,tt4288182
Atlanta,1,10,The Jacket,"Nov 1, 2016",8.6,2050,Earn wakes up from a night of partying and goes on a quest to find his navy blue bomber jacket.,tt4288182
Atlanta,2,1,Alligator Man,"Mar 1, 2018",8.9,2462,"As ""Robbin' Season"" dawns on Atlanta, things escalate when Earn and Darius pay a visit to Earn's uncle, ""The Alligator Man.""",tt4288182
Atlanta,2,2,Sportin' Waves,"Mar 8, 2018",8.3,1829,"Things feel a little different back in the city at the beginning of Robbin' Season. Al and Darius have become mysteriously distant, while Tracy provides Earn with another way to make some extra cash while Tracy also prepares for his interview.",tt4288182
Atlanta,2,3,Money Bag Shawty,"Mar 15, 2018",8.4,1852,"Earn struggles to shake his ""broke"" persona while Al and Darius pay a visit to Clark County.",tt4288182
Atlanta,2,4,Helen,"Mar 22, 2018",7.9,1910,Earn discovers just how weird white people can be when he accompanies Van to a traditional German festival she frequented as a kid.,tt4288182
Atlanta,2,5,Barbershop,"Mar 29, 2018",9.1,2839,Al runs into a series of obstacles while trying to get his hair cut.,tt4288182
Atlanta,2,6,Teddy Perkins,"Apr 5, 2018",9.7,6296,"When Darius goes to pick up a piano, he meets Teddy Perkins, a strange, eccentric man who makes him feel uneasy.",tt4288182
Atlanta,2,7,Champagne Papi,"Apr 12, 2018",7.5,1853,"Van and her friends go to Drake's NYE party hoping to meet him, but things don't go as planned.",tt4288182
Atlanta,2,8,Woods,"Apr 19, 2018",8.9,2110,"After getting into an argument with his girlfriend, Paper Boi storms off, gets mugged, gets lost in the woods, and meets a creepy old man who won't stop following and taunting him.",tt4288182
Atlanta,2,9,North of the Border,"Apr 26, 2018",9.0,1980,Paper Boi is quick to regret his decision to play a show at a college campus that Earn arranged.,tt4288182
Atlanta,2,10,FUBU,"May 3, 2018",8.9,1960,"A flashback to Earn and Al's adolescence, where the authenticity of Earn's shirt is embarrassingly called into question at school.",tt4288182
Atlanta,2,11,Crabs in a Barrel,"May 10, 2018",8.7,1575,"Earn, Alfred and Darius get ready to go on tour in Europe.",tt4288182
Atlanta,3,1,Episode #3.1,"Mar 24, 2022",0.0,0,"Know what this is about?
 Be the first one to add a plot.",tt4288182
Atlanta,3,2,Episode #3.2,"Mar 24, 2022",0.0,0,"Know what this is about?
 Be the first one to add a plot.",tt4288182
Atlanta,3,3,Episode #3.3,,0.0,0,"Know what this is about?
 Be the first one to add a plot.",tt4288182
Atlanta,3,4,Episode #3.4,,0.0,0,"Know what this is about?
 Be the first one to add a plot.",tt4288182
Atlanta,3,5,Episode #3.5,,0.0,0,"Know what this is about?
 Be the first one to add a plot.",tt4288182
