tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,encoded_title,show_desc
Batman: The Animated Series,1,1,The Cat and the Claw Part I,"Sep 5, 1992",7.9,2160,Catwoman and Batman join forces in an attempt to foil the evil forces of a terrorist by the name of Red Claw.,tt0103359,The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.
Batman: The Animated Series,1,2,On Leather Wings,"Sep 6, 1992",7.8,2604,Batman finds himself tangling with a Jekyll-and-Hyde bat creature after it attacks a night watchman and the police wage a war on the Dark Knight.,tt0103359,The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.
Batman: The Animated Series,1,3,Heart of Ice,"Sep 7, 1992",9.1,2787,Batman must stop a vengeful Mr. Freeze from fulfilling his vendetta against a callous businessman.,tt0103359,The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.
Batman: The Animated Series,1,4,Feat of Clay Part I,"Sep 8, 1992",8.5,1998,A disfigured actor is forced to frame Bruce Wayne.,tt0103359,The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.
Batman: The Animated Series,1,5,Feat of Clay Part II,"Sep 9, 1992",8.7,1985,"Forcibly overdosed on a shapechanging substance, Matt Hagan has become the shapeshifting monster, Clayface, and now wants revenge on Roland Dagget.",tt0103359,The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.
Batman: The Animated Series,1,6,It's Never Too Late,"Sep 10, 1992",7.8,1843,Batman intervenes in a gang war and tries to convince the older of two rival bosses to change his ways.,tt0103359,The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.
Batman: The Animated Series,1,7,Joker's Favor,"Sep 11, 1992",8.6,2030,An ordinary man finds himself forced to assist The Joker in one of his crimes.,tt0103359,The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.
Batman: The Animated Series,1,8,The Cat and the Claw Part II,"Sep 12, 1992",7.8,1782,Batman and Catwoman must work together to stop Red Claw from releasing a viral plague outside Gotham.,tt0103359,The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.
Batman: The Animated Series,1,9,Pretty Poison,"Sep 14, 1992",8.1,2068,"When Harvey Dent is poisoned with derivative from an extinct flower, Batman must hunt down the assailant, the plant fanatic Poison Ivy, who happens to be Harvey's fiancee.",tt0103359,The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.
Batman: The Animated Series,1,10,Nothing to Fear,"Sep 15, 1992",8.1,2093,Batman faces off against the Scarecrow whose fear gas makes the superhero afraid of disgracing the Wayne name.,tt0103359,The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.
Batman: The Animated Series,1,11,Be a Clown,"Sep 16, 1992",7.8,1793,The Joker infiltrates the birthday party of Mayor Hill's son to plant a bomb.,tt0103359,The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.
Batman: The Animated Series,1,12,Appointment in Crime Alley,"Sep 17, 1992",7.8,1592,"On Batman's annual intensive patrol of the street where his parents were murdered, Roland Dagget plots to devastate it.",tt0103359,The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.
Batman: The Animated Series,1,13,P.O.V.,"Sep 18, 1992",7.7,1768,"The day after a police sting to catch a drug lord goes disastrously wrong, the events of the night before are reconstructed by the accounts of three police officers: Harvey Bullock, Renee Montoya, and a rookie.",tt0103359,The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.
Batman: The Animated Series,1,14,The Clock King,"Sep 21, 1992",7.9,1561,A ruined efficiency expert with an uncanny sense of timing and schedules plots his revenge against Mayor Hill.,tt0103359,The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.
Batman: The Animated Series,1,15,The Last Laugh,"Sep 22, 1992",7.9,1897,The Joker's plot to send all of Gotham into insanity with Joker-gas from a garbage scow leads to a battle on the water.,tt0103359,The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.
Batman: The Animated Series,1,16,Eternal Youth,"Sep 23, 1992",7.5,1468,"A health resort, reputed to able to restore one's youth, has a horrific price Batman must cancel.",tt0103359,The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.
Batman: The Animated Series,1,17,Two-Face Part I,"Sep 25, 1992",9.2,2981,"On the election trail, Harvey Dent gradually loses control of his repressed evil alternate personality until gangster Rupert Thorne inadvertently unleashes it.",tt0103359,The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.
Batman: The Animated Series,1,18,Two-Face Part II,"Sep 28, 1992",9.1,2858,Two-Face begins robbing Rupert Thorne's business in revenge while both the gangster and Batman hunt the dichotomous supervillain for their own reasons.,tt0103359,The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.
Batman: The Animated Series,1,19,Fear of Victory,"Sep 29, 1992",7.8,1466,"While investigating a mysterious series of athlete panic attacks during games, Robin is exposed to the fear toxin of the culprit, The Scarecrow.",tt0103359,The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.
Batman: The Animated Series,1,20,I've Got Batman in My Basement,"Sep 30, 1992",6.7,1635,"While trying to thwart Penguin's robbery of a rare Faberge egg, Batman is weakened by exposure to a toxic gas. He takes shelter in a basement apartment belonging to a teen-aged amateur detective.",tt0103359,The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.
