tv,season,episode_number,title,airdate,rating,total_votes,desc,encoded_title
Behzat Ç.: Bir Ankara Polisiyesi,1,1,Pilot,"Sep 19, 2010",8.8,313,"A young woman falls from a bar's upstairs terrace and a suicide note is found, but a pregnancy test and links to a political group suggest foul play.",tt1795096
Behzat Ç.: Bir Ankara Polisiyesi,1,2,2. Bölüm,"Sep 26, 2010",8.4,140,Behzat runs into an old flame in a psych ward. A child's body found with both kidneys removed prompts suspicions of criminal organ trafficking.,tt1795096
Behzat Ç.: Bir Ankara Polisiyesi,1,3,Gerçegin Pesinde,"Oct 3, 2010",8.5,121,"When an ex-con who killed a woman in a robbery is murdered shortly after his release, Behzat suspects a former cop did it to avenge his wife's death.",tt1795096
Behzat Ç.: Bir Ankara Polisiyesi,1,4,Görünenin Ardindaki Sir,"Oct 10, 2010",8.6,129,"The stabbing deaths of a fencing teacher and his elderly neighbor cast suspicion on an alleged gold digger, an estranged wife, her lover and others.",tt1795096
Behzat Ç.: Bir Ankara Polisiyesi,1,5,Kayip Yasamlar,"Oct 17, 2010",8.3,112,A financial adviser is killed in a parking garage getting in a car he bought for his son's birthday. Was the car's previous owner the intended target?,tt1795096
Behzat Ç.: Bir Ankara Polisiyesi,1,6,Gecenin Gizledikleri,"Nov 1, 2010",8.2,111,"After receiving an insistent warning from a fan, a rising nightclub singer is strangled while sleeping over at friend Gönül's home.",tt1795096
Behzat Ç.: Bir Ankara Polisiyesi,1,7,Kapanmayan Yaralar,"Nov 8, 2010",8.3,117,"When a young woman is found raped and murdered in her home, the police try to work out why the killer left out-of-circulation banknotes on her body.",tt1795096
Behzat Ç.: Bir Ankara Polisiyesi,1,8,Geçmisin Gölgesi,"Nov 15, 2010",8.4,114,"When the police question a young woman who reported her identical twin sister's murder, they discover a world of difference between the two siblings.",tt1795096
Behzat Ç.: Bir Ankara Polisiyesi,1,9,Taban Girmek,"Nov 23, 2010",8.4,112,"A soccer star is found cuffed to a bed and killed by a blow to the chest, casting suspicion on his jealous girlfriend, his shady manager and others.",tt1795096
Behzat Ç.: Bir Ankara Polisiyesi,1,10,Karanlik Koridorlar,"Nov 30, 2010",9.2,150,"When a man accused of illegal magazine distribution dies in police custody, Behzat must lead a touchy investigation that could impact his colleagues.",tt1795096
Behzat Ç.: Bir Ankara Polisiyesi,1,11,Cevapsiz Sorular,"Dec 12, 2010",8.5,108,"Photos found on Facebook and in a home identify suspects in the murder of a college student found on a roadside, and reveal a personal link to Behzat.",tt1795096
Behzat Ç.: Bir Ankara Polisiyesi,1,12,Geride Kalanlar,"Dec 19, 2010",7.9,107,"Sitting on the rooftop terrace from which his daughter fell to her death, Behzat notices something that could possibly provide the answers he seeks.",tt1795096
Behzat Ç.: Bir Ankara Polisiyesi,1,13,Yarim Kalmis Hesaplar,"Dec 26, 2010",8.8,114,Behzat finds himself in a race against time to save his brother from a revenge-seeking kidnapper who has a personal connection to a recent case.,tt1795096
Behzat Ç.: Bir Ankara Polisiyesi,1,14,Tehlikeli Iliskiler,"Jan 2, 2011",8.8,116,Behzat's last conversation with his brother's kidnapper leads the detective on a hunt for evidence that will expose the undersecretary's wife.,tt1795096
Behzat Ç.: Bir Ankara Polisiyesi,1,15,Karanlikta kalanlar,"Jan 9, 2011",8.0,101,"When an ad agency owner is found murdered in her hotel room, suspects include her angry ex-husband and a model she fired over a fashion show mishap.",tt1795096
Behzat Ç.: Bir Ankara Polisiyesi,1,16,Güvercin Tedirginligi,"Jan 16, 2011",8.8,122,The fatal shooting of a professor studying the problems of Turkish minorities gives rise to speculation that his murder was politically motivated.,tt1795096
Behzat Ç.: Bir Ankara Polisiyesi,1,17,Diken Üstünde,"Jan 23, 2011",8.7,109,"When Feride unexpectedly goes to the police to make a confession, Behzat and his men fear their part in the matter will be discovered.",tt1795096
Behzat Ç.: Bir Ankara Polisiyesi,1,18,Kayip Zamanlar,"Jan 30, 2011",7.6,96,A second killing during the investigation of a toy shop owner's murder leads Behzat's team to a decade-old case that links the two victims.,tt1795096
Behzat Ç.: Bir Ankara Polisiyesi,1,19,Hesaplasma,"Feb 6, 2011",8.4,107,"When Ercüment returns to Ankara to discuss his agreement with the undersecretary and a murder soon follows, Behzat sets out to prove he's the killer.",tt1795096
Behzat Ç.: Bir Ankara Polisiyesi,1,20,Küçük Balik Büyük Balik,"Feb 13, 2011",8.8,118,Feride gives her testimony in court. Behzat's continued pursuit of Ercüment takes him and his team from Ankara's streets to Istanbul's.,tt1795096
Behzat Ç.: Bir Ankara Polisiyesi,1,21,Yasarken Ölmek,"Feb 20, 2011",7.8,98,"Behzat gets a rare chance to investigate a murder before it actually occurs, when a man dying from arsenic poisoning asks him to find out who did it.",tt1795096
Behzat Ç.: Bir Ankara Polisiyesi,1,22,Dinmeyen Öfke,"Feb 27, 2011",7.7,91,"After his late daughter's ex-boyfriend is released from prison, Behzat questions him and learns more about the last days of Berna's life.",tt1795096
Behzat Ç.: Bir Ankara Polisiyesi,1,23,Yerdeki Kan,"Mar 6, 2011",7.7,87,A man who stalked the wife of a murdered gynecologist is ruled out as a suspect. So why are his prints found soon after at an unrelated murder scene?,tt1795096
Behzat Ç.: Bir Ankara Polisiyesi,1,24,Zikzak Yaparak Kaçmak,"Mar 13, 2011",7.9,97,"Cocaine packets found on a man who was shot to death suggest a drug dispute, but further investigation reveals a cover-up of the true motive.",tt1795096
Behzat Ç.: Bir Ankara Polisiyesi,1,25,Intihar ve Cinayet,"Mar 20, 2011",7.8,97,"The death of a drummer who seemingly killed herself with a gas oven leads to her boyfriend's apparent suicide, but Behzat suspects both were murders.",tt1795096
Behzat Ç.: Bir Ankara Polisiyesi,1,26,Sihhiye Köprüsü,"Mar 27, 2011",8.4,189,Behzat and his team investigate the murder of a meatball vendor thrown from a bridge. Sule runs into problems while trying to tutor Behzat's nephew.,tt1795096
