tv,season,episode_number,title,airdate,rating,total_votes,desc,encoded_title
Berserk,1,1,Kuroi kenshi,"May 28, 2002",7.6,552,"The Black Swordsman, known as Guts, enters a small village and begins clashing with an army led by evil apostles.",tt0318871
Berserk,1,2,Taka no dan,"Oct 14, 1997",7.7,489,Guts faces a man wearing a large armor suit in one-on-one combat. He also has to go against the Band of Hawk on his journey.,tt0318871
Berserk,1,3,Uijin,"Oct 21, 1997",7.7,450,"Griffith defeats Guts, and makes him a member of the Band of the Hawk. The Hawks go on a midnight raid and Griffith chooses Guts for the most important position of rear guard.",tt0318871
Berserk,1,4,Kami no te,"Oct 28, 1997",7.7,426,"Guts settles in with the Band of the Hawk, and Griffith shows him his Behelit. Guts remembers his childhood, being raised by his adoptive father and mentor Gambino. Three years pass and the Band of the Hawk grow in power and numbers.",tt0318871
Berserk,1,5,Kenpû,"Nov 4, 1997",7.6,418,"Guts is now a commander in Griffith's army, and is taking risks in battle. Griffith is knighted as a viscount in the Midland court to the nobles' dismay. Guts saves the Hawks in battle, to Casca's chagrin.",tt0318871
Berserk,1,6,Fushi no Zodd,"Nov 11, 1997",8.4,446,"Guts leads his men to raid a castle under Chuder occupation, but his men are wiped out by Nosferatu Zodd the Immortal, a fearsome giant warrior.",tt0318871
Berserk,1,7,Tsurugi no aruji,"Nov 18, 1997",7.4,404,"Though he and Guts are still injured from their encounter with Nosferatu Zodd, Griffith uses it to get closer to the King and his daughter Charlotte. Guts and some of the Hawks feel that Griffith is pulling away from them.",tt0318871
Berserk,1,8,Inbou,"Nov 25, 1997",7.6,390,"Griffith and Guts continue to have success in battle and Griffith is made a count. General Yurius is furious about this, and the minister Foss plants the idea of murder in his mind. The plan is to shoot Griffith with a poison arrow during an upcoming hunt.",tt0318871
Berserk,1,9,Ansatsu,"Dec 2, 1997",7.7,391,Griffith and the Princess are growing closer during the hunt when Griffith is shot in the chest with a poisoned arrow.,tt0318871
Berserk,1,10,Toutoi mono,"Dec 9, 1997",8.8,439,Guts assassinates Yurius. But something went wrong and Guts lost himself and then he decide something.,tt0318871
Berserk,1,11,Kassen,"Dec 16, 1997",7.8,382,Griffith and the Hawks lead the march into battle. Where Casca went into Trouble and Guts went to help her. But they both got lost and no one went to search.,tt0318871
Berserk,1,12,Futari,"Dec 23, 1997",8.3,397,Casca tells her story. Griffith helped her save her from being raped.,tt0318871
Berserk,1,13,Kesshi gyou,"Jan 6, 1998",8.2,393,"The commander of the Blue Whale Knights and his crew find Guts and Casca. Though completely outnumbered, Guts tells Casca to run and stays to fight. Some men go after Casca, catching her and holding her down in order to rape her. Guts continues fighting.",tt0318871
Berserk,1,14,Yume no kagaribi,"Jan 13, 1998",8.1,387,"Guts and Casca are rescued by Judo and his men, and after being treated for their injuries Casca learns of Guts true feelings of being in the Band of the Hawk. And what he plans to do after the war is over.",tt0318871
Berserk,1,15,Kessen,"Jan 20, 1998",7.8,372,Griffith and the Band of the Hawk are given the authority to lead charge that may finally end the 100 year war.,tt0318871
Berserk,1,16,Shourisha,"Jan 27, 1998",8.2,376,"The Band of the Hawk leads the final charge of the war, Casca gets some payback for her earlier defeat, and Guts gains some unlikely assistance from an old enemy while fighting a powerful knight.",tt0318871
Berserk,1,17,Eikou no shunkan,"Feb 3, 1998",7.8,374,The Hawk returns victorious in their battle and have a night of well deserved celebration. As another assassination attempt unfolds on Griffith during the festivities.,tt0318871
Berserk,1,18,Honoo no bohyou,"Feb 10, 1998",8.2,379,"The conspirators of Griffiths assassination revel in their victory, but how long will it last whenever the plan goes awry. And what will Casca and the Hawk do when Guts makes a decision that will shake them to the core.",tt0318871
Berserk,1,19,Wakare,"Feb 17, 1998",8.7,412,Guts decides to leave the Band of the Hawk unable to bear Griffiths dream any longer. But Griffith won't accept this without a fight.,tt0318871
Berserk,1,20,Hibana,"Feb 24, 1998",7.8,370,Guts stays at an old friends house for a year during his journey. That soon changes after he learns of what happened to the Hawk after he left.,tt0318871
Berserk,1,21,Kokuhaku,"Mar 3, 1998",8.3,376,Guts returns to the Hawk and learns of Griffiths capture. And Casca reveals her true feelings to Guts.,tt0318871
Berserk,1,22,Sennyuu,"Mar 10, 1998",8.7,414,"The Band of the Hawk successfully rescues Griffith....but only to find that he is no longer the man they rememeber, which infuriates Guts.",tt0318871
Berserk,1,23,Zen'yasai,"Mar 17, 1998",8.6,396,"As the Band of Hawk mourn over their leaders crippling state, Guts makes plans to leave once more with Casca and his men in company. But will his plan change when he learns of Casca's decision to not leave Griffith?",tt0318871
Berserk,1,24,Shoku,"Mar 24, 1998",8.9,463,"Griffith, being distraught over his crushed dream, decides to make a sacrifice to regain his lost power.",tt0318871
Berserk,1,25,Eien no koku,"Mar 31, 1998",9.4,688,"The Eclipse takes it toll on the Band of the Hawk, as Guts fights to survive against the horrors that will shape him...for better or worse.",tt0318871
