tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
Better Call Saul,1,1,Uno,"Feb 8, 2015",8.5,14999,Struggling public defender Jimmy McGill constructs an elaborate yet questionable plan for winning back a pair of wealthy potential clients.,https://www.imdb.com/title/tt3464768/,tt3032476,"The trials and tribulations of criminal lawyer, Jimmy McGill, in the time before he established his strip-mall law office in Albuquerque, New Mexico as Saul Goodman."
Better Call Saul,1,2,Mijo,"Feb 9, 2015",8.9,14270,Jimmy's latest scam has gone horribly wrong and he's face-to-face with violent criminals and being forced to talk his way out of a life-threatening situation.,https://www.imdb.com/title/tt3857028/,tt3032476,"The trials and tribulations of criminal lawyer, Jimmy McGill, in the time before he established his strip-mall law office in Albuquerque, New Mexico as Saul Goodman."
Better Call Saul,1,3,Nacho,"Feb 16, 2015",8.7,11955,Jimmy must prove that Nacho is innocent when he is wrongly suspected of kidnapping.,https://www.imdb.com/title/tt3858672/,tt3032476,"The trials and tribulations of criminal lawyer, Jimmy McGill, in the time before he established his strip-mall law office in Albuquerque, New Mexico as Saul Goodman."
Better Call Saul,1,4,Hero,"Feb 23, 2015",8.5,10665,Jimmy makes a bold move against Hamlin in an effort to attract potential clients.,https://www.imdb.com/title/tt3864892/,tt3032476,"The trials and tribulations of criminal lawyer, Jimmy McGill, in the time before he established his strip-mall law office in Albuquerque, New Mexico as Saul Goodman."
Better Call Saul,1,5,Alpine Shepherd Boy,"Mar 2, 2015",8.1,10108,"After a strange encounter with the police, Chuck ends up in the hospital. Jimmy meets up with a series of unruly clients.",https://www.imdb.com/title/tt3876380/,tt3032476,"The trials and tribulations of criminal lawyer, Jimmy McGill, in the time before he established his strip-mall law office in Albuquerque, New Mexico as Saul Goodman."
Better Call Saul,1,6,Five-O,"Mar 9, 2015",9.4,16380,Mike's days as a police officer in Philadelphia catch up to him when he's questioned about a tragic event from his past.,https://www.imdb.com/title/tt3866650/,tt3032476,"The trials and tribulations of criminal lawyer, Jimmy McGill, in the time before he established his strip-mall law office in Albuquerque, New Mexico as Saul Goodman."
Better Call Saul,1,7,Bingo,"Mar 16, 2015",8.7,9637,"The Kettlemans seek Jimmy as their lawyer after turning down an offer from HHM, going as far as attempting to blackmail him.",https://www.imdb.com/title/tt3884286/,tt3032476,"The trials and tribulations of criminal lawyer, Jimmy McGill, in the time before he established his strip-mall law office in Albuquerque, New Mexico as Saul Goodman."
Better Call Saul,1,8,RICO,"Mar 23, 2015",8.7,9409,"Jimmy discovers the Sandpiper Retirement Home has been scamming his elderly clients, and prepares to take legal action.",https://www.imdb.com/title/tt3895284/,tt3032476,"The trials and tribulations of criminal lawyer, Jimmy McGill, in the time before he established his strip-mall law office in Albuquerque, New Mexico as Saul Goodman."
Better Call Saul,1,9,Pimento,"Mar 30, 2015",9.4,12816,Chuck wants to transfer the Sandpiper case to HHM much to Jimmy's dismay. Mike gets a job offer working as a bodyguard.,https://www.imdb.com/title/tt3895286/,tt3032476,"The trials and tribulations of criminal lawyer, Jimmy McGill, in the time before he established his strip-mall law office in Albuquerque, New Mexico as Saul Goodman."
Better Call Saul,1,10,Marco,"Apr 6, 2015",8.6,10025,Jimmy seizes an opportunity to reconnect with an old friend; Chuck adjusts to a new way of life.,https://www.imdb.com/title/tt3895288/,tt3032476,"The trials and tribulations of criminal lawyer, Jimmy McGill, in the time before he established his strip-mall law office in Albuquerque, New Mexico as Saul Goodman."
Better Call Saul,2,1,Switch,"Feb 15, 2016",8.3,8418,Jimmy decides to quit the law after turning down a job at Davis & Main. Mike breaks ties with a former associate.,https://www.imdb.com/title/tt3824148/,tt3032476,"The trials and tribulations of criminal lawyer, Jimmy McGill, in the time before he established his strip-mall law office in Albuquerque, New Mexico as Saul Goodman."
Better Call Saul,2,2,Cobbler,"Feb 22, 2016",8.5,7633,"While Mike attempts to track down Pryce's stolen baseball cards, Jimmy must defend him when the police call him in for further questioning.",https://www.imdb.com/title/tt4462674/,tt3032476,"The trials and tribulations of criminal lawyer, Jimmy McGill, in the time before he established his strip-mall law office in Albuquerque, New Mexico as Saul Goodman."
Better Call Saul,2,3,Amarillo,"Feb 29, 2016",8.3,7239,Jimmy struggles with client outreach and decides to shoot a TV commercial for Davis & Main. Mike begins an investigation.,https://www.imdb.com/title/tt4462676/,tt3032476,"The trials and tribulations of criminal lawyer, Jimmy McGill, in the time before he established his strip-mall law office in Albuquerque, New Mexico as Saul Goodman."
Better Call Saul,2,4,Gloves Off,"Mar 7, 2016",8.9,7864,Jimmy and Kim face the repercussions of the TV commercial. Mike makes a deal with Nacho in regards to his newest job offer.,https://www.imdb.com/title/tt4462678/,tt3032476,"The trials and tribulations of criminal lawyer, Jimmy McGill, in the time before he established his strip-mall law office in Albuquerque, New Mexico as Saul Goodman."
Better Call Saul,2,5,Rebecca,"Mar 14, 2016",8.0,7099,Jimmy chafes under his restrictive work environment; Kim goes to extremes to dig herself from a bottomless hole at HHM.,https://www.imdb.com/title/tt4462682/,tt3032476,"The trials and tribulations of criminal lawyer, Jimmy McGill, in the time before he established his strip-mall law office in Albuquerque, New Mexico as Saul Goodman."
Better Call Saul,2,6,Bali Ha'i,"Mar 21, 2016",8.5,6984,"Jimmy finds comfort in familiarity; Kim receives a life-changing proposal; when he is threatened, Mike finds himself pushed to the limit.",https://www.imdb.com/title/tt4462680/,tt3032476,"The trials and tribulations of criminal lawyer, Jimmy McGill, in the time before he established his strip-mall law office in Albuquerque, New Mexico as Saul Goodman."
Better Call Saul,2,7,Inflatable,"Mar 28, 2016",8.4,6920,"When Mike's hand is forced, he can no longer hide his frustration; Mike and Jimmy work together to keep the peace.",https://www.imdb.com/title/tt4462684/,tt3032476,"The trials and tribulations of criminal lawyer, Jimmy McGill, in the time before he established his strip-mall law office in Albuquerque, New Mexico as Saul Goodman."
Better Call Saul,2,8,Fifi,"Apr 4, 2016",8.4,6842,Mike aims to settle the score with an enemy; an unexpected opportunity presents itself to Jimmy.,https://www.imdb.com/title/tt4462686/,tt3032476,"The trials and tribulations of criminal lawyer, Jimmy McGill, in the time before he established his strip-mall law office in Albuquerque, New Mexico as Saul Goodman."
