tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
Black Mirror,1,1,The National Anthem,"Dec 4, 2011",7.7,52781,"Prime Minister Michael Callow faces a shocking dilemma when Princess Susannah, a much-loved member of the Royal Family, is kidnapped.",https://www.imdb.com/title/tt2089051/,tt2085059,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide."
Black Mirror,1,2,Fifteen Million Merits,"Dec 11, 2011",8.0,52889,"In a world where people's lives consist of riding exercise bikes to gain credits, Bing tries to help a woman get on to a singing competition show.",https://www.imdb.com/title/tt2089049/,tt2085059,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide."
Black Mirror,1,3,The Entire History of You,"Dec 18, 2011",8.5,54114,"In the near future, everyone has access to a memory implant that records everything they do, see and hear. You need never forget a face again - but is that always a good thing?",https://www.imdb.com/title/tt2089050/,tt2085059,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide."
Black Mirror,2,1,Be Right Back,"Feb 11, 2013",8.0,45109,"After learning about a new service that lets people stay in touch with the deceased, a lonely, grieving Martha reconnects with her late lover.",https://www.imdb.com/title/tt2290780/,tt2085059,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide."
Black Mirror,2,2,White Bear,"Feb 18, 2013",8.0,45177,"Victoria wakes up and cannot remember anything about her life. Everyone she encounters refuses to communicate with her, and they all seem to know something she doesn't. But what?",https://www.imdb.com/title/tt2542420/,tt2085059,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide."
Black Mirror,2,3,The Waldo Moment,"Feb 25, 2013",6.6,37746,A failed comedian who voices a popular cartoon bear named Waldo finds himself mixing in politics when TV executives want Waldo to run for office.,https://www.imdb.com/title/tt2386296/,tt2085059,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide."
Black Mirror,2,4,White Christmas,"Dec 16, 2014",9.1,56652,Three interconnected tales of technology run amok during the Christmas season are told by two men at a remote outpost in a frozen wilderness.,https://www.imdb.com/title/tt3973198/,tt2085059,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide."
Black Mirror,3,1,Nosedive,"Oct 21, 2016",8.3,54283,"A woman desperate to boost her social media score hits the jackpot when she's invited to a swanky wedding, but the trip doesn't go as planned.",https://www.imdb.com/title/tt5497778/,tt2085059,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide."
Black Mirror,3,2,Playtest,"Oct 21, 2016",8.1,45352,"An American traveler short on cash signs up to test a revolutionary new gaming system, but soon can't tell where the hot game ends and reality begins.",https://www.imdb.com/title/tt5709242/,tt2085059,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide."
Black Mirror,3,3,Shut Up and Dance,"Oct 21, 2016",8.4,47282,"When withdrawn Kenny stumbles headlong into an online trap, he is quickly forced into an uneasy alliance with shifty Hector, both at the mercy of persons unknown.",https://www.imdb.com/title/tt5709230/,tt2085059,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide."
Black Mirror,3,4,San Junipero,"Oct 21, 2016",8.6,56962,"When Yorkie and Kelly visit San Junipero, a fun-loving beach town full of surf, sun and sex, their lives are changed.",https://www.imdb.com/title/tt4538072/,tt2085059,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide."
