tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
Boardwalk Empire,1,1,Boardwalk Empire,"Sep 19, 2010",8.6,4160,"In 1920 Atlantic City, politician Enoch 'Nucky' Thompson makes arrangements to operate a liquor smuggling business during the early days of Prohibition. His driver, Jimmy Darmody, wishes to prove his usefulness.",https://www.imdb.com/title/tt1276201/,tt0979432,An Atlantic City politician plays both sides of the law by conspiring with gangsters during the Prohibition era.
Boardwalk Empire,1,2,The Ivory Tower,"Sep 26, 2010",7.9,2459,"The Feds begin to look into Nucky's affairs, his brother Eli looks to buy off Mrs. Schroeder, and Nucky essentially fires Jimmy Darmody as his chauffeur.",https://www.imdb.com/title/tt1501024/,tt0979432,An Atlantic City politician plays both sides of the law by conspiring with gangsters during the Prohibition era.
Boardwalk Empire,1,3,Broadway Limited,"Oct 3, 2010",8.1,2311,"When a witness turns up who can link Jimmy Darmody to the woods massacre, the Feds get involved, Nucky banishes him, and Rothstein recruits Luciano to kill him.",https://www.imdb.com/title/tt1558885/,tt0979432,An Atlantic City politician plays both sides of the law by conspiring with gangsters during the Prohibition era.
Boardwalk Empire,1,4,Anastasia,"Oct 10, 2010",8.2,2196,Jimmy forges new relationships in Chicago; Nucky fetes a U.S. Senator; Chalky fingers a lynching suspect; Margaret and Lucy clash.,https://www.imdb.com/title/tt1585675/,tt0979432,An Atlantic City politician plays both sides of the law by conspiring with gangsters during the Prohibition era.
Boardwalk Empire,1,5,Nights in Ballygran,"Oct 17, 2010",8.3,2139,"Nucky makes preparations for the annual Celtic Day dinner on St. Patrick's Day, and Jimmy tries to get Pearl through the trauma of her disfigurement with drugs,",https://www.imdb.com/title/tt1585674/,tt0979432,An Atlantic City politician plays both sides of the law by conspiring with gangsters during the Prohibition era.
Boardwalk Empire,1,6,Family Limitation,"Oct 24, 2010",8.2,2042,Nucky investigates a boardwalk theft; Jimmy scores points with Johnny Torrio in Chicago; Margaret stands up to Lucy.,https://www.imdb.com/title/tt1595390/,tt0979432,An Atlantic City politician plays both sides of the law by conspiring with gangsters during the Prohibition era.
Boardwalk Empire,1,7,Home,"Oct 31, 2010",8.6,2058,"After Enoch's senile father breaks a leg in his isolated house, the brothers agree that he no longer can live alone and the house should be given to a loyal employee.",https://www.imdb.com/title/tt1649463/,tt0979432,An Atlantic City politician plays both sides of the law by conspiring with gangsters during the Prohibition era.
Boardwalk Empire,1,8,Hold Me in Paradise,"Nov 7, 2010",8.1,1888,"Nucky travels to Chicago and acts as kingmaker during the Presidential convention, but at home brother Eli is shot as a rival mob senses weakness in Thompson's operation.",https://www.imdb.com/title/tt1648275/,tt0979432,An Atlantic City politician plays both sides of the law by conspiring with gangsters during the Prohibition era.
Boardwalk Empire,1,9,Belle Femme,"Nov 14, 2010",8.5,1912,Jimmy arrives from Chicago under his new agreement with Nucky to retaliate against a rival gang element but gets a chilly reception from Angela.,https://www.imdb.com/title/tt1649464/,tt0979432,An Atlantic City politician plays both sides of the law by conspiring with gangsters during the Prohibition era.
Boardwalk Empire,1,10,The Emerald City,"Nov 21, 2010",8.6,1888,"Harrow guards Margaret and the kids, Jimmy mistakenly thinks Mr. Dittrich is Angela's lover, and Chalky pretends to align himself with Lansky.",https://www.imdb.com/title/tt1648274/,tt0979432,An Atlantic City politician plays both sides of the law by conspiring with gangsters during the Prohibition era.
