tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
Chappelle's Show,1,1,Popcopy & Clayton Bigsby,"Jan 22, 2003",8.6,879,"First show of the series. Sketches include a training film for employees of PopCopy, Dave plays Clayton Bigsby, a white supremacist, then unveils racy videos starring an iconic singer.",https://www.imdb.com/title/tt0538689/,tt0353049,Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.
Chappelle's Show,1,2,Tyrone Biggums At School & Wrap It Up Box,"Jan 29, 2003",7.9,635,"Dave introduces the character, crack addict Tyrone Bigguns, who visits an elementary school and gives (what should've been) an anti-drug lecture to a class of 11 year olds.",https://www.imdb.com/title/tt0538695/,tt0353049,Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.
Chappelle's Show,1,3,Zapped & It's A Wonderful Chest,"Feb 5, 2003",7.6,561,"Dave discusses his turning down QVC, a parody of Roots, including an out-take reel of gags and bloopers (to the tune of 'Yakkety-Sax'), Dave shows clips from previous, aborted shows which were filmed, but never aired. A modern take on _ 'It's a Wonderful Life' (1946)_ where Dave shows a girl who curses her big breasts away, and wonders what life would've been like without them.",https://www.imdb.com/title/tt0538696/,tt0353049,Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.
Chappelle's Show,1,4,Reparations & NY Boobs,"Feb 12, 2003",7.8,535,"Dave's in New York City's Time Square with Fear Factor's Joe Rogan, to award woman for having 'N.Y. Boobs'.",https://www.imdb.com/title/tt0538697/,tt0353049,Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.
Chappelle's Show,1,5,Great Moments In Hookup History & Ask A Black Dude,"Feb 19, 2003",7.8,532,"Dave's sketches include; 'Ask a Black Dude, with Paul Mooney' and 'Great Moments in Hookup History'.",https://www.imdb.com/title/tt0538698/,tt0353049,Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.
Chappelle's Show,1,6,Mad Real World & Ask A Gay Dude,"Feb 26, 2003",8.0,549,"Dave's sketches include a parody of 'The Real World, with an all-black cast and one white man.",https://www.imdb.com/title/tt0538699/,tt0353049,Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.
Chappelle's Show,1,7,Real Movies & Wu-Tang Financial,"Mar 5, 2003",7.7,476,"Dave introduces a financial consulting firm created by the Wu-Tang Clan. Plus he gives his ""realistic"" take on some movie classics such as ""The Matrix"" and ""Pretty Woman"".",https://www.imdb.com/title/tt0538700/,tt0353049,Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.
Chappelle's Show,1,8,Tyrone Biggums's Intervention & Racist Hollywood Animals,"Mar 12, 2003",7.7,461,"Tyrone Biggums, returns in a skit. Plus Dave takes a look at racism amongst Hollywood's top animal stars, including Flipper, Ron Tin-Tin, and Lassie.",https://www.imdb.com/title/tt0538701/,tt0353049,Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.
Chappelle's Show,1,9,Blackzilla & Playa Haters' Ball,"Mar 19, 2003",7.9,476,"Sketches include Dave starring in his own video game. Plus, Dave introduces 'The Playa Haters' Club', and Dave's take on Japanese monster movies with 'Blackzilla!'.",https://www.imdb.com/title/tt0538702/,tt0353049,Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.
Chappelle's Show,1,10,Piss On You & The World's Greatest Wars,"Mar 26, 2003",8.0,448,"Dave stars in a recreation of R. Kelly's infamous video. Also, a take-off on the film, 'Deep Impact' (1998), and the inner-city gang wars of the '80s.",https://www.imdb.com/title/tt0538690/,tt0353049,Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.
Chappelle's Show,1,11,Make-A-Wish & Fisticuff,"Apr 2, 2003",7.6,426,"Dave riffs on 50 Cent's latest album, and reprises 'Turn my Headphones Up.' A spoof of the Make-a-Wish Foundation. A skit parodying The ""Magic Camera"". Musical guest; De La Soul.",https://www.imdb.com/title/tt0538691/,tt0353049,Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.
Chappelle's Show,1,12,O'Dweeds & Trading Spouses,"Apr 9, 2003",7.8,417,"Skits include a parody of the TV series _ 'Trading Spouses' (2004)_ (between a black husband/father and white husband/father which swap families). Also: a parody sponsor's commercial for 'O'Dweeds Non-Intoxicating' marijuana. Musical guest; ""BlackStar"" (featuring Mos Def & Talib Kweli).",https://www.imdb.com/title/tt0538692/,tt0353049,Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.
Chappelle's Show,1,13,The Best of Chappelle's Show: Volume 1 Mixtape,"Apr 16, 2003",7.4,202,"Skits include an instructional training film for new employees of PopCopy', on the finer points of customer-staff relations (abuse). Dave discusses misogyny as being in the entertainment business far longer than rap music, and illustrates the point with 'found footage' from the '50's, of Nat King Cole behaving badly towards women. A commercial for the Home Stenographer'. PBS Frontline does an exposé on the blind KKK leader who believes he's white.",https://www.imdb.com/title/tt0538693/,tt0353049,Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.
Chappelle's Show,1,14,The Best of Chappelle's Show: Volume 2 Mixtape,"Jul 16, 2003",7.2,194,"Know what this is about?
 Be the first one to add a plot.",https://www.imdb.com/title/tt0538694/,tt0353049,Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.
Chappelle's Show,2,1,Samuel Jackson Beer & Racial Draft,"Jan 21, 2004",8.6,502,"Dave debuts Samuel Jackson beer, shows us how much cooler life would be if everything were in slow motion and reveals the latest picks in ""The Racial Draft"".",https://www.imdb.com/title/tt0538703/,tt0353049,Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.
Chappelle's Show,2,2,Negrodamus & The Niggar Family,"Jan 28, 2004",8.4,468,"Dave plays the watermelon-shooting Black Gallagher and introduces the Niggar Family; Paul Mooney guest stars as ""Negrodamus."" Musical guest DMX.",https://www.imdb.com/title/tt0538709/,tt0353049,Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.
Chappelle's Show,2,3,White People Can't Dance & The Three Daves,"Feb 4, 2004",8.0,423,"Dave explores the myth that white people can't dance and charts his own emotional growth at ages 18, 24, and 30; musical performance by John Mayer & Ahmir ""Questlove"" Thompson.",https://www.imdb.com/title/tt0538710/,tt0353049,Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.
Chappelle's Show,2,4,The Love Contract & True Hollywood Stories: Rick James,"Feb 11, 2004",9.3,893,Dave introduces The Love Contract and the first of Charlie Murphy's True Hollywood Stories featuring Rick James. Musical guest Ludacris.,https://www.imdb.com/title/tt0538711/,tt0353049,Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.
Chappelle's Show,2,5,True Hollywood Stories: Prince & Red Balls Energy Drink,"Feb 18, 2004",8.8,524,"Charlie Murphy reveals another True Hollywood Story featuring Prince, and Paul Mooney answers life's biggest questions as ""Negrodamus."" Cee-Lo performs ""Call Me"".",https://www.imdb.com/title/tt0538712/,tt0353049,Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.
Chappelle's Show,2,6,The Internet & Moment In The Life Of Lil Jon,"Feb 25, 2004",7.9,420,"Dave considers what life is like for rap sensation Lil' Jon and imagines how sleazy the Internet would look if it were a place. Anthony Hamilton performs ""Comin' From Where I'm From"".",https://www.imdb.com/title/tt0538713/,tt0353049,Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.
Chappelle's Show,2,7,World Series Of Dice & Mooney On Movies,"Mar 3, 2004",8.0,409,Dave broadcasts the World Series of Dice and spends another moment in the life of Lil' John; musical performance by Common & Kanye West.,https://www.imdb.com/title/tt0538714/,tt0353049,Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.
