tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
Chef's Table,1,1,Massimo Bottura,"Apr 26, 2015",8.5,960,"A look into the life of Massimo Bottura and his world renowned restaurant Osteria Francescana in Modena, Italy.",https://www.imdb.com/title/tt4383018/,tt4295140,"Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven."
Chef's Table,1,2,Dan Barber,"Feb 12, 2015",7.7,623,"A look at Dan Barber and his restaurant Blue Hill, and the start of the farm-to-table movement.",https://www.imdb.com/title/tt4360158/,tt4295140,"Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven."
Chef's Table,1,3,Francis Mallmann,"Apr 26, 2015",8.2,725,Argentine chef Francis Mallman combines his prestigious French culinary background with traditional Patagonian fire and earth cooking methods to create sensational dining experiences.,https://www.imdb.com/title/tt4360152/,tt4295140,"Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven."
Chef's Table,1,4,Niki Nakayama,"Apr 26, 2015",7.9,480,A look at chef Niki Nakayama and her Los Angeles restaurant n/naka.,https://www.imdb.com/title/tt4338616/,tt4295140,"Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven."
Chef's Table,1,5,Ben Shewry,"Apr 26, 2015",7.5,375,An interview with Ben Shewry and a look at his restaurant Attica in Australia.,https://www.imdb.com/title/tt4338608/,tt4295140,"Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven."
Chef's Table,1,6,Magnus Nilsson,"Apr 26, 2015",8.3,509,A look at chef Magnus Nilsson and his restaurant in Sweden.,https://www.imdb.com/title/tt4360160/,tt4295140,"Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven."
Chef's Table,2,1,Grant Achatz,"May 27, 2016",9.2,690,"Discover the amazing story of one of the greatest innovators, how he started experimenting with flavors, textures and aromas, and how he battled a disease that almost killed him.",https://www.imdb.com/title/tt5761480/,tt4295140,"Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven."
Chef's Table,2,2,Alex Atala,"May 27, 2016",8.6,510,"A look at chef Alex Atala wild spirit and love for the Amazon and his restaurant (D.O.M), in Brazil.",https://www.imdb.com/title/tt5762434/,tt4295140,"Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven."
Chef's Table,2,3,Dominique Crenn,"May 27, 2016",7.7,321,Dominique Crenn is the first female chef in the U.S. to earn two Michelin stars. Her artistic dishes are mostly named and presented beautifully -- in a way that corresponds to her own 13-line poem. She is also a very pretty woman herself.,https://www.imdb.com/title/tt5762436/,tt4295140,"Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven."
Chef's Table,2,4,Enrique Olvera,"May 27, 2016",8.1,303,"At the forefront of transforming Mexican cuisine, Enrique Olvera champions traditional ingredients under a haute perspective as he delves into the roots of Mexico to create award-winning dishes at his restaurant, Pujol.",https://www.imdb.com/title/tt5762438/,tt4295140,"Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven."
Chef's Table,2,5,Ana Ros,"May 27, 2016",7.6,264,"Amazing chef from Slovenia, creating miracle dishes in her restaurant Hisa Franko in Soca Valley. Ana Ros spent 16 years revolutionizing Slovenian authentic cuisine becoming part of an internationally renown chef milieu.",https://www.imdb.com/title/tt5762440/,tt4295140,"Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven."
Chef's Table,2,6,Gaggan Anand,"May 27, 2016",8.7,394,"Chef Gaggan Anand, of Gaggan restaurant in Bangkok, Thailand, tells the story of his journey from poor child of India to star chef of progressive Indian cuisine.",https://www.imdb.com/title/tt5762442/,tt4295140,"Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven."
Chef's Table,3,1,Jeong Kwan,"Feb 17, 2017",8.8,574,"Kwan is a not your regular defined chef. She's living as a monk in Korea. She is connected to the spiritual side of food. Instead of trying to be the best in the world, any sense of ego is stripped from her mind and she cooks from the soul.",https://www.imdb.com/title/tt6541634/,tt4295140,"Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven."
Chef's Table,3,2,Vladimir Mukhin,"Feb 17, 2017",7.6,247,Russian chef who searches old history books for authentic Russian food to recreate into modern recipes. Very fierce and ambitious chef who wants to be the best in the world.,https://www.imdb.com/title/tt6546626/,tt4295140,"Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven."
Chef's Table,3,3,Nancy Silverton,"Feb 17, 2017",8.2,261,"An American chef describes her life path involving both Los Angeles and Italy, her family and her obsession with bread.",https://www.imdb.com/title/tt6546628/,tt4295140,"Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven."
Chef's Table,3,4,Ivan Orkin,"Feb 17, 2017",8.3,295,"A chef tells his story about dealing with ramen in Tokyo and New York, full of emotions and life.",https://www.imdb.com/title/tt6546630/,tt4295140,"Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven."
Chef's Table,3,5,Tim Raue,"Feb 17, 2017",7.2,249,"A chef from Berlin talks about his childhood, growing up, getting involved with cooking and how he rose to the top of German chefs.",https://www.imdb.com/title/tt6546634/,tt4295140,"Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven."
Chef's Table,3,6,Virgilio Martinez,"Feb 17, 2017",8.8,299,"Magnificently creative and a true visionary, Peruvian chef takes us on a trip through Peru to help us understand his ideas, inspiration and his history as a chef.",https://www.imdb.com/title/tt6546636/,tt4295140,"Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven."
Chef's Table,4,1,Christina Tosi,"Apr 13, 2018",7.8,266,"Chef Christina Tosi talks about her life, her career and her inspiration, which lead her to running a successful New York pastry franchise.",https://www.imdb.com/title/tt8079644/,tt4295140,"Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven."
Chef's Table,4,2,Corrado Assenza,"Apr 13, 2018",8.4,220,"Chef Corrado Assenza talks about preserving the traditional values and creating his pastries in Noto, Italy.",https://www.imdb.com/title/tt8079646/,tt4295140,"Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven."
Chef's Table,4,3,Jordi Roca,"Apr 13, 2018",8.4,236,"A tale of three brothers behind one of the best restaurants in the world, with special focus on the pastry chef among them.",https://www.imdb.com/title/tt8079648/,tt4295140,"Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven."
Chef's Table,4,4,Will Goldfarb,"Apr 13, 2018",7.3,155,Chef Will Goldfarb talks about his dynamic career and the obstacles he encountered on the way to where he is today.,https://www.imdb.com/title/tt8079652/,tt4295140,"Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven."
Chef's Table,5,1,Cristina Martinez,"Sep 28, 2018",7.0,295,"Cristina talks her family, remembers her difficult past in Mexico and comments on her current struggles in the U.S., where she has her own barbacoa restaurant.",https://www.imdb.com/title/tt8773076/,tt4295140,"Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven."
Chef's Table,5,2,Musa Dagdeviren,"Sep 28, 2018",8.5,300,"After journeying through Turkey's regions, Chef Musa transformed the culinary scene in Istanbul when he started preparing traditional Turkish dishes in his restaurant.",https://www.imdb.com/title/tt9058410/,tt4295140,"Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven."
Chef's Table,5,3,Bo Songvisava,"Sep 28, 2018",7.7,138,"Chef Bo describes her path, involving training in London, finding organic produce, and the difficulties of opening an authentic Thai restaurant in the capital of -- Thailand.",https://www.imdb.com/title/tt9058414/,tt4295140,"Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven."
Chef's Table,5,4,Albert Adriá,"Sep 28, 2018",8.1,172,"Trying to break out of living in the shadow of his past, Chef Albert explores how far he can move his creativity in creating the avant-garde.",https://www.imdb.com/title/tt9058418/,tt4295140,"Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven."
Chef's Table,6,1,Mashama Bailey,"Feb 22, 2019",7.4,194,"Mashama Bailey returns to Georgia, her place of birth, to open a new restaurant drawing on the knowledge and culinary history of the Southern African American chefs who came before her.",https://www.imdb.com/title/tt9675416/,tt4295140,"Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven."
Chef's Table,6,2,Dario Cecchini,"Feb 22, 2019",8.2,201,Aspiring veterinarian Dario Ceccini returns to save his family's butchery business and becomes the world's most famous butcher.,https://www.imdb.com/title/tt9675418/,tt4295140,"Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven."
