tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
Cobra Kai,1,1,Ace Degenerate,"May 2, 2018",8.5,4960,"34 years after losing the All Valley Karate Championship, Johnny Lawrence decides to reopen the Cobra Kai Dojo while his school adversary, Daniel LaRusso, runs a successful auto business.",https://www.imdb.com/title/tt7521330/,tt7221388,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again."
Cobra Kai,1,2,Strike First,"May 2, 2018",8.2,3972,Daniel is dismayed to find a new Cobra Kai dojo has been opened up. Johnny learns his dojo has to pass several safety requirements before he can actually start teaching.,https://www.imdb.com/title/tt7551662/,tt7221388,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again."
Cobra Kai,1,3,Esqueleto,"May 2, 2018",8.1,3781,Miguel helps Johnny advertise Cobra Kai on the web. Daniel agrees to chaperone at the Halloween dance so he can keep an eye on his daughter.,https://www.imdb.com/title/tt7551658/,tt7221388,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again."
Cobra Kai,1,4,Cobra Kai Never Dies,"May 2, 2018",8.1,3713,Robbie is in hot water with his father. Johnny plans to shut down Cobra Kai after Miguel is injured. Samantha and Kyler's relationship hits rock bottom. A vandalized billboard creates tension for Daniel.,https://www.imdb.com/title/tt7551654/,tt7221388,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again."
Cobra Kai,1,5,Counterbalance,"May 2, 2018",8.8,4003,Cobra Kai gains its second student. Daniel has an intricate plan to get payback on Johnny. Miguel defends Samantha against Kyler during lunch break.,https://www.imdb.com/title/tt7575674/,tt7221388,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again."
Cobra Kai,1,6,Quiver,"May 2, 2018",8.4,3577,"Johnny's dojo class attracts a group of misfits while his son Robby, who harbors ulterior motives, lands a new job. Samantha makes a new friend in science class. Daniel inspires interest in karate from an unlikely person.",https://www.imdb.com/title/tt7575676/,tt7221388,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again."
Cobra Kai,1,7,All Valley,"May 2, 2018",8.6,3578,"When Johnny learns Cobra Kai is banned from the All Valley Tournament, he faces the City Council. Miguel asks Samantha out. Robbie takes lessons from Daniel, just as his buddies plot a heist from LaRusso Auto.",https://www.imdb.com/title/tt7647522/,tt7221388,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again."
Cobra Kai,1,8,Molting,"May 2, 2018",8.5,3495,"Johnny prepares his Cobra Kai students for the next All Valley Karate Tournament and in turn, he is inspired to clean up his life. Daniel is still unaware of his new pupil's background.",https://www.imdb.com/title/tt7647526/,tt7221388,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again."
Cobra Kai,1,9,Different but Same,"May 2, 2018",8.9,3729,Louie's reckless actions force Johnny and Daniel to go down memory lane. The Cobra Kai students plot revenge against the popular kids. Miguel grows impatient with Samantha.,https://www.imdb.com/title/tt7756134/,tt7221388,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again."
Cobra Kai,1,10,Mercy,"May 2, 2018",9.1,4356,It is the day of the 2018 All Valley Karate Tournament and Cobra Kai is determined to win. Robbie signs up unaffiliated. A familiar face from the past returns.,https://www.imdb.com/title/tt7841694/,tt7221388,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again."
Cobra Kai,2,1,Mercy Part II,"Apr 24, 2019",8.3,3376,"In the aftermath of Cobra Kai's win at the Under 18 All Valley Karate Championships, Johnny questions his dojo's philosophy and deals with a figure from his past. Daniel searches for the right way to respond to Cobra Kai's dominance.",https://www.imdb.com/title/tt8399416/,tt7221388,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again."
Cobra Kai,2,2,Back in Black,"Apr 24, 2019",8.1,3201,"Miyagi-Do is reopened, with Robbie and Samantha as Daniel's first students. Daniel and Amanda meet their quota at LaRusso Auto. Johnny lays down the law to stop his students goofing off.",https://www.imdb.com/title/tt9077574/,tt7221388,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again."
Cobra Kai,2,3,Fire and Ice,"Apr 24, 2019",8.3,3186,Daniel pulls out all the stops in an effort to recruit new students to Miyagi-Do Karate. Johnny reflects on some of the major relationships in his life and responds to Daniel's promotional efforts with his own.,https://www.imdb.com/title/tt9369172/,tt7221388,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again."
Cobra Kai,2,4,The Moment of Truth,"Apr 24, 2019",8.2,3111,"Daniel struggles to teach a new student. Meanwhile, Cobra Kai students wage war on the Miyagi dojo.",https://www.imdb.com/title/tt9475924/,tt7221388,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again."
Cobra Kai,2,5,All In,"Apr 24, 2019",8.5,3188,"Daniel struggles to help a new student learn. Miguel makes a new connection, while Johnny tries to repair a relationship. Tensions between the two dojos build to a breaking point.",https://www.imdb.com/title/tt9475922/,tt7221388,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again."
Cobra Kai,2,6,Take a Right,"Apr 24, 2019",8.8,3578,Johnny goes for a ride with some old friends. Kreese continues to exert his authority at Cobra Kai.,https://www.imdb.com/title/tt9347498/,tt7221388,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again."
Cobra Kai,2,7,Lull,"Apr 24, 2019",8.3,3030,"To prepare his students, Daniel gives some new training methods a shot. Miguel puts a new lesson into practice. Johnny makes a tough but pivotal decision that affects Cobra Kai.",https://www.imdb.com/title/tt9475926/,tt7221388,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again."
Cobra Kai,2,8,Glory of Love,"Apr 24, 2019",8.2,3053,"Daniel works to make amends with Amanda, while Johnny is introduced to the world of dating apps. Complications arise when Miguel, Samantha, Robby and Tory cross paths.",https://www.imdb.com/title/tt9308178/,tt7221388,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again."
Cobra Kai,2,9,Pulpo,"Apr 24, 2019",8.7,3296,"Johnny cautiously takes a stab at love, while Daniel and Amanda enjoy a romantic date night. An attempt to bring the students of the two dojos together backfires as hostilities between the teens escalate.",https://www.imdb.com/title/tt9556304/,tt7221388,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again."
Cobra Kai,2,10,No Mercy,"Apr 24, 2019",9.4,5609,Tensions between the two dojos finally come to a head on the first day of school. The resulting showdown leaves one student fighting for their life.,https://www.imdb.com/title/tt9475928/,tt7221388,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again."
Cobra Kai,3,1,Aftermath,"Jan 1, 2021",8.1,3432,"Miguel's fighting for his life, Robby's missing, and Daniel and Johnny's reputations are in tatters as the community reacts to the West Valley brawl.",https://www.imdb.com/title/tt10293662/,tt7221388,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again."
Cobra Kai,3,2,Nature vs. Nurture,"Jan 1, 2021",8.2,3191,Daniel and Johnny team up to find Robby. Miguel faces an uncertain future. Kreese tries to bring Tory back to Cobra Kai.,https://www.imdb.com/title/tt10293672/,tt7221388,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again."
Cobra Kai,3,3,Now You're Gonna Pay,"Jan 1, 2021",7.9,3078,"Daniel's tarnished public image takes a toll on his sales, leading to a takeover offer. Johnny tries to raise money for Miguel's surgery.",https://www.imdb.com/title/tt10293676/,tt7221388,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again."
Cobra Kai,3,4,The Right Path,"Jan 1, 2021",8.5,3256,"Following an important meeting in Japan, Daniel revisits Mr. Miyagi's hometown in Okinawa. Johnny attempts to reconnect with Robby.",https://www.imdb.com/title/tt10293668/,tt7221388,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again."
