tv,season,episode_number,title,airdate,rating,total_votes,desc,encoded_title
Community,1,1,Pilot,"Sep 17, 2009",7.7,4764,"An ex-lawyer is forced to return to community college to get a degree. However, he tries to use the skills he learned as a lawyer to get the answers to all his tests and pick up on a sexy woman in his Spanish class.",tt1439629
Community,1,2,Spanish 101,"Sep 24, 2009",7.8,4147,"Jeff takes steps to ensure that Britta will be his partner in Spanish class, but winds up with Pierce instead.",tt1439629
Community,1,3,Introduction to Film,"Oct 1, 2009",8.2,4093,"Britta comes between Abed and his father when she signs him up for a film class, and Jeff risks failing a class unless he ""seizes the day.""",tt1439629
Community,1,4,Social Psychology,"Oct 8, 2009",8.1,3770,"Jeff and Shirley bond by making fun of Britta's new hippie boyfriend, which doesn't go well for any involved. Meanwhile, Troy and Abed become pawns in Annie's psychology experiment.",tt1439629
Community,1,5,Advanced Criminal Law,"Oct 15, 2009",7.8,3609,"Señor Chang is on the hunt for a cheater and threatens to fail the entire class if the culprit doesn't come forward. When someone confesses, Jeff comes to their defense. Meanwhile, Annie recruits Pierce to write the new school song.",tt1439629
Community,1,6,"Football, Feminism and You","Oct 22, 2009",7.7,3547,"Jeff talks Troy into playing for the college's football team, sparking Annie's anger. Pierce helps the dean come up with a new mascot, and Britta tries to become Shirley's bathroom friend.",tt1439629
Community,1,7,Introduction to Statistics,"Oct 29, 2009",8.7,4155,Will Jeff blow off Annie's Halloween party and sell out his other classmates in order to get a chance to score with a sexy professor?,tt1439629
Community,1,8,Home Economics,"Nov 5, 2009",7.9,3476,"When Jeff loses his home and his car, he is forced to move into Abed's dorm room. Troy has a big date, but why is a jealous Annie trying to help? Meanwhile, Pierce becomes the keyboardist for Vaughn's band.",tt1439629
Community,1,9,Debate 109,"Nov 12, 2009",8.8,4192,"Jeff reluctantly agrees to be Annie's debate partner, Britta humors Pierce by letting him try hypnotherapy on her to get her to stop smoking, and the gang begins to think that Abed's films may predict their future.",tt1439629
Community,1,10,Environmental Science,"Nov 19, 2009",8.2,3516,"Jeff hangs out with Senor Chang to get out of an essay, angering the rest of the group. Meanwhile, Abed and Troy search for their missing lab mouse, and Pierce helps Shirley out with a presentation.",tt1439629
