tv,season,episode_number,title,airdate,rating,total_votes,desc,encoded_title
Coupling,1,1,Flushed,"May 12, 2000",8.3,692,"Steve Taylor is a charming, efficient man, but can't handle women well, being affected by fears which are only aggravated when he talks with his best mate Jeff, who always manages to say and do the wrong thing and worse...",tt0237123
Coupling,1,2,Size Matters,"May 19, 2000",8.6,625,"When Susan calls Steve, he instantly looses all his command of conversation, yet they agree to meet and she offers to cook, according to Sally an offer of free sex plus catering. Steve's report to the mates is treated to Jeff's dubious 'foreplay tips', such as avoiding at all cost to be even a moment, while undressing, naked except for socks, and one the mentioned girls overhear entering the bar: using the girlfriend's first name to call the celebrity one usually thinks of during sex. Jane is absurdly confident her own bisexuality makes her eligible for pure gay hunk ...",tt0237123
Coupling,1,3,"Sex, Death & Nudity","May 26, 2000",8.8,634,"Jane's aunt dies, and everyone's going to the funeral ... but whose date is whose? The event has Sally worrying that her anti-aging beauty regime may never be enough. This episode also features Jeff's infamous (and illustrated) theory of the ""giggle loop.""",tt0237123
Coupling,1,4,Inferno,"Jun 2, 2000",9.1,703,"While tidying up Steve's flat, Susan finds a hot tape we'll just call ""Inferno"" ... but that's not the FULL title. At a dinner party featuring all the friends, plus Jane's ambiguous guest, he is called upon to give a detailed review of the film and, by extension, a defense of the whole male heterosexual psyche. Jane also takes this evening as her opportunity to proclaim her variety of ""open"" vegetarianism.",tt0237123
Coupling,1,5,The Girl with Two Breasts,"Jun 9, 2000",9.1,783,"Jeff meets and tries to ""chat up"" an Israeli girl who doesn't speak English. Meanwhile, Steve and Patrick are inspired to thoughts of a science fiction movie featuring intelligent breasts -- but what will they call it?",tt0237123
Coupling,1,6,The Cupboard of Patrick's Love,"Jun 16, 2000",8.7,562,"Patrick's video collection, including the tape of Susan, is discovered. Before she can ask for Patrick's discretion, he's already shown it to Steve, Jeff and Sally who haven't even noticed that Patrick taped over her.",tt0237123
Coupling,2,1,The Man with Two Legs,"Sep 3, 2001",9.1,711,"Jeff is smitten with a woman he's seen on the train. Well, actually, just with her leg as that's all he's seen of her.",tt0237123
Coupling,2,2,My Dinner in Hell,"Sep 10, 2001",8.5,522,"Susan's sexually frank parents are coming to dinner, and Steve's worried. Seeing a nature TV show with Susan that talks about the need for the male of the species to continue to ""enjoy"" himself doesn't exactly help. Patrick and Jeff become obsessed with, shall we say, publicity rights. Meanwhile, Jane has discovered a talent for identifying people's ideal celebrity friend just by looking at them, and she has a surefire technique for meeting and befriending those celebrities. TV news presenter Mariella Frostrup stars as herself ... though her cellphone seems to be ...",tt0237123
Coupling,2,3,Her Best Friend's Bottom,"Sep 17, 2001",8.6,523,Steve accidentally sees Sally naked!,tt0237123
Coupling,2,4,The Melty Man Cometh,"Sep 24, 2001",8.3,501,"Sally and Patrick both try to deal with the fact Patrick had some trouble performing ""in the sack"".",tt0237123
