tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,encoded_title,show_desc
Daredevil,1,1,Into the Ring,"Apr 10, 2015",8.5,12439,"Matt Murdock and Foggy Nelson open their law firm, and take the case of a woman accused of murder who Matt believes is innocent.",tt3322312,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil."
Daredevil,1,2,Cut Man,"Apr 10, 2015",9.0,11818,"Murdock makes a near fatal error while trying to save a kidnapped boy, and finds an unlikely ally when he needs saving himself.",tt3322312,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil."
Daredevil,1,3,Rabbit in a Snowstorm,"Apr 10, 2015",8.4,9995,"Murdock and Foggy take on a mysterious wealthy client, but Murdock is convinced that there's more to the case than just the facts.",tt3322312,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil."
Daredevil,1,4,In the Blood,"Apr 10, 2015",8.8,9700,Two vicious Russian brothers working for Fisk strike back against Daredevil. Fisk moves to further consolidate his power in the criminal underworld.,tt3322312,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil."
Daredevil,1,5,World on Fire,"Apr 10, 2015",8.8,9332,Fisk moves forward with plans that threaten to rip Hell's Kitchen apart. Murdock and Foggy take on a case helping tenants victimised by a slumlord.,tt3322312,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil."
Daredevil,1,6,Condemned,"Apr 10, 2015",9.0,9501,Daredevil finds himself trapped in the fallout of Fisk's plan to take control of Hell's Kitchen. Ben Urich digs closer to the truth.,tt3322312,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil."
Daredevil,1,7,Stick,"Apr 10, 2015",8.7,9227,An important figure from Murdock's past reemerges seeking his help to battle a new enemy threatening Hell's Kitchen.,tt3322312,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil."
Daredevil,1,8,Shadows in the Glass,"Apr 10, 2015",9.0,9207,"While Murdock, Foggy and Karen's mission becomes clearer, Fisk's world spins further out of control in his battle for Hell's Kitchen.",tt3322312,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil."
Daredevil,1,9,Speak of the Devil,"Apr 10, 2015",9.2,9496,"When Fisk gains the upper hand, the goal to destroy him becomes even more difficult, while Daredevil faces his own demons.",tt3322312,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil."
Daredevil,1,10,Nelson v. Murdock,"Apr 10, 2015",8.6,8813,"After Foggy and Murdock's relationship has taken a turn for the worst, a new enemy of Fisk has surfaced.",tt3322312,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil."
Daredevil,1,11,The Path of the Righteous,"Apr 10, 2015",8.8,8711,"Fisk and Murdock wrestle with the consequences of their chosen paths, while Ben and Karen get closer to Fisk's true past.",tt3322312,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil."
Daredevil,1,12,The Ones We Leave Behind,"Apr 10, 2015",8.8,8556,Fisk seeks revenge while Karen is haunted by recent events. Daredevil makes a startling discovery about Fisk's financing.,tt3322312,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil."
Daredevil,1,13,Daredevil,"Apr 10, 2015",9.4,11343,"In the season finale, a boxed-in Fisk and a desperate Murdock, Foggy, and Karen are forced to play their end games.",tt3322312,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil."
Daredevil,2,1,Bang,"Mar 18, 2016",8.9,9196,"In the void left by Fisk's removal, a new threat to Hell's Kitchen emerges. Murdock and Foggy take on a client with a questionable past.",tt3322312,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil."
Daredevil,2,2,Dogs to a Gunfight,"Mar 18, 2016",8.8,8092,"As Murdock recovers from an attack, Foggy and Karen fight to protect their new client from both the law and the Kitchen's newest vigilante.",tt3322312,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil."
Daredevil,2,3,New York's Finest,"Mar 18, 2016",9.5,10473,"Trapped face-to-face with the Punisher, Daredevil wrestles with the morality of vigilante justice. Meanwhile, Foggy and Karen work to save the firm.",tt3322312,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil."
Daredevil,2,4,Penny and Dime,"Mar 18, 2016",9.5,9975,"Karen uncovers shocking facts about the Punisher, who finds himself hunted by a powerful force in Hell's Kitchen. Daredevil ponders his next moves.",tt3322312,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil."
Daredevil,2,5,Kinbaku,"Mar 18, 2016",8.4,7429,A former lover arrives in Hell's Kitchen and turns Murdock's world upside down. Karen digs for the truth about the Punisher.,tt3322312,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil."
Daredevil,2,6,Regrets Only,"Mar 18, 2016",8.6,7071,"A lethal foe returns with a vengeance, Foggy and Murdock risk the firm to ensure justice, and Karen sees a different side of the Punisher.",tt3322312,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil."
Daredevil,2,7,Semper Fidelis,"Mar 18, 2016",8.6,6962,"Murdock and Foggy take on the DA in the trial of the century, but their client refuses to play along. Murdock struggles to balance his dual identities.",tt3322312,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil."
Daredevil,2,8,Guilty as Sin,"Mar 18, 2016",9.1,7383,"As the firm's trial spins out of control, a figure from Murdock's past returns to deliver shocking revelations about the future of Hell's Kitchen.",tt3322312,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil."
