tv,season,episode_number,title,airdate,rating,total_votes,desc,encoded_title
Deadwood,1,1,Deadwood,"Mar 21, 2004",8.3,2650,"After executing his last act of justice as a Montana marshal, Seth Bullock relocates to a gold-mining camp known as Deadwood in Dakota Territory, where he and partner Sol Star look to start a hardware business. Bullock soon crosses paths with another new arrival - legendary gunfighter Wild Bill Hickok - and clashes with the formidable boss of the Gem Saloon and occasional deal broker, Al Swearengen.",tt0348914
Deadwood,1,2,Deep Water,"Mar 28, 2004",8.3,2022,"As suspicions arise that ""road agents"" may have been the true perpetrators of a massacre, Swearengen takes a special interest in the health of its sole survivor, a young girl ministered to by the unlikely team of Doc Cochran and Calamity Jane. Meanwhile, Bullock and Star attempt to buy property from Swearengen, who suspects an alliance between Wild Bill and the hardware fellows.",tt0348914
Deadwood,1,3,Reconnoitering the Rim,"Apr 4, 2004",8.2,1884,"Competition arrives for Swearengen in the form of the Bella Union, a new gambling outfit from Chicago operated by savvy Cy Tolliver, Madame Joanie Stubbs and gaming guru Eddie Sawyer. Hickok puts up precious collateral in a poker game with McCall; Bullock and Sol strike a deal with Swearengen on a lot for their hardware store. Garret threatens Swearengen before investigating his gold claim.",tt0348914
Deadwood,1,4,Here Was a Man,"Apr 11, 2004",8.8,1975,"Swearengen directs Farnum to buy back the Garret claim. Garret's wife, Alma, prevails on Calamity Jane and Wild Bill for help with the claim issue. Hickok's respect for Bullock grows and, as a result, he commissions Bullock to do a review of the Garret claim. An ailing colleague, Andy Cramed, rejoins the Bella Union, and Wild Bill's run of luck at poker ends abruptly.",tt0348914
Deadwood,1,5,The Trial of Jack McCall,"Apr 18, 2004",8.1,1756,"Swearengen transforms the Gem into a courtroom as Deadwood is forced to make its own laws to try a cowardly murderer. With Calamity Jane off on a bender, Trixie is enlisted by Swearengen to help Alma with the orphaned child and to keep her pliable to his purposes. Fearing Andy's illness might threaten his business, Cy banishes him to the woods, where he is discovered by Jane.",tt0348914
Deadwood,1,6,Plague,"Apr 25, 2004",8.3,1690,"Bullock encounters native resistance in his quest to bring a murderer to justice. Swearengen presses Farnum to keep tabs on Alma and Trixie. After an outbreak of smallpox hits Deadwood, the camp fathers pool their resources to track down the vaccine, and Doc enlists Jane as a nurse. Swearengen proudly collaborates on an article in the Deadwood Pioneer meant to minimize the threat of the outbreak.",tt0348914
Deadwood,1,7,Bullock Returns to the Camp,"May 2, 2004",8.1,1794,"After tracking down a murderer, Bullock returns to Deadwood a changed man as well as a marked one. Dan and Joanie both take a special interest when teenagers Miles and Flora Anderson arrive in camp in search of their father. Calamity Jane earns her moniker in the Pest Tent, while Swearengen sees through Trixie's subterfuge. Alma remains cold to Farnum's inappropriately advanced bid on her claim.",tt0348914
Deadwood,1,8,Suffer the Little Children,"May 9, 2004",8.3,1831,"Deadwood breathes easier when some riders arrive in town with the smallpox vaccine, and word of a possible treaty with the Sioux. The results of Bullock's analysis of her gold claim move Alma to reassess her plans and sets up a confrontation between Bullock and Swearengen. When Flora tries to quit, Cy teaches Joanie a deadly lesson at the expense of a couple of con artists.",tt0348914
Deadwood,1,9,No Other Sons or Daughters,"May 16, 2004",8.1,1567,"With annexation of Deadwood looming, Swearengen calls a meeting to set up an informal government. Bullock and Alma compare notes on Ellsworth and each other, and Farnum gets a special-delivery letter from Hickok and a special new post. Joanie finally prepares to make a go on her own, with Cy's avowed blessings, and after a long binge, Calamity Jane decides to ride out of town.",tt0348914
Deadwood,1,10,Mister Wu,"May 23, 2004",8.7,1680,"An opium theft leaves Swearengen trying to find a common language with his supplier, and navigating murky waters to deal with the mess. Meanwhile, Silas Adams, bagman for the magistrate from Yankton, arrives with bad news for Swearengen. Bullock regrets having raised his hand at the government meeting. An unwelcome and ailing Reverend Smith gravitates to the Gem and its new piano.",tt0348914
