tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
Death Note,1,1,Rebirth,"Oct 21, 2007",8.4,4700,A brilliant but bored student finds a notebook that can kill anyone whose name he writes in it.,https://www.imdb.com/title/tt0885243/,tt0877057,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.
Death Note,1,2,Confrontation,"Oct 10, 2006",8.9,4900,"While the world's criminals continue to drop dead, L meets by computer with representatives from various nations. He requests that a task force be set up in Japan.",https://www.imdb.com/title/tt0900488/,tt0877057,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.
Death Note,1,3,Dealings,"Oct 17, 2006",8.4,3800,"L continues to expand his investigations and suspects the police force while Light starts to use another trait of the book to prove wrong the theories of L. In the meantime, Ryuk offers Light a deal.",https://www.imdb.com/title/tt0909466/,tt0877057,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.
Death Note,1,4,Pursuit,"Oct 24, 2006",8.7,3800,Light (known to the world as Kira) tests the Death Note to understand the scope of its powers by killing off six convicts in various ways and confirms he can control his victims' actions before they die.,https://www.imdb.com/title/tt0901528/,tt0877057,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.
Death Note,1,5,Tactics,"Oct 31, 2006",8.4,3700,"Soichiro Yagami demands to meet with L in person when he finds out that L has secretly brought FBI agents into Japan. Light, meanwhile, has found a way to get those very FBI agents off the case - permanently.",https://www.imdb.com/title/tt0903684/,tt0877057,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.
Death Note,1,6,Unraveling,"Nov 7, 2006",8.2,3500,Light meets a woman at the Police Department with an urgent message for the Kira task force.,https://www.imdb.com/title/tt0905451/,tt0877057,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.
Death Note,1,7,Overcast,"Nov 14, 2006",8.9,4300,Light uses the Death Note to try to get rid of the woman who could get him captured and is shocked when it doesn't work.,https://www.imdb.com/title/tt0919367/,tt0877057,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.
Death Note,1,8,Glare,"Nov 21, 2006",8.4,3400,"Light, entirely aware of L's surveillance equipment in his home, begins a very careful game to throw off suspicion.",https://www.imdb.com/title/tt0919369/,tt0877057,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.
Death Note,1,9,Encounter,"Nov 28, 2006",8.5,3400,"L's suspicions are momentarily subdued, but he does not discard the possibility that Light may be Kira and decides to meet him in person. At the college entrance exams, Light notices a mysterious and eccentric student staring at him.",https://www.imdb.com/title/tt0919370/,tt0877057,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.
Death Note,1,10,Doubt,"Dec 5, 2006",8.2,3300,"In a bid to profile Light's behavior, L challenges him to a game of tennis. L asks him some questions regarding the Kira case and invites him to help the investigation. The two then receive news that Light's father has had a heart attack.",https://www.imdb.com/title/tt0919368/,tt0877057,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.
Death Note,1,11,Assault,"Dec 12, 2006",8.6,3300,"As the Kira investigation team discusses the disappearance of Naomi Misora, Sakura TV broadcasts an audio tape allegedly from Kira. To prevent Kira from gaining public support, L demands that the broadcast be stopped.",https://www.imdb.com/title/tt0919371/,tt0877057,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.
Death Note,1,12,Love,"Dec 26, 2006",8.2,3200,"Light meets with L and the detectives. Meaning to test Light's analytical skills, L has him listen to the recordings confiscated by the team to determine if there are any clues in the reader's voice.",https://www.imdb.com/title/tt0924022/,tt0877057,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.
Death Note,1,13,Confession,"Jan 9, 2007",8.3,3200,"Light goes to Aoyama to discover the identity of the second Kira before L becomes more suspicious, but Misa Amane, the new Kira, uses her unusual gift to find Light before he finds her.",https://www.imdb.com/title/tt0924023/,tt0877057,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.
Death Note,1,14,Friend,"Jan 16, 2007",8.2,3200,"Light and Misa show each other their Death Notes, and Light asks Misa to have her shinigami Rem get rid of L, which Misa will do in order to have Light fall in love with her.",https://www.imdb.com/title/tt0947907/,tt0877057,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.
Death Note,1,15,Wager,"Jan 23, 2007",8.8,3400,"Convinced the two Kiras have met and worried at the prospect of his own murder, L declares that the event of his death will prove Light is Kira.",https://www.imdb.com/title/tt0947906/,tt0877057,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.
Death Note,1,16,Decision,"Jan 30, 2007",8.2,3100,"In a plan to remove all suspicions from himself, Light tells L that he thinks he may be Kira subconsciously and asks to be confined. Light's father believes it is also a good idea to be confined to a cell as well as he cannot risk his emotions getting the better of him. In confinement, Light gives Ryuk the order to have his memory wiped, leaving L confused now that hi... Read all",https://www.imdb.com/title/tt0950512/,tt0877057,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.
