tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
Demon Slayer: Kimetsu no Yaiba,1,1,Cruelty,"Jan 22, 2021",8.5,3527,Tanjiro Kamado's life gets turned upside down when he finds out that his family was murdered by demons.,https://www.imdb.com/title/tt9828480/,tt9335498,"A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister."
Demon Slayer: Kimetsu no Yaiba,1,2,Trainer Sakonji Urokodaki,"Apr 13, 2019",8.0,2866,"Tanjiro and Nezuko head for Mt. Sagiri per Giyu Tomioka's urges. On their way, Tanjiro encounters another demon.",https://www.imdb.com/title/tt9913012/,tt9335498,"A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister."
Demon Slayer: Kimetsu no Yaiba,1,3,Sabito and Makomo,"Apr 20, 2019",8.3,2813,"The Demon Slayer Corps - An organization that's been hunting down demons since ancient times. Sakonji Urokodaki starts training Tanjiro for Final Selection, the test for joining the unit.",https://www.imdb.com/title/tt9913014/,tt9335498,"A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister."
Demon Slayer: Kimetsu no Yaiba,1,4,Final Selection,"Apr 27, 2019",8.9,3121,"To pass the Final Selection, Tanjiro uses the techniques he learned from Sakonji Urokodaki and begins his fight against a demon on Mt. Fajikasane.",https://www.imdb.com/title/tt9913018/,tt9335498,"A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister."
Demon Slayer: Kimetsu no Yaiba,1,5,My Own Steel,"May 4, 2019",8.2,2588,There are only four swordsmen left come dawn of the seventh day and they are issued Demon Slayer Corps uniforms and messengers crows.,https://www.imdb.com/title/tt9913022/,tt9335498,"A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister."
Demon Slayer: Kimetsu no Yaiba,1,6,Swordsman Accompanying a Demon,"May 11, 2019",8.1,2533,In uniform and with a sword in his hand Tanjiro continues his main quest to find the demon who murdered his family.,https://www.imdb.com/title/tt9913028/,tt9335498,"A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister."
Demon Slayer: Kimetsu no Yaiba,1,7,Muzan Kibutsuji,"May 18, 2019",8.8,2797,With Tanjiro backed into a corner by demons its Nezuko's turn to attack and prove that she no longer needs her brother's protection.,https://www.imdb.com/title/tt9913030/,tt9335498,"A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister."
Demon Slayer: Kimetsu no Yaiba,1,8,The Smell of Enchanting Blood,"May 25, 2019",8.5,2547,"Two demons, Tamayo and Yushiro come to Tanjiro's rescue. Tamayo guides Tanjiro and Nezuko to her house where Tanjiro learns how to return demons to humans.",https://www.imdb.com/title/tt9913032/,tt9335498,"A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister."
Demon Slayer: Kimetsu no Yaiba,1,9,Temari Demon and Arrow Demon,"Jun 1, 2019",8.6,2480,"Two demons, Tamayo and Yushiro come to Tanjiro's rescue. Tamayo guides Tanjiro and Nezuko to her house where Tanjiro learns how to return demons to humans.",https://www.imdb.com/title/tt9913036/,tt9335498,"A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister."
Demon Slayer: Kimetsu no Yaiba,1,10,Together Forever,"Jun 8, 2019",8.6,2461,With Tamayo coming to Nezuko's aid the battle reaches its climax. Tanjiro learns about the Twelve Demon Moons organization.,https://www.imdb.com/title/tt9913038/,tt9335498,"A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister."
