tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,encoded_title,show_desc
Detectorists,1,1,Episode 1,"Oct 2, 2014",7.7,391,"Andy and Lance are members of the small but dedicated Danbury Metal Detecting Club (DMDC), who search for buried treasure with metal detectors. As boring club president Terry welcomes new member student Sophie Andy and Lance determine to look for the rumoured Saxon hoard on farm-land owned by eccentric Larry Bishop, a man once suspected of killing his wife. The pair visit Larry, now a befuddled old man, but he does tell them of an archaeological dig halted by the outbreak of World War Two and allow them to search his land.",tt4082744,"The lives of two eccentric metal detectorists, who spend their days plodding along ploughed tracks and open fields, hoping to disturb the tedium by unearthing the fortune of a lifetime."
Detectorists,1,2,Episode 2,"Oct 9, 2014",7.9,322,"Exploring Larry Bishop's land Lance and Andy find nothing of interest though they do encounter Art and Paul from the rival Antiquisearchers, whom they send packing. Bishop tells them that some years ago he found some treasures which he gave to Justine but declines to say who Justine is. He also gives them some gold but they decide to keep it a secret. Actually Sophie has heard what they are doing but believes from her research that the Saxon hoard they want is in the next county. Lance meanwhile is anxious to reform his old folk duo with Andy so that he can perform a ...",tt4082744,"The lives of two eccentric metal detectorists, who spend their days plodding along ploughed tracks and open fields, hoping to disturb the tedium by unearthing the fortune of a lifetime."
Detectorists,1,3,Episode 3,"Oct 16, 2014",8.4,314,"Andy and Lance perform at the open mike evening but Lance is upset that Maggie does not come to support him whilst Andy's insistence that his girlfriend Becky should not turn up to see him looking foolish leads to her believing he is having an affair with Sophie. They decide to tell Terry that they have permission to dig up Larry Bishop's land and, as an ex-policeman still determined to catch Larry for the suspected murder of his wife, he is happy to join them. Unfortunately the result is rather explosive.",tt4082744,"The lives of two eccentric metal detectorists, who spend their days plodding along ploughed tracks and open fields, hoping to disturb the tedium by unearthing the fortune of a lifetime."
Detectorists,1,4,Episode 4,"Oct 23, 2014",8.1,285,"Hospitalized after unearthing the UXB Terry decides to retire as club president, nominating a reluctant Andy to succeed him. Next day Andy and Sophie find a gold coin on Bishop's land and share a chaste, celebratory kiss before the army arrives to declare the land out of bounds whilst they look for more bombs. Angry that Andy was with Sophie and not him when he found the coin Lance forms his own pub quiz team comprising Maggie and Tony, who beat Andy, Sophie and Becky - the deal being that the loser not only stands down as president but resigns from the club.To make ...",tt4082744,"The lives of two eccentric metal detectorists, who spend their days plodding along ploughed tracks and open fields, hoping to disturb the tedium by unearthing the fortune of a lifetime."
Detectorists,1,5,Episode 5,"Oct 30, 2014",8.4,289,"Still puzzled as to why she left him Andy visits Becky, who shows him the incriminating photo. He does make it up with Lance, who confesses to Sophie that he has won over a quarter of a million pounds on the lottery. He does not tell her that Maggie has asked him for a loan to save her shop. Sophie is however seen to be a traitor when it transpires that she is a former member of the Antiquisearchers and with the army declaring Larry's farm a free-for-all the group considers disbanding though Terry saves the day by withdrawing his resignation. Andy discovers that Becky...",tt4082744,"The lives of two eccentric metal detectorists, who spend their days plodding along ploughed tracks and open fields, hoping to disturb the tedium by unearthing the fortune of a lifetime."
Detectorists,1,6,Episode 6,"Nov 6, 2014",8.7,306,"Lance learns that Maggie has known about his lottery win whilst Andy wins back Becky by selling his detecting equipment and promising to give up his activity. In the pub they meet Larry Bishop, who tells them that his wife is alive and well and the bones dug up belonged to his dead dogs. The club holds an open day but the only person to turn up is Sophie, who informs everybody that Antiquisearchers have been disqualified from the dig for placing nails on the site. Becky's excellent local history knowledge comes in very handy as everybody rallies to find the Saxon ...",tt4082744,"The lives of two eccentric metal detectorists, who spend their days plodding along ploughed tracks and open fields, hoping to disturb the tedium by unearthing the fortune of a lifetime."
Detectorists,2,1,Episode #2.1,"Oct 29, 2015",8.1,265,"Andy's been thinking about internet dating. Not for him, but for his friend Lance who's still not over the departure of his ex-wife. A mysterious stranger arrives to tempt the Danebury Metal Detecting Club in more ways than one.",tt4082744,"The lives of two eccentric metal detectorists, who spend their days plodding along ploughed tracks and open fields, hoping to disturb the tedium by unearthing the fortune of a lifetime."
Detectorists,2,2,Episode #2.2,"Nov 5, 2015",8.0,237,"A slightly jealous Andy spies on Sophie as she helps Peter with his research and on Lance as he secretly meets Internet date Kate though Lance and Andy unite to warn rival detectorists Simon and Garfunkel against joining the search for the plane wreckage. Becky meanwhile, bored with her job, considers voluntary work abroad and the mayor asks Terry to help him find his lost ceremonial chain.",tt4082744,"The lives of two eccentric metal detectorists, who spend their days plodding along ploughed tracks and open fields, hoping to disturb the tedium by unearthing the fortune of a lifetime."
Detectorists,2,3,Episode #2.3,"Nov 12, 2015",8.2,241,Charged with finding the mayor's lost chain detectorists Russell and Hugh are disturbed to find themselves in a dogging area but since the mayor owns the field with the plane wreckage in it they are told to keep searching. Andy is less than enthusiastic when Becky tells him that she has put them both forward for voluntary work in Africa but he gets an even bigger surprise when Lance tells him the identity of the young lady with whom he has been seen.,tt4082744,"The lives of two eccentric metal detectorists, who spend their days plodding along ploughed tracks and open fields, hoping to disturb the tedium by unearthing the fortune of a lifetime."
Detectorists,2,4,Episode #2.4,"Nov 19, 2015",8.2,239,Russell and Hugh lean on the mayor to let them dig in his field but Terry discovers that Peter's grandfather did not die in a plane crash though Peter seems vague about it and instead asks Sophie to tour the country with him in a camper van. Annoyed to see that an amateur detectorist in Warwickshire unearthed a valuable cache of coins Andy is further perturbed when his interview for the job in Africa does not seem to go well. Lance meanwhile is also upset when Kate finds his attempts to connect with her overpowering.,tt4082744,"The lives of two eccentric metal detectorists, who spend their days plodding along ploughed tracks and open fields, hoping to disturb the tedium by unearthing the fortune of a lifetime."
Detectorists,2,5,Episode #2.5,"Nov 26, 2015",8.2,238,"Andy passes his interview but keeps the fact a secret from Becky, which so annoys her she considers leaving him, whilst Lance is worried that his overly effusive actions have lost Kate forever. The pair discover that Peter is an impostor whose real interest is in unearthing a cache of gold coins in collusion with Simon and Garfunkel and without a licence to do so. A nocturnal stake-out results in Simon and Garfunkel being arrested though Peter escapes.",tt4082744,"The lives of two eccentric metal detectorists, who spend their days plodding along ploughed tracks and open fields, hoping to disturb the tedium by unearthing the fortune of a lifetime."
Detectorists,2,6,Episode #2.6,"Dec 3, 2015",8.9,300,Peter is arrested following the news that he has a life-time ban on metal detecting for disturbing war graves in Germany. The group hosts a rally for other local enthusiasts with Kate turning up to reconcile with her father and Andy getting unexpectedly wise advice from his mother-in-law regarding his and Becky's future. And Lance makes a very valuable find.,tt4082744,"The lives of two eccentric metal detectorists, who spend their days plodding along ploughed tracks and open fields, hoping to disturb the tedium by unearthing the fortune of a lifetime."
Detectorists,2,7,Christmas Special,"Dec 23, 2015",8.2,237,"Lance's big find seems to have brought him nothing but misfortune, as the mysterious 'Curse of the Gold' appears to be taking its toll. Meanwhile, Andy briefly returns in good spirits from his adventures in Botswana and things take an upward turn for Lance when he finds a way to make his peace with the earth.",tt4082744,"The lives of two eccentric metal detectorists, who spend their days plodding along ploughed tracks and open fields, hoping to disturb the tedium by unearthing the fortune of a lifetime."
Detectorists,3,1,Episode #3.1,"Nov 8, 2017",8.1,247,"Photon solar energy group is aiming to build a solar farm in Danebury. Blissfully unaware of the plan Andy and Lance are still looking for buried treasure - construction worker Andy, with Becky and their baby living with disapproving mother-in-law Veronica whilst Lance is sharing his flat with his messy, noisy teen-aged daughter Kate. The group is shocked to read of Photon's intention in the local paper - but then Andy makes a potentially interesting discovery.",tt4082744,"The lives of two eccentric metal detectorists, who spend their days plodding along ploughed tracks and open fields, hoping to disturb the tedium by unearthing the fortune of a lifetime."
Detectorists,3,2,Episode #3.2,"Nov 15, 2017",8.1,225,"Despite interruptions from curious ramblers Lance and Andy are finding more and more Roman coins. However Lance's sea-sickness leads him to see hypnotherapist Dr Hoffman so he can stay on girlfriend Toni's houseboat - though its success is questionable. Meanwhile rival detectorists Art and Paul have made their own arrangement with Photon, which Lance needs to challenge.",tt4082744,"The lives of two eccentric metal detectorists, who spend their days plodding along ploughed tracks and open fields, hoping to disturb the tedium by unearthing the fortune of a lifetime."
Detectorists,3,3,Episode #3.3,"Nov 22, 2017",8.1,201,"After Lance and Andy have raced Art and Paul to what they believe is a Roman burial site Andy quits his job when the boss destroys a Roman mosaic at the site. Unfortunately he fails to tell Becky when they go flat-hunting. Lance is jubilant at finding a gold coin but he is not happy when a magpie flies off with it - and Maggie, on her own again, decides to return to him when he is hoping to have Toni stay at his flat.",tt4082744,"The lives of two eccentric metal detectorists, who spend their days plodding along ploughed tracks and open fields, hoping to disturb the tedium by unearthing the fortune of a lifetime."
Detectorists,3,4,Episode #3.4,"Nov 29, 2017",8.3,193,"Lance and Andy pitch a tent to guard the field but with Andy, having quit site work for killing weeds by the road-side, Lance keeps a lone vigil to catch the magpies stealing coins - and fails. Nor is Toni happy that he lied about Maggie staying with him and it is down to Kate to get rid of the unwanted visitor. Andy also finds an unusually sympathetic ear in Veronica.",tt4082744,"The lives of two eccentric metal detectorists, who spend their days plodding along ploughed tracks and open fields, hoping to disturb the tedium by unearthing the fortune of a lifetime."
Detectorists,3,5,Episode #3.5,"Dec 6, 2017",8.8,205,"As Lance and Andy determine to save an oak tree in their field Kate puts in a good word for her father with Toni, with positive results. Andy is also pleased to discover a run-down cottage he feels he and Becky can afford to buy at auction and, in his efforts to save the tree, inadvertently comes upon the answer to his problems, despite the efforts of Art and Paul with the Bat Action Trust .",tt4082744,"The lives of two eccentric metal detectorists, who spend their days plodding along ploughed tracks and open fields, hoping to disturb the tedium by unearthing the fortune of a lifetime."
Detectorists,3,6,Episode #3.6,"Dec 13, 2017",9.5,364,"As Kate moves onto Toni's houseboat allowing Toni to move in with her father, Lance and Andy call a truce with Art and Paul, allowing them to excavate the potentially valuable field. Thanks to Veronica, Andy and Becky can buy the cottage but the pursuit of treasure still proves to be elusive to the group.",tt4082744,"The lives of two eccentric metal detectorists, who spend their days plodding along ploughed tracks and open fields, hoping to disturb the tedium by unearthing the fortune of a lifetime."
