tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
Doctor Who,1,1,Rose,"Mar 17, 2006",7.5,8600,When ordinary shop-worker Rose Tyler meets a mysterious stranger called the Doctor she is drawn into his strange and dangerous world; her life will never be the same again.,https://www.imdb.com/title/tt0562992/,tt0436992,The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.
Doctor Who,1,2,The End of the World,"Mar 17, 2006",7.5,7500,The Doctor takes Rose to the year 5 billion to witness the destruction of the Earth.,https://www.imdb.com/title/tt0562997/,tt0436992,The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.
Doctor Who,1,3,The Unquiet Dead,"Mar 24, 2006",7.5,7000,The Doctor has great expectations for his latest adventure when he and Rose join forces with Charles Dickens to investigate a mysterious plague of zombies.,https://www.imdb.com/title/tt0563001/,tt0436992,The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.
Doctor Who,1,4,Aliens of London,"Mar 31, 2006",7.0,6800,"The Doctor returns Rose to her own time - well, sort of - but her family reunion is ruined when a spaceship crashes in the middle of London. What is the origin of the spaceship, and where has the Prime Minister gone in this time of crisis?",https://www.imdb.com/title/tt0562985/,tt0436992,The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.
Doctor Who,1,5,World War Three,"Apr 7, 2006",7.0,6500,The Slitheen have infiltrated Parliament and have the Doctor and his friends trapped as the Doctor works to prevent them from starting World War Three.,https://www.imdb.com/title/tt0563003/,tt0436992,The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.
Doctor Who,1,6,Dalek,"Apr 14, 2006",8.6,7500,"The TARDIS is drawn to an alien museum deep below the Utah desert, where a ruthless billionaire keeps prisoner the last of the Doctor's most fearsome enemies.",https://www.imdb.com/title/tt0562988/,tt0436992,The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.
Doctor Who,1,7,The Long Game,"Apr 21, 2006",7.1,6500,"In the year 200,000 the Doctor discovers that a satellite with a dark secret is controlling humanity and slowing its development.",https://www.imdb.com/title/tt0562999/,tt0436992,The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.
Doctor Who,1,8,Father's Day,"Apr 28, 2006",8.3,7100,"Rose asks The Doctor to take her to 1987, on the day her father was killed.",https://www.imdb.com/title/tt0562989/,tt0436992,The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.
Doctor Who,1,9,The Empty Child,"May 5, 2006",9.1,8600,"When a spaceship crashes in the middle of the London Blitz the Doctor, Rose and the enigmatic Captain Jack Harkness find themselves investigating a plague of physical injuries and a little boy in a gas mask.",https://www.imdb.com/title/tt0562996/,tt0436992,The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.
Doctor Who,1,10,The Doctor Dances,"May 12, 2006",9.1,7900,The gas mask zombies are on the rise as the plague spreads across war-torn London.,https://www.imdb.com/title/tt0562995/,tt0436992,The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.
