tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
Dragon Ball Z,1,1,The Arrival of Raditz,"Sep 13, 1996",7.8,1700,"After five years of peace, a new threat is coming for Goku and his friends, Goku's evil brother Radditz.",https://www.imdb.com/title/tt0843688/,tt0214341,"With the help of the powerful Dragonballs, a team of fighters led by the saiyan warrior Goku defend the planet earth from extraterrestrial enemies."
Dragon Ball Z,1,2,The World's Strongest Team,"Sep 20, 1996",8.0,1500,"After 5 years, Goku and his friends get together at the Kame House.",https://www.imdb.com/title/tt0843687/,tt0214341,"With the help of the powerful Dragonballs, a team of fighters led by the saiyan warrior Goku defend the planet earth from extraterrestrial enemies."
Dragon Ball Z,1,3,Gohan's Hidden Powers,"Sep 27, 1996",8.1,1500,"After the encounter with Raditz, Goku realises he doesn't stand a chance. Only with an unlikely alliance does he have a fighting shot.",https://www.imdb.com/title/tt0843689/,tt0214341,"With the help of the powerful Dragonballs, a team of fighters led by the saiyan warrior Goku defend the planet earth from extraterrestrial enemies."
Dragon Ball Z,1,4,Goku's Unusual Journey,"Oct 10, 1996",8.1,1500,"In the hands of Goku, Raditz is doing all he can to escape.",https://www.imdb.com/title/tt1168312/,tt0214341,"With the help of the powerful Dragonballs, a team of fighters led by the saiyan warrior Goku defend the planet earth from extraterrestrial enemies."
Dragon Ball Z,1,5,Gohan's Metamorphosis,"Oct 11, 1996",7.8,1500,Gohan continues his training in the wild as the other Z warriors go to Kami's to prepare for the Saiyans.,https://www.imdb.com/title/tt1168309/,tt0214341,"With the help of the powerful Dragonballs, a team of fighters led by the saiyan warrior Goku defend the planet earth from extraterrestrial enemies."
Dragon Ball Z,1,6,Gohan Makes a Friend,"Oct 18, 1996",7.6,1500,Gohan helps an injured dinosaur and they become friends. Goku continues his journey along snake way and the others gather at Kami's.,https://www.imdb.com/title/tt1168308/,tt0214341,"With the help of the powerful Dragonballs, a team of fighters led by the saiyan warrior Goku defend the planet earth from extraterrestrial enemies."
Dragon Ball Z,1,7,Trouble on Arlia,"Oct 25, 1996",7.4,1500,Gohans training is starting to pay off. The Saiyans stop on a planet and wreak havoc.,https://www.imdb.com/title/tt1168339/,tt0214341,"With the help of the powerful Dragonballs, a team of fighters led by the saiyan warrior Goku defend the planet earth from extraterrestrial enemies."
Dragon Ball Z,1,8,Home for Infinite Losers,"Nov 1, 1996",7.3,1400,"Goku has fallen off snake way and meets two ogres who say they know how to get back to snake way, but he has to win a race first.",https://www.imdb.com/title/tt1168314/,tt0214341,"With the help of the powerful Dragonballs, a team of fighters led by the saiyan warrior Goku defend the planet earth from extraterrestrial enemies."
Dragon Ball Z,1,9,Princess Snake's Hospitality,"Nov 8, 1996",7.3,1500,Goku runs along snake way and meets Princess Snake. The Z warriors begin their training at Kami's.,https://www.imdb.com/title/tt1168320/,tt0214341,"With the help of the powerful Dragonballs, a team of fighters led by the saiyan warrior Goku defend the planet earth from extraterrestrial enemies."
Dragon Ball Z,1,10,Showdown in the Past,"Nov 15, 1996",7.5,1400,Gohan and Piccolo start their training together. The Z warriors enter the pendulum room where they fight two Saiyans in the past.,https://www.imdb.com/title/tt1168323/,tt0214341,"With the help of the powerful Dragonballs, a team of fighters led by the saiyan warrior Goku defend the planet earth from extraterrestrial enemies."
