tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
Dragon Ball,1,1,Buruma to Son Gokû,"Feb 26, 1986",7.8,601,"The legend of the Dragon Balls is explained. After doing his chores and fishing, Son Gokû meets Buruma, who is on a quest to find the seven Dragon Balls, two of which she already has. She goes to Son Gokû's house and sees that he has a Dragon Ball, which his adoptive grandfather gave him before he died. When she can't convince him to give her his Dragon Ball, she conv... Read all",https://www.imdb.com/title/tt0838666/,tt0088509,"Son Gokû, a fighter with a monkey tail, goes on a quest with an assortment of odd characters in search of the Dragon Balls, a set of crystals that can give its bearer anything they desire."
Dragon Ball,1,2,Arararâ! Tama ga nai!,"Mar 5, 1986",7.6,350,"Bulma and Son Gokû have started their travel. They stop and Bulma throws one of her Hoi Poi Capsules, displaying a house inside, much for Son Gokû's surprise. While helping him taking a bath, Bulma realizes Son Gokû's tail is real and functional, A little bit in shock, she takes a bath while trying to deal with this innocent and bit annoying wild boy. Meanwhile, the c... Read all",https://www.imdb.com/title/tt3919572/,tt0088509,"Son Gokû, a fighter with a monkey tail, goes on a quest with an assortment of odd characters in search of the Dragon Balls, a set of crystals that can give its bearer anything they desire."
Dragon Ball,1,3,Kame Sen'nin no Kinto-un,"Mar 12, 1986",7.8,327,"Bulma and Son Gokû left for a while their search for the Dragon Balls in order to help Son Gokû's new friend, turtle Umigame, reach the sea. Bulma is not comfortable with Son Gokû's choice, but she decide to join him, afraid of being left alone and in danger. Soon they face an enemy but Son Gokû will not surrender and he will stand up for his new turtle friend. Son Go... Read all",https://www.imdb.com/title/tt3919570/,tt0088509,"Son Gokû, a fighter with a monkey tail, goes on a quest with an assortment of odd characters in search of the Dragon Balls, a set of crystals that can give its bearer anything they desire."
Dragon Ball,1,4,Hitosarai yôkai Ûron,"Mar 19, 1986",7.6,299,"It's been 3 days since Kame Sen'nin gave Son Gokû the Kinton Cloud, and Bulma the Dragon Ball he had. Now, Bulma and Son Gokû are traveling to a valley in order to collect a fifth Dragon Ball (thanks to Bulma's invention, the ""Dragon Radar""). They soon reach a village that seems abandoned, but truth is that people were hiding their young daughters from the terrible Oo... Read all",https://www.imdb.com/title/tt3919578/,tt0088509,"Son Gokû, a fighter with a monkey tail, goes on a quest with an assortment of odd characters in search of the Dragon Balls, a set of crystals that can give its bearer anything they desire."
Dragon Ball,1,5,Tsuyokute warui Sabaku no Yamucha,"Mar 26, 1986",7.5,289,"Bulma and Son Gokû continue their quest for the sixth Dragon Ball, alongside Oolong, who, Bulma thought, might be useful due to his shape-form abilities. As soon as Oolong heard that they must pass through the Desert, he's terrified and tried to escape. Bulma manages to get Oolong under control in a very impressive and clever way. Bulma realizes that she has lost her ... Read all",https://www.imdb.com/title/tt3919580/,tt0088509,"Son Gokû, a fighter with a monkey tail, goes on a quest with an assortment of odd characters in search of the Dragon Balls, a set of crystals that can give its bearer anything they desire."
Dragon Ball,1,6,Mayonaka no hômonsha-tachi,"Apr 2, 1986",7.5,283,"It's been 1 week since Bulma and Son Gokû started their journey in search of the 7 Dragon Balls, and they already have 5 of them. After Gokû and Oolong's meeting with Yamcha and Puar, and the fight between Gokû and Yamcha, Oolong finally reveals to Bulma that he was hiding a Hoi-Poi capsule, with a little trailer inside. While Son Gokû is eating Bulma goes for a bath,... Read all",https://www.imdb.com/title/tt3919584/,tt0088509,"Son Gokû, a fighter with a monkey tail, goes on a quest with an assortment of odd characters in search of the Dragon Balls, a set of crystals that can give its bearer anything they desire."
Dragon Ball,1,7,Furaipan yama no Gyûmaô,"Apr 9, 1986",7.5,275,"Goku, Bulma, and Oolong arrive at Fire Mountain, with Yamcha and Puar following closely behind. There, they meet the Ox King, who lives in the castle on Fire Mountain.",https://www.imdb.com/title/tt3919594/,tt0088509,"Son Gokû, a fighter with a monkey tail, goes on a quest with an assortment of odd characters in search of the Dragon Balls, a set of crystals that can give its bearer anything they desire."
Dragon Ball,1,8,Kame Sen'nin no Kamehameha,"Apr 16, 1986",7.9,276,"Master Roshi agrees to let Goku borrow the Bansho fan, but when he goes to retrieve it, he remembers that he spilled juice on it and threw it out. He decides to put out the fire himself.",https://www.imdb.com/title/tt3919590/,tt0088509,"Son Gokû, a fighter with a monkey tail, goes on a quest with an assortment of odd characters in search of the Dragon Balls, a set of crystals that can give its bearer anything they desire."
Dragon Ball,1,9,Usagi oyabun no tokui-waza,"Apr 23, 1986",7.3,260,"Son Goku, Bulma and Oolong arrive at a village in which the villagers seem scared of Bulma. It is soon found out to be due to her outfit having the rabbit ears associated with the Rabbit Gang, lead by Usagi Ninjinka.",https://www.imdb.com/title/tt3919600/,tt0088509,"Son Gokû, a fighter with a monkey tail, goes on a quest with an assortment of odd characters in search of the Dragon Balls, a set of crystals that can give its bearer anything they desire."
Dragon Ball,1,10,Doragon bôru ubawareru!!,"Apr 30, 1986",7.6,256,"Shu runs off with Bulma's suitcase, which contains their Dragon Balls. Luckily, Goku still has the Four-Star Ball.",https://www.imdb.com/title/tt3919602/,tt0088509,"Son Gokû, a fighter with a monkey tail, goes on a quest with an assortment of odd characters in search of the Dragon Balls, a set of crystals that can give its bearer anything they desire."
