tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
Ezel,1,1,Her Ihanet Sevgiyle Baslar,"Sep 28, 2009",8.9,356,"Ezel and his team arrive to Cyprus to avenge Ömer, who has been betrayed by his best friends in 1997, twelve years ago.",https://www.imdb.com/title/tt1535704/,tt1534360,"Betrayed by his trusted friends and the woman he loved, Ömer Uçar returns as Ezel to exact his vengeance."
Ezel,1,2,Seni Seven Senin Kurbanindir,"Oct 5, 2009",8.4,255,Ezel begins his revenge. We get to know Eysan's past.,https://www.imdb.com/title/tt1535705/,tt1534360,"Betrayed by his trusted friends and the woman he loved, Ömer Uçar returns as Ezel to exact his vengeance."
Ezel,1,3,Ask Ölümden Güclüdür,"Oct 12, 2009",8.6,253,Eysan's motivation for betraying Ömer 12 years earlier is revealed. Ezel learns Eysan's son has endangered himself and decides whether to intervene.,https://www.imdb.com/title/tt1535706/,tt1534360,"Betrayed by his trusted friends and the woman he loved, Ömer Uçar returns as Ezel to exact his vengeance."
Ezel,1,4,En Zoru Eve Dönmektir,"Oct 19, 2009",8.3,236,"Back in 1997, an unlikely protector defends Ömer when he is targeted in prison, and Cengiz takes desperate measures to ensure Eysan stays with him.",https://www.imdb.com/title/tt1535707/,tt1534360,"Betrayed by his trusted friends and the woman he loved, Ömer Uçar returns as Ezel to exact his vengeance."
Ezel,1,5,"Ask mi Kaderi Kovalar, Kader mi Aski","Oct 26, 2009",8.9,268,"In 2001, Ömer is mentored by fellow inmate Ramiz and gets a surprise visitor. Four years later, a riot allows him to escape his sentence and identity.",https://www.imdb.com/title/tt1535708/,tt1534360,"Betrayed by his trusted friends and the woman he loved, Ömer Uçar returns as Ezel to exact his vengeance."
Ezel,1,6,Hayaller Hayaletler,"Nov 9, 2009",8.5,215,"When Bahar suffers a health crisis, Ezel comes to her rescue. An unexpected stop during a road trip with Cengiz brings Ezel to his family's home.",https://www.imdb.com/title/tt1540524/,tt1534360,"Betrayed by his trusted friends and the woman he loved, Ömer Uçar returns as Ezel to exact his vengeance."
Ezel,1,7,Gitmek/Kalmak,"Nov 16, 2009",8.0,206,Ezel selects a target. A newly released Ramiz recalls Ezel's failed attempt at getting revenge in 2005. Bahar steals some time alone with Ezel.,https://www.imdb.com/title/tt1552133/,tt1534360,"Betrayed by his trusted friends and the woman he loved, Ömer Uçar returns as Ezel to exact his vengeance."
Ezel,1,8,Akreple kurbaga,"Nov 23, 2009",8.5,218,"Ezel learns Bahar is hiding a secret, and finds a way to spend time with Eysan. Unable to find any dirt on Ezel, Ali investigates his driver, Kamil.",https://www.imdb.com/title/tt1555247/,tt1534360,"Betrayed by his trusted friends and the woman he loved, Ömer Uçar returns as Ezel to exact his vengeance."
Ezel,1,9,En kötü ihtimal,"Nov 30, 2009",8.4,208,"Ezel takes Eysan to a nostalgic place. Ali digs up dirt on Ezel's assistant, Sebnem, and makes her an offer. Mert and his mother run into Eysan.",https://www.imdb.com/title/tt1566250/,tt1534360,"Betrayed by his trusted friends and the woman he loved, Ömer Uçar returns as Ezel to exact his vengeance."
Ezel,1,10,Sadakat,"Dec 7, 2009",8.9,228,"When Mert's mother, Meliha, is introduced to Ezel at a get-together, she has a strong reaction that makes Cengiz wary. Eysan finds a worrying note.",https://www.imdb.com/title/tt1566248/,tt1534360,"Betrayed by his trusted friends and the woman he loved, Ömer Uçar returns as Ezel to exact his vengeance."
