tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
Fargo,1,1,The Crocodile's Dilemma,"Apr 15, 2014",9.3,13844,"A ruthless, manipulative man meets a small-town insurance salesman and sets him on a path of destruction.",https://www.imdb.com/title/tt3097534/,tt2802850,"Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota."
Fargo,1,2,The Rooster Prince,"Apr 22, 2014",8.4,8889,"Molly begins to suspect that Lester is involved in the murders, but her boss points her in a different direction. Meanwhile, Malvo investigates the plot against a man known as the Supermarket King.",https://www.imdb.com/title/tt3296848/,tt2802850,"Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota."
Fargo,1,3,A Muddy Road,"Apr 29, 2014",8.6,8287,"Malvo flips the script on the blackmail operation. Molly sets a trap, and Gus debates whether he should come clean. Lester's return to work has complicated repercussions.",https://www.imdb.com/title/tt3519062/,tt2802850,"Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota."
Fargo,1,4,Eating the Blame,"May 6, 2014",8.9,8326,"When Gus tries to right a wrong, Malvo embraces his alter ego. Lester finds himself in a surprising situation, and Molly uncovers a promising lead.",https://www.imdb.com/title/tt3578722/,tt2802850,"Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota."
Fargo,1,5,The Six Ungraspables,"May 13, 2014",8.5,7640,"When Lester has a close call, Molly makes an unorthodox decision. Gus weighs some neighborly advice, and Malvo gets what he wants.",https://www.imdb.com/title/tt3514096/,tt2802850,"Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota."
Fargo,1,6,Buridan's Ass,"May 20, 2014",9.3,9934,"Malvo executes his master plan, while Lester attempts to craft one of his own. Gus and Molly team up in Duluth.",https://www.imdb.com/title/tt3551076/,tt2802850,"Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota."
Fargo,1,7,Who Shaves the Barber?,"May 27, 2014",8.9,7950,"Molly recuperates from her injury, while Malvo looks to dispatch a syndicate in Fargo. Lester continues his descent into darkness with the unfolding of his plan.",https://www.imdb.com/title/tt3578728/,tt2802850,"Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota."
Fargo,1,8,The Heap,"Jun 3, 2014",8.6,7525,"Molly faces pressure to close the case, while Lester starts to feel like a new man.",https://www.imdb.com/title/tt3468290/,tt2802850,"Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota."
Fargo,1,9,"A Fox, a Rabbit, and a Cabbage","Jun 10, 2014",9.3,9112,"Lester has an unexpected encounter, Malvo changes course, and a new investigation leads Molly down a familiar path.",https://www.imdb.com/title/tt3599898/,tt2802850,"Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota."
Fargo,1,10,Morton's Fork,"Jun 17, 2014",9.3,9601,"Molly takes the lead, while Gus pursues a hunch. Lester manipulates a situation, and Malvo finds a new target.",https://www.imdb.com/title/tt3599918/,tt2802850,"Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota."
