tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
Fleabag,1,1,Episode #1.1,"Sep 16, 2016",7.8,4089,"Angry, pervy, outrageous and hilarious Fleabag arrives with a bang, as she spins through the city grasping at anyone and anything that might keep her head above water.",https://www.imdb.com/title/tt5705890/,tt5687612,A comedy series adapted from the award-winning play about a young woman trying to cope with life in London whilst coming to terms with a recent tragedy.
Fleabag,1,2,Episode #1.2,"Sep 16, 2016",7.7,3520,Fleabag attempts to rekindle romantic fires to distract her from the mayhem of her life.,https://www.imdb.com/title/tt5908776/,tt5687612,A comedy series adapted from the award-winning play about a young woman trying to cope with life in London whilst coming to terms with a recent tragedy.
Fleabag,1,3,Episode #1.3,"Sep 16, 2016",7.6,3306,"Fleabag helps her inappropriate brother-in-law buy a present for Claire, who is organising her own surprise birthday party. Fleabag reconnects with a toothy friend.",https://www.imdb.com/title/tt5908778/,tt5687612,A comedy series adapted from the award-winning play about a young woman trying to cope with life in London whilst coming to terms with a recent tragedy.
Fleabag,1,4,Episode #1.4,"Sep 16, 2016",8.1,3325,"Fleabag and her sister visit a female-only silent retreat, courtesy of their father. Their enforced silence is interrupted by an unusual neighbouring weekend workshop",https://www.imdb.com/title/tt5707984/,tt5687612,A comedy series adapted from the award-winning play about a young woman trying to cope with life in London whilst coming to terms with a recent tragedy.
Fleabag,1,5,Episode #1.5,"Sep 16, 2016",8.3,3244,"On the anniversary of her mother's death, Fleabag and Claire return to their family home for the annual memorial lunch.",https://www.imdb.com/title/tt5908780/,tt5687612,A comedy series adapted from the award-winning play about a young woman trying to cope with life in London whilst coming to terms with a recent tragedy.
Fleabag,1,6,Episode #1.6,"Sep 16, 2016",8.8,3644,Fleabag faces up to her actions and reveals what happened to her beloved friend Boo.,https://www.imdb.com/title/tt5908782/,tt5687612,A comedy series adapted from the award-winning play about a young woman trying to cope with life in London whilst coming to terms with a recent tragedy.
Fleabag,2,1,Episode #2.1,"May 17, 2019",9.2,4800,"Fleabag has to attend an uncomfortable family dinner to celebrate the engagement of Godmother and Dad. Fleabag is intrigued by Godmother's new Priest, but the evening ends with old tensions bubbling to the surface.",https://www.imdb.com/title/tt6733136/,tt5687612,A comedy series adapted from the award-winning play about a young woman trying to cope with life in London whilst coming to terms with a recent tragedy.
Fleabag,2,2,Episode #2.2,"May 17, 2019",8.4,3283,"Counselling extracts an uncomfortable truth from Fleabag, she finds herself somewhere unexpected. A chat with Claire reveals unwelcome news, Fleabag and Martin face off, Jake wonders where Claire is.",https://www.imdb.com/title/tt9679520/,tt5687612,A comedy series adapted from the award-winning play about a young woman trying to cope with life in London whilst coming to terms with a recent tragedy.
Fleabag,2,3,Episode #2.3,"May 17, 2019",8.9,3551,"Fleabag helps with an event at Claire's work which inevitably ends in disaster, but an introduction to Claire's colleague proves intriguing. A chance meeting with a stranger opens her eyes.",https://www.imdb.com/title/tt9679522/,tt5687612,A comedy series adapted from the award-winning play about a young woman trying to cope with life in London whilst coming to terms with a recent tragedy.
Fleabag,2,4,Episode #2.4,"May 17, 2019",8.9,3602,"After a day spent looking back on painful memories, Fleabag turns to The Priest for solace, but finds more trouble.",https://www.imdb.com/title/tt9679524/,tt5687612,A comedy series adapted from the award-winning play about a young woman trying to cope with life in London whilst coming to terms with a recent tragedy.
Fleabag,2,5,Episode #2.5,"May 17, 2019",8.7,3224,"The day after a boozy date, Fleabag helps her sister cope with a crisis, while the Priest has an announcement that shocks the family.",https://www.imdb.com/title/tt9679526/,tt5687612,A comedy series adapted from the award-winning play about a young woman trying to cope with life in London whilst coming to terms with a recent tragedy.
Fleabag,2,6,Episode #2.6,"May 17, 2019",9.3,4560,"As the wedding draws nearer, the relationship between Fleabag and the Priest becomes more intense - but how will it be resolved?",https://www.imdb.com/title/tt6733140/,tt5687612,A comedy series adapted from the award-winning play about a young woman trying to cope with life in London whilst coming to terms with a recent tragedy.
