tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,encoded_title,show_desc
Flight of the Conchords,1,1,Sally,"Jun 17, 2007",8.2,945,"Transplanted New Zealanders Bret and Jemaine--a.k.a. Flight of the Conchords--search for romance and gigs in New York City. At a bohemian party, Jemaine falls for Sally (who used to date Bret), but Bret spoils the moment back at their apartment.",tt0863046,"Bret and Jemaine are Flight of the Conchords, a folk-rock band from New Zealand living in New York City in search of stardom."
Flight of the Conchords,1,2,Bret Gives Up the Dream,"Jun 24, 2007",8.2,758,"Desperate for cash, Bret and Jemaine decide to get jobs. Only Bret is successful--he gets a job holding up signs. When Murray books them a show, Bret can't get off work, so Jemaine is forced to play with a replacement: a recording of Bret.",tt0863046,"Bret and Jemaine are Flight of the Conchords, a folk-rock band from New Zealand living in New York City in search of stardom."
Flight of the Conchords,1,3,Mugged,"Jul 1, 2007",8.8,859,"Bret loses Jemaine's trust by abandoning him to a 'gang' of two, and fears the worst when Jemaine doesn't come home.",tt0863046,"Bret and Jemaine are Flight of the Conchords, a folk-rock band from New Zealand living in New York City in search of stardom."
Flight of the Conchords,1,4,Yoko,"Jul 8, 2007",8.6,705,"Murray is perturbed when Bret cancels a band tour to be with his girlfriend Coco. Jemaine's dismay, coupled with the betrayal felt by lone fan Mel (who has a crush on Bret), threatens the band's future.",tt0863046,"Bret and Jemaine are Flight of the Conchords, a folk-rock band from New Zealand living in New York City in search of stardom."
Flight of the Conchords,1,5,Sally Returns,"Jul 15, 2007",8.1,640,"A lonely Jemaine runs into Sally, who dumped him (and Bret) earlier in the year. Envisioning a new life with Sally, Jemaine's dreams take a detour when he learns she won't spend time with him until he gets his own place.",tt0863046,"Bret and Jemaine are Flight of the Conchords, a folk-rock band from New Zealand living in New York City in search of stardom."
Flight of the Conchords,1,6,Bowie,"Jul 22, 2007",8.1,675,"Upset when Murray says he's too small during a photo shoot, Bret decides that Jemaine can help him get over his funk. That night, a 1972-era David Bowie advises Bret to wear an eye patch. The plan backfires when Bret has depth-perception problems.",tt0863046,"Bret and Jemaine are Flight of the Conchords, a folk-rock band from New Zealand living in New York City in search of stardom."
Flight of the Conchords,1,7,Drive By,"Jul 29, 2007",8.5,668,"Dissed by a rude fruit vendor, Bret and Jemaine concoct an animated music video in retaliation. But as slights against the boys continue, Bret and Jemaine find themselves in the middle of a race war with anti-Kiwi mutha 'uckas.",tt0863046,"Bret and Jemaine are Flight of the Conchords, a folk-rock band from New Zealand living in New York City in search of stardom."
Flight of the Conchords,1,8,Girlfriends,"Aug 5, 2007",8.4,639,Brett and Jemaine encounter girlfriend problems in the USA.,tt0863046,"Bret and Jemaine are Flight of the Conchords, a folk-rock band from New Zealand living in New York City in search of stardom."
Flight of the Conchords,1,9,What Goes on Tour,"Aug 12, 2007",8.3,604,"Using the band's 'emergency fund,' Murray organizes a warm-up tour before a big gig in Central Park. At a bar, the boys get hooked by some 'mermaids' from a women's water-polo team--nearly ruining the tour and their relationship with Murray.",tt0863046,"Bret and Jemaine are Flight of the Conchords, a folk-rock band from New Zealand living in New York City in search of stardom."
Flight of the Conchords,1,10,New Fans,"Aug 19, 2007",8.3,601,"The Conchords triple their fan base after playing a local world music jam, but Mel is suspicious of the two new fans' motives.",tt0863046,"Bret and Jemaine are Flight of the Conchords, a folk-rock band from New Zealand living in New York City in search of stardom."
Flight of the Conchords,1,11,The Actor,"Aug 26, 2007",8.5,607,"Bret and Jemaine enlist a semi-pro actor to cheer up Murray after a disappointing gig. Asked to place a good-hearted rejection call, the actor gets carried away, offering Murray and the Conchords a recording deal that's too good to be true.",tt0863046,"Bret and Jemaine are Flight of the Conchords, a folk-rock band from New Zealand living in New York City in search of stardom."
Flight of the Conchords,1,12,The Third Conchord,"Sep 2, 2007",8.1,594,"Season One Finale. Murray foists a new bongo-playing band member on Bret and Jemaine, triggering angry dances and mutant half-bands.",tt0863046,"Bret and Jemaine are Flight of the Conchords, a folk-rock band from New Zealand living in New York City in search of stardom."
Flight of the Conchords,2,1,A Good Opportunity,"Jan 18, 2009",8.0,565,"Season Two premiere. After rejecting Murray for spending too much time with another band, Bret and Jemaine find success managing themselves and land a deal to record an ad jingle; Dave shares his 'double-down' deal strategy.",tt0863046,"Bret and Jemaine are Flight of the Conchords, a folk-rock band from New Zealand living in New York City in search of stardom."
Flight of the Conchords,2,2,New Cup,"Jan 25, 2009",8.7,601,"Bret and Jemaine's fortunes unravel after Bret buys a new tea cup. With emergency band funds unavailable, Jemaine takes desperate measures in hopes of supplementing their income.",tt0863046,"Bret and Jemaine are Flight of the Conchords, a folk-rock band from New Zealand living in New York City in search of stardom."
