tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,encoded_title,show_desc
Formula 1: Drive to Survive,1,1,All to Play For,"Mar 8, 2019",7.9,908,Driver Daniel Ricciardo looks to make a statement on the track while the teams prepare for the first race of the season at the Australian Grand Prix.,tt8289930,Docuseries following the FIA Formula One World Championship across multiple seasons.
Formula 1: Drive to Survive,1,2,The King of Spain,"Mar 8, 2019",7.8,805,Team McLaren aims to turn things around as its driver Fernando Alonso faces Renault's Carlos Sainz Jr. at the Spanish Grand Prix in Barcelona.,tt8289930,Docuseries following the FIA Formula One World Championship across multiple seasons.
Formula 1: Drive to Survive,1,3,Redemption,"Mar 8, 2019",8.4,816,"At the prestigious Monaco Grand Prix, Ricciardo feels pressure by an upstate. Also, the men and women of Williams Racing fight to remain relevant.",tt8289930,Docuseries following the FIA Formula One World Championship across multiple seasons.
Formula 1: Drive to Survive,1,4,The Art of War,"Mar 8, 2019",8.2,763,"The troubled offtrack relationship between Red Bull and Renault hits a new low. Meanwhile, a top Formula 1 driver makes a shocking move.",tt8289930,Docuseries following the FIA Formula One World Championship across multiple seasons.
Formula 1: Drive to Survive,1,5,Trouble at the Top,"Mar 8, 2019",7.6,697,"A team's financial backing doesn't always translate into victories. See: McLaren. Also, the principal and co-owner of Force India faces legal issues.",tt8289930,Docuseries following the FIA Formula One World Championship across multiple seasons.
Formula 1: Drive to Survive,1,6,All or Nothing,"Mar 8, 2019",7.8,709,"When Force India is bought by a group led by Lawrence Stroll, the team's two drivers worry Stroll's son, Lance, may take one of their spots.",tt8289930,Docuseries following the FIA Formula One World Championship across multiple seasons.
Formula 1: Drive to Survive,1,7,Keeping Your Head,"Mar 8, 2019",7.7,670,"Perhaps trying too hard, Haas F1 Team driver Romain Grosjean struggles with confidence and nerves at the famed French Grand Prix.",tt8289930,Docuseries following the FIA Formula One World Championship across multiple seasons.
Formula 1: Drive to Survive,1,8,The Next Generation,"Mar 8, 2019",8.2,685,Sauber driver Charles Leclerc hopes to achieve something his late godfather Jules Bianchi never did: race for Ferrari.,tt8289930,Docuseries following the FIA Formula One World Championship across multiple seasons.
Formula 1: Drive to Survive,1,9,Stars and Stripes,"Mar 8, 2019",7.7,651,"The bitter rivalry between Renault and Haas heats up, and the mid-tier teams vie for bragging rights at the United States Grand Prix in Austin, Texas.",tt8289930,Docuseries following the FIA Formula One World Championship across multiple seasons.
Formula 1: Drive to Survive,1,10,Crossing the Line,"Mar 8, 2019",7.8,644,Drivers -- both legends and upstarts -- focus on ending the year on a high note as the teams prepare for the season's final race at Abu Dhabi.,tt8289930,Docuseries following the FIA Formula One World Championship across multiple seasons.
Formula 1: Drive to Survive,2,1,Lights Out,"Feb 28, 2020",7.6,696,The 2019 season wrapped up. Follow the drivers ups and downs and experience the thrill of Formula 1 up close.,tt8289930,Docuseries following the FIA Formula One World Championship across multiple seasons.
Formula 1: Drive to Survive,2,2,Boiling Point,"Feb 28, 2020",8.0,626,"As mediocrity becomes the norm for Team Haas, frustration over the poor performances threaten to tear the group apart from within.",tt8289930,Docuseries following the FIA Formula One World Championship across multiple seasons.
Formula 1: Drive to Survive,2,3,Dogfight,"Feb 28, 2020",7.8,647,"Carlos Sainz and Daniel Ricciardo in focus: Carlos is eager to achieve good results with his new team, which has gone through some tough times. Daniel on the other hand is trying to turn around the bad luck that he has had so far in this season.",tt8289930,Docuseries following the FIA Formula One World Championship across multiple seasons.
Formula 1: Drive to Survive,2,4,Dark Days,"Feb 28, 2020",8.3,695,Lewis Hamilton and the Mercedes team - long dominant in Formula 1 - face a true test of mettle on a rain-soaked track at the German Grand Prix.,tt8289930,Docuseries following the FIA Formula One World Championship across multiple seasons.
Formula 1: Drive to Survive,2,5,Great Expectations,"Feb 28, 2020",8.0,647,"Red Bull rivals Max Verstappen and Pierre Gasly race in Monaco, Montreal and Austria, where one driver shines and the other struggles.",tt8289930,Docuseries following the FIA Formula One World Championship across multiple seasons.
Formula 1: Drive to Survive,2,6,Raging Bulls,"Feb 28, 2020",8.7,770,"Alex Albon, the newest driver on the Red Bull team, wants to achieve what his predecessor couldn't. At the Belgium Grand Prix, disaster strikes.",tt8289930,Docuseries following the FIA Formula One World Championship across multiple seasons.
Formula 1: Drive to Survive,2,7,Seeing Red,"Feb 28, 2020",7.8,611,Charles LeClerc challenges Seb Vettel on the Ferrari Team,tt8289930,Docuseries following the FIA Formula One World Championship across multiple seasons.
Formula 1: Drive to Survive,2,8,Musical Chairs,"Feb 28, 2020",7.8,594,Niko Hulkenberg is under pressure to perform at Renault,tt8289930,Docuseries following the FIA Formula One World Championship across multiple seasons.
