tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
Foyle's War,1,1,The German Woman,"Oct 27, 2002",8.1,929,The German wife of a rich and influential aristocrat exempted from wartime internment is found decapitated in the midst of anti-German feeling.,https://www.imdb.com/title/tt0293812/,tt0310455,"As WWII rages, DCS Foyle fights his own war on the home-front; investigating crime on the south coast of England. Later series, see the retired detective working as an MI5 agent in the aftermath of the war."
Foyle's War,1,2,The White Feather,"Nov 3, 2002",8.4,729,The arrest of a young girl on a sabotage charge brings Foyle into contact with a group of English Nazi sympathizers.,https://www.imdb.com/title/tt0394582/,tt0310455,"As WWII rages, DCS Foyle fights his own war on the home-front; investigating crime on the south coast of England. Later series, see the retired detective working as an MI5 agent in the aftermath of the war."
Foyle's War,1,3,A Lesson in Murder,"Nov 10, 2002",8.3,688,Foyle investigates the suicide of a pacifist and death threats to the judge who ruled against his conscientious objector status.,https://www.imdb.com/title/tt0582079/,tt0310455,"As WWII rages, DCS Foyle fights his own war on the home-front; investigating crime on the south coast of England. Later series, see the retired detective working as an MI5 agent in the aftermath of the war."
Foyle's War,1,4,Eagle Day,"Nov 17, 2002",8.2,675,Foyle investigates a man found with a knife in his stomach in a bombed out building while son Andrew gets involved in a top secret radar program.,https://www.imdb.com/title/tt0394581/,tt0310455,"As WWII rages, DCS Foyle fights his own war on the home-front; investigating crime on the south coast of England. Later series, see the retired detective working as an MI5 agent in the aftermath of the war."
Foyle's War,2,1,Fifty Ships,"Nov 16, 2003",8.5,649,"After Foyle is a guest at a friend's home at a dinner for an important American industrialist, a suicide victim and German agent both are discovered near the house.",https://www.imdb.com/title/tt0582084/,tt0310455,"As WWII rages, DCS Foyle fights his own war on the home-front; investigating crime on the south coast of England. Later series, see the retired detective working as an MI5 agent in the aftermath of the war."
Foyle's War,2,2,Among the Few,"Nov 23, 2003",8.4,603,"Sam volunteers to go undercover to discover how rationed gasoline is being stolen from a fuel depot, and Andrew becomes a suspect in a murder case.",https://www.imdb.com/title/tt0582080/,tt0310455,"As WWII rages, DCS Foyle fights his own war on the home-front; investigating crime on the south coast of England. Later series, see the retired detective working as an MI5 agent in the aftermath of the war."
Foyle's War,2,3,War Games,"Nov 30, 2003",8.4,642,"When a British food corporation signs a secret agreement with the Nazis to provide essential food services to the enemy during wartime, murders result.",https://www.imdb.com/title/tt0582091/,tt0310455,"As WWII rages, DCS Foyle fights his own war on the home-front; investigating crime on the south coast of England. Later series, see the retired detective working as an MI5 agent in the aftermath of the war."
Foyle's War,2,4,The Funk Hole,"Dec 7, 2003",8.4,571,Foyle's investigation of the death of a young black marketeer and stolen food is interrupted by his suspension on charges of sedition.,https://www.imdb.com/title/tt0582087/,tt0310455,"As WWII rages, DCS Foyle fights his own war on the home-front; investigating crime on the south coast of England. Later series, see the retired detective working as an MI5 agent in the aftermath of the war."
Foyle's War,3,1,The French Drop,"Oct 24, 2004",8.3,571,February 1941: A local murder investigation sidetracks Foyle's endeavor to pursue a position that would contribute more to the war effort as he finds himself caught between rival spy organizations.,https://www.imdb.com/title/tt0582086/,tt0310455,"As WWII rages, DCS Foyle fights his own war on the home-front; investigating crime on the south coast of England. Later series, see the retired detective working as an MI5 agent in the aftermath of the war."
Foyle's War,3,2,Enemy Fire,"Oct 31, 2004",8.4,561,"February 1941: When a manor house is commandeered as a special burn unit for treating injured RAF pilots, Foyle is called in to investigate a series of accidents.",https://www.imdb.com/title/tt0582083/,tt0310455,"As WWII rages, DCS Foyle fights his own war on the home-front; investigating crime on the south coast of England. Later series, see the retired detective working as an MI5 agent in the aftermath of the war."
Foyle's War,3,3,They Fought in the Fields,"Nov 7, 2004",8.3,548,April 1941: Foyle questions three Land Army girls about a murder that occurs on a Hastings farm.,https://www.imdb.com/title/tt0582090/,tt0310455,"As WWII rages, DCS Foyle fights his own war on the home-front; investigating crime on the south coast of England. Later series, see the retired detective working as an MI5 agent in the aftermath of the war."
Foyle's War,3,4,A War of Nerves,"Nov 14, 2004",8.0,517,June 1941: A.C. Rose orders Foyle to delegate his investigation of black marketing ring and personally look into the possibly seditious acts of a Socialist activist.,https://www.imdb.com/title/tt0582092/,tt0310455,"As WWII rages, DCS Foyle fights his own war on the home-front; investigating crime on the south coast of England. Later series, see the retired detective working as an MI5 agent in the aftermath of the war."
Foyle's War,4,1,Invasion,"Jan 15, 2006",8.0,531,American troops arrive in Britain and the Corps of Engineers building an airstrip on a Hastings farm is met with resentment.,https://www.imdb.com/title/tt0582085/,tt0310455,"As WWII rages, DCS Foyle fights his own war on the home-front; investigating crime on the south coast of England. Later series, see the retired detective working as an MI5 agent in the aftermath of the war."
Foyle's War,4,2,Bad Blood,"Jan 22, 2006",8.4,519,Foyle investigates a mysterious disease affecting local farm animals and looks into the stabbing of a war hero.,https://www.imdb.com/title/tt0582081/,tt0310455,"As WWII rages, DCS Foyle fights his own war on the home-front; investigating crime on the south coast of England. Later series, see the retired detective working as an MI5 agent in the aftermath of the war."
Foyle's War,4,3,Bleak Midwinter,"Feb 11, 2007",8.3,521,The death of a woman in a munitions factory becomes linked with the murder of Milner's estranged wife as he falls under suspicion and Foyle strives to clear his name.,https://www.imdb.com/title/tt0845685/,tt0310455,"As WWII rages, DCS Foyle fights his own war on the home-front; investigating crime on the south coast of England. Later series, see the retired detective working as an MI5 agent in the aftermath of the war."
Foyle's War,4,4,Casualties of War,"Apr 15, 2007",8.1,509,"Foyle has his hands full dealing with illegal gambling, sabotage, and his needy goddaughter who shows up on his doorstep with her traumatized son.",https://www.imdb.com/title/tt0845686/,tt0310455,"As WWII rages, DCS Foyle fights his own war on the home-front; investigating crime on the south coast of England. Later series, see the retired detective working as an MI5 agent in the aftermath of the war."
Foyle's War,5,1,Plan of Attack,"Jul 13, 2008",8.2,521,"Milner is unhappy with his new DCS and has asked for a transfer, but after the DCS is murdered, Foyle comes out of retirement to replace him.",https://www.imdb.com/title/tt0980510/,tt0310455,"As WWII rages, DCS Foyle fights his own war on the home-front; investigating crime on the south coast of England. Later series, see the retired detective working as an MI5 agent in the aftermath of the war."
Foyle's War,5,2,Broken Souls,"Jul 20, 2008",8.5,503,Foyles hones in on two murders: an unpopular psychiatrist in a trauma facility and a low security German POW on work release to a local farm.,https://www.imdb.com/title/tt1158422/,tt0310455,"As WWII rages, DCS Foyle fights his own war on the home-front; investigating crime on the south coast of England. Later series, see the retired detective working as an MI5 agent in the aftermath of the war."
Foyle's War,5,3,All Clear,"Jul 27, 2008",8.5,507,Foyle joins a municipal committee preparing for the imminent V-E Day celebration but soon finds himself investigating the deaths of two of its members.,https://www.imdb.com/title/tt1189618/,tt0310455,"As WWII rages, DCS Foyle fights his own war on the home-front; investigating crime on the south coast of England. Later series, see the retired detective working as an MI5 agent in the aftermath of the war."
Foyle's War,6,1,The Russian House,"May 2, 2010",8.1,490,The escape of a Russian POW sets off a chain of events that leads to murder and rekindles a conflict between Foyle and his former superior.,https://www.imdb.com/title/tt1578957/,tt0310455,"As WWII rages, DCS Foyle fights his own war on the home-front; investigating crime on the south coast of England. Later series, see the retired detective working as an MI5 agent in the aftermath of the war."
Foyle's War,6,2,Killing Time,"May 9, 2010",7.9,480,Foyle goes head to head against the might of the US army when a local girl is found murdered and the finger of suspicion points to a black GI at the US military base.,https://www.imdb.com/title/tt1591806/,tt0310455,"As WWII rages, DCS Foyle fights his own war on the home-front; investigating crime on the south coast of England. Later series, see the retired detective working as an MI5 agent in the aftermath of the war."
Foyle's War,6,3,The Hide,"May 16, 2010",8.9,612,Foyle battles to save a young man accused of high treason from the executioner's noose in a case that will shatter his personal world to the core.,https://www.imdb.com/title/tt1591807/,tt0310455,"As WWII rages, DCS Foyle fights his own war on the home-front; investigating crime on the south coast of England. Later series, see the retired detective working as an MI5 agent in the aftermath of the war."
Foyle's War,7,1,The Eternity Ring,"Sep 15, 2013",8.2,479,MI5 suspects British atomic research has been infiltrated and asks Foyle to look into whether a Russian spy network could be at work in the heart of London.,https://www.imdb.com/title/tt2753848/,tt0310455,"As WWII rages, DCS Foyle fights his own war on the home-front; investigating crime on the south coast of England. Later series, see the retired detective working as an MI5 agent in the aftermath of the war."
