tv,season,episode_number,title,airdate,rating,total_votes,desc,encoded_title
Fullmetal Alchemist,1,1,To Challenge the Sun,"Oct 4, 2003",7.8,703,A lead on the Philosopher's Stone leads the Elric brothers to a remote desert city whose citizens worship a sun god and are led by a prophet who is purported to perform miracles.,tt0421357
Fullmetal Alchemist,1,2,Body of the Sanctioned,"Oct 11, 2003",7.8,631,"Knowing the truth behind the prophet's power, the Elrics seek to unseat him and reveal the truth to the citizens of that desert city. They also seek to steal the source of the power for themselves, until they discover a secret about it that even the prophet didn't know.",tt0421357
Fullmetal Alchemist,1,3,Mother,"Oct 18, 2003",8.2,625,"A young Ed and Al are determined to bring back their dead mother, who was their pillar of strength in light of their absent father and war struck country.",tt0421357
Fullmetal Alchemist,1,4,A Forger's Love,"Oct 25, 2003",7.1,582,"While on their way to seek out an important man from their childhood, Ed and Al come across a town haunted by a ghostly woman.",tt0421357
Fullmetal Alchemist,1,5,The Man with the Mechanical Arm,"Nov 1, 2003",7.7,545,The Elric brothers hop aboard a train to Central City and quickly find themselves defending the passengers -- including General Haruko -- from terrorists.,tt0421357
Fullmetal Alchemist,1,6,The Alchemy Exam,"Nov 8, 2003",7.9,536,"Once in Central City, Ed and Al move into the vast mansion of the Sewing-Life Alchemist Shou Tucker and begin to prepare for the Alchemy exam.",tt0421357
Fullmetal Alchemist,1,7,Night of the Chimera's Cry,"Nov 15, 2003",9.0,719,"Now an official state alchemist, Ed takes a closer look at Tucker's chimera experiments and begins to realize that something wrong has been going on.",tt0421357
Fullmetal Alchemist,1,8,The Philosopher's Stone,"Nov 22, 2003",8.1,512,"A disheartened Ed resigns from his position as State Alchemist just as Winry arrives into town to visit. Winry however, may end up as the next victim of the city's serial killer.",tt0421357
Fullmetal Alchemist,1,9,Be Thou for the People,"Nov 29, 2003",7.9,499,Ed and Al go on assignment to inspect a small mining colony and discover its inhabitants are being heavily taxed by a tyrannical military Lieutenant and his Alchemist.,tt0421357
Fullmetal Alchemist,1,10,The Phantom Thief,"Dec 6, 2003",7.4,494,"While trying to avoid their meeting with Mustang, Ed and Al end up in a small town and become embroiled in a manhunt for a female Robin Hood.",tt0421357
Fullmetal Alchemist,1,11,The Other Brothers Elric: Part 1,"Dec 13, 2003",7.5,465,"The Elric brothers head to Xenotime in hopes of finding the Philosopher's Stone, but instead find two brothers who've stolen their identity and are poisoning the town with strange red water.",tt0421357
Fullmetal Alchemist,1,12,The Other Brothers Elric: Part 2,"Dec 20, 2003",7.5,460,"Ed and Al uncover a conspiracy involving the Tringham brothers' father, his involvement with the red water and the disease that's stricken Xenotime.",tt0421357
Fullmetal Alchemist,1,13,Fullmetal vs. Flame,"Dec 27, 2003",8.0,468,"Just in time for his annual Assessment, Ed challenges Mustang to a fight. If Ed wins, Roy must tell the truth about the traveling doctor who saved children in Xenotime.",tt0421357
Fullmetal Alchemist,1,14,Destruction's Right Hand,"Jan 10, 2004",7.8,448,"While the shape-shifting Envy disguises himself as Cornello, Ed and Al find Marcoh and learn about the Stone's involvement in the Ishbal Rebellion.",tt0421357
Fullmetal Alchemist,1,15,The Ishbal Massacre,"Jan 17, 2004",8.3,456,"As the Strong Arm Alchemist defends against the surrounding chaos, Marcoh reveals to the Elrics the vast atrocities of the Ishbal massacre.",tt0421357
