tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
Gravity Falls,1,1,Tourist Trapped,"Jun 15, 2012",8.3,2877,"After finding a strange book in the forest, Dipper begins to learn about the dark side of Gravity Falls, and suspects that Mabel's new boyfriend is a zombie.",https://www.imdb.com/title/tt2152239/,tt1865718,"Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon."
Gravity Falls,1,2,The Legend of the Gobblewonker,"Jun 29, 2012",7.9,2596,"Dipper and Mabel hear rumours that a sea monster lives at the bottom of the local lake, and enlist Soos to take them out on a boat to see if the monster really exists.",https://www.imdb.com/title/tt2168670/,tt1865718,"Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon."
Gravity Falls,1,3,Headhunters,"Jun 30, 2012",8.0,2422,"The kids discover Stan's collection of wax sculptures, and Mabel decides to create her own. But when someone sabotages it, it's up to her and Dipper to solve the case.",https://www.imdb.com/title/tt2168676/,tt1865718,"Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon."
Gravity Falls,1,4,The Hand That Rocks the Mabel,"Jul 6, 2012",7.7,2333,"Dipper and Mabel meet an intriguing new neighbor: a psychotic child fraud named Li'l Gideon. When Gideon begins obsessing over Mabel and tries to win her over, Dipper tries to stop him.",https://www.imdb.com/title/tt2229194/,tt1865718,"Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon."
Gravity Falls,1,5,The Inconveniencing,"Jul 13, 2012",8.6,2420,Dipper tries to impress Wendy by going along with her and her friends to an abandoned convenience store that may be haunted.,https://www.imdb.com/title/tt2229196/,tt1865718,"Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon."
Gravity Falls,1,6,Dipper vs. Manliness,"Jul 20, 2012",7.9,2278,"In order to become more manly, Dipper seeks the help of a gang of minotaurs in the forest. Meanwhile, Mabel gives Stan a makeover.",https://www.imdb.com/title/tt2229192/,tt1865718,"Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon."
Gravity Falls,1,7,Double Dipper,"Aug 10, 2012",8.7,2352,"Stan throws a big party to promote the Mystery Shack, while Dipper uses a strange photocopier to make clones of himself, so that he can impress Wendy.",https://www.imdb.com/title/tt2267658/,tt1865718,"Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon."
Gravity Falls,1,8,Irrational Treasure,"Aug 17, 2012",8.2,2188,"During Gravity Falls' Pioneer Day celebration, the kids attempt to uncover a conspiracy about the town's real founder.",https://www.imdb.com/title/tt2267660/,tt1865718,"Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon."
Gravity Falls,1,9,The Time Traveler's Pig,"Aug 24, 2012",9.0,2430,"Dipper ruins a chance to impress Wendy at a fair, forcing him to use a time machine to travel back and stop it from happening.",https://www.imdb.com/title/tt2310928/,tt1865718,"Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon."
Gravity Falls,1,10,Fight Fighters,"Sep 14, 2012",8.6,2254,"Dipper brings a video game character, Rumble McSkirmish, to life so he can fight Robbie, but when things go too far Dipper realizes he needs to save Robbie. Meanwhile, Mabel tries to end Stan's fear of heights.",https://www.imdb.com/title/tt2340344/,tt1865718,"Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon."
Gravity Falls,1,11,Little Dipper,"Sep 28, 2012",7.9,2075,"Dipper finds a magic crystal with the ability to grow and shrink anything, but Gideon gets his hands on it and tries to get revenge on Stan and take the Mystery Shack.",https://www.imdb.com/title/tt2340350/,tt1865718,"Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon."
Gravity Falls,1,12,Summerween,"Oct 5, 2012",8.6,2224,"It's Summerween, and Dipper and Mabel are visited by a monster called the Summerween Trickster, who informs them they must collect 500 pieces of candy, or be eaten.",https://www.imdb.com/title/tt2439428/,tt1865718,"Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon."
Gravity Falls,1,13,Boss Mabel,"Feb 15, 2013",7.9,2082,"Mabel is in charge of the Mystery Shack after making a bet with Stan to see who can the most money in three days, and determine which of them is the better boss.",https://www.imdb.com/title/tt2468818/,tt1865718,"Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon."
Gravity Falls,1,14,Bottomless Pit!,"Mar 1, 2013",8.1,2094,"Dipper, Mabel, Stan, and Soos accidentally fall into the Mystery Shack's bottomless pit and tell each other stories to pass the time.",https://www.imdb.com/title/tt2717560/,tt1865718,"Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon."
Gravity Falls,1,15,The Deep End,"Mar 15, 2013",7.8,2077,"It's the hottest day of the Summer and the opening day of the Gravity Falls pool, where Mabel befriends a mysterious boy named Mermando.",https://www.imdb.com/title/tt2717562/,tt1865718,"Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon."
Gravity Falls,1,16,Carpet Diem,"Apr 5, 2013",8.6,2084,"Dipper wants his own room and when Soos finds one in the shack, Stan makes Dipper and Mabel compete for it. Meanwhile, Dipper has found out that the shag rug inside let's you switch bodies with whomever you shock.",https://www.imdb.com/title/tt2717564/,tt1865718,"Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon."
