tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
House of Cards,1,1,Chapter 1,"Feb 1, 2013",8.6,7846,"Congressman Francis Underwood has been declined the chair for Secretary of State. He's now gathering his own team to plot his revenge. Zoe Barnes, a reporter for the Washington Herald, will do anything to get her big break.",https://www.imdb.com/title/tt2161930/,tt1856010,A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.
House of Cards,1,2,Chapter 2,"Feb 1, 2013",8.5,6290,"Francis and Doug plan to frame Secretary of State nominee, Michael Kern. Meanwhile, Zoe's popularity at the Washington Herald continues to grow.",https://www.imdb.com/title/tt2250466/,tt1856010,A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.
House of Cards,1,3,Chapter 3,"Feb 1, 2013",8.3,5610,Francis heads for his hometown to deal with a crisis. Zoe negotiates the politics of being a journalist on the rise. Claire finds herself a new business partner.,https://www.imdb.com/title/tt2248444/,tt1856010,A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.
House of Cards,1,4,Chapter 4,"Feb 1, 2013",8.2,5289,Francis shakes down the Congressional leadership. Zoe is offered the promotion of White House Correspondent and doesn't know if she should take it or not.,https://www.imdb.com/title/tt2248422/,tt1856010,A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.
House of Cards,1,5,Chapter 5,"Feb 1, 2013",8.4,5154,A feud starts between Francis and Marty Spinella. Russo goes into depression about the job losses at the shipyards.,https://www.imdb.com/title/tt2294870/,tt1856010,A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.
House of Cards,1,6,Chapter 6,"Feb 1, 2013",8.5,5132,The strike between Frank and Marty starts to get out of hand. Russo has decided to run for Governor of Pennsylvania.,https://www.imdb.com/title/tt2311910/,tt1856010,A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.
House of Cards,1,7,Chapter 7,"Feb 1, 2013",8.1,4830,"Frank helps Peter get ready for his governor race, but Peter is starting to have second thoughts. Doug tries to help a young hooker in trouble.",https://www.imdb.com/title/tt2311926/,tt1856010,A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.
House of Cards,1,8,Chapter 8,"Feb 1, 2013",7.7,5025,"Frank has a library named after him at his old military school and spends time with his old friends. Peter returns to Philadelphia, visits his mother and tries to regain people's support.",https://www.imdb.com/title/tt2312714/,tt1856010,A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.
House of Cards,1,9,Chapter 9,"Feb 1, 2013",8.5,4750,"Frank tries to do whatever it takes to get the new bill past congress. Russo goes on a bus campaign with the Vice President, but the VP is not making it an easy trip for him. Zoe's relationship with Frank gets a little bumpy.",https://www.imdb.com/title/tt2248426/,tt1856010,A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.
House of Cards,1,10,Chapter 10,"Feb 1, 2013",8.7,4806,"Told that Claire was behind the watershed bill's failure, Francis works to contain the damage and maintain control over Peter Russo. Zoe and Claire each seek relief from their respective relationships with Francis.",https://www.imdb.com/title/tt2468204/,tt1856010,A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.
