tv,season,episode_number,title,airdate,rating,total_votes,desc,encoded_title
House,1,1,Pilot,"Nov 16, 2004",8.6,4957,Young kindergarten teacher Rebecca Adler collapses in her classroom after losing intelligible speech while teaching students.,tt0412142
House,1,2,Paternity,"Nov 23, 2004",8.2,3575,"The team helps a high school boy (16) who has double vision and night terrors. (Clinic Cases: Unvaccinated baby, man with boil on leg.)",tt0412142
House,1,3,Occam's Razor,"Nov 30, 2004",8.3,3364,"A college boy whose low blood pressure does not respond with IV fluids piques House's curiosity. Clinic Cases: A woman who had a cold last week, man with a sore throat, woman whose leg hurts after running 6 miles, a boy and his MP3 Player.",tt0412142
House,1,4,Maternity,"Dec 7, 2004",8.4,3255,A nightmare scenario hits Princeton Plainsboro when babies in the maternity ward are hit by a potentially fatal epidemic. Clinic Cases: Woman with a parasite!,tt0412142
House,1,5,Damned If You Do,"Dec 14, 2004",8.2,3139,A nun suffering from acute dermatitis and asthma treated by House with possibly the wrong medication comes dangerously close to death.,tt0412142
House,1,6,The Socratic Method,"Dec 21, 2004",8.5,3086,"A 38-year-old mother, apparently suffering from thrombosis, alcoholism and schizophrenia, has only her underage 15-year-old son as caregiver.",tt0412142
House,1,7,Fidelity,"Dec 28, 2004",8.2,3017,"A woman comes down with symptoms of African sleeping sickness, but there seems to be no way she could have contracted it. House and his aides must ask a few tough questions and make some tough decisions in order to try to save her.",tt0412142
House,1,8,Poison,"Jan 25, 2005",8.1,2878,"A high school boy has hallucinations and collapses during an exam. When he does not respond to treatments, and the normal tests are negative, Foreman presents the case to House. Clinic Cases: A happy old lady.",tt0412142
House,1,9,DNR,"Feb 1, 2005",8.8,3302,"A famous jazz trumpeter, diagnosed with ALS, signs a DNR form, but because House believes the diagnosis wrong, he breaks the law by resuscitating him.",tt0412142
House,1,10,Histories,"Feb 8, 2005",8.5,2978,A delusional homeless woman is found unconscious in an acid house exhibiting a variety of symptoms which Foreman thinks she's faking.,tt0412142
House,1,11,Detox,"Feb 15, 2005",8.7,3085,A girl crashes a Porsche after her boyfriend starts coughing up blood and continues to have unexplained bleeds. Clinic Cases: Cuddy gives House a month off clinic duties if he can spend a week off his pain meds.,tt0412142
House,1,12,Sports Medicine,"Feb 22, 2005",8.0,2688,"A detoxed sports star about to make his comeback breaks his arm due to brittle bones. Clinic Cases: Woman with leg pain, man trying to remove his contact lenses, a dentist with various issues, and a hung over teenager - all in 70 seconds.",tt0412142
House,1,13,Cursed,"Mar 1, 2005",8.2,2730,A young boy's fever lasts nearly a week after a Ouija board predicts he will die. Clinic Cases: Chase's case of a man with numb fingers.,tt0412142
House,1,14,Control,"Mar 15, 2005",8.7,2919,Can House save a high powered female executive from the same problem that has left him in constant pain? A new head of the hospital board could cause problems. Clinic cases: A boy and his mute dad.,tt0412142
House,1,15,Mob Rules,"Mar 22, 2005",8.0,2636,A Mob informer collapses before trial. Is he faking or is he really in a coma? Clinic Cases: A pair of brothers come in when the youngster gets toys stuck up his nose.,tt0412142
