tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
Jujutsu Kaisen,1,1,Ryomen Sukuna,"Oct 2, 2020",8.4,2600,"As Itadori cares for his grandpa, Fushiguro worries that he's carrying a cursed object of rare power. The Occult club messes with something far beyond their understanding.",https://www.imdb.com/title/tt12967596/,tt12343534,A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.
Jujutsu Kaisen,1,2,For Myself,"Oct 10, 2020",8.2,2300,"When Itadori wakes up in an unfamiliar room where walls have seals on them, he sees Gojou Satoru, a teacher at Jujutsu Tech resting in front of him. Who informs Itadori about the secret decision to execute him and also his two options. Either, he can be executed immediately or hunt down all fingers of Ryoumen Sakuna and be executed after ingesting them.",https://www.imdb.com/title/tt13220442/,tt12343534,A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.
Jujutsu Kaisen,1,3,Girl of Steel,"Oct 17, 2020",8.0,2200,"A new freshman arrives to join the Itadori and Fushiguro group. She barely arrives in Tokyo, and is already put to the test on her first exorcism mission.",https://www.imdb.com/title/tt13220444/,tt12343534,A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.
Jujutsu Kaisen,1,4,Curse Womb Must Die,"Oct 23, 2020",9.0,2500,"The three Jujutsu first years are sent to rescue inmates of a detention center haunted by a Cursed Womb. With the potential to spawn a Special Grade Cursed Spirit, the young Sorcerers are faced with the choice to run or die.",https://www.imdb.com/title/tt13220452/,tt12343534,A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.
Jujutsu Kaisen,1,5,Curse Womb Must Die -II-,"Oct 31, 2020",8.5,2100,"Yuuji fails to regain control of his own body, forcing Fushiguro to take drastic measures. Meanwhile, the school's veterans finally introduce themselves.",https://www.imdb.com/title/tt13352292/,tt12343534,A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.
Jujutsu Kaisen,1,6,After Rain,"Nov 7, 2020",8.4,2100,"Yuuji and Sukuna have a conversation outside the material plane, while Gojou expresses his desire to bring about a revolution in the Jujutsu world - through education.",https://www.imdb.com/title/tt13361162/,tt12343534,A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.
Jujutsu Kaisen,1,7,Assault,"Nov 14, 2020",9.4,3300,"Jougo, a very powerful curse, attacks Gojou on the way to his meeting - and the teacher takes the opportunity to give a special class to Yuuji.",https://www.imdb.com/title/tt13375940/,tt12343534,A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.
Jujutsu Kaisen,1,8,Boredom,"Nov 21, 2020",7.8,2100,"Kugisaki and Fushiguro continue to prepare for the Exchange Event, but some visitors from Kyoto decide to jump the gun and test their colleagues in the capital.",https://www.imdb.com/title/tt13375942/,tt12343534,A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.
Jujutsu Kaisen,1,9,Small Fry and Reverse Retribution,"Nov 28, 2020",8.3,1900,"Junpei is a fragile boy, who suffers at school, and who is about to find refuge in the world of curses. Meanwhile, Yuuji investigates murders alongside a new partner: Nanami.",https://www.imdb.com/title/tt13375944/,tt12343534,A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.
Jujutsu Kaisen,1,10,Idle Transfiguration,"Dec 5, 2020",8.4,1900,"Itadori's assignment is to investigate whether or not Junpei possesses sorcerer potential or is just an ordinary person. If he shows he has potential, he is to bring him in for questioning. Kento confronts the curse that is guiding Junpei.",https://www.imdb.com/title/tt13587028/,tt12343534,A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.
Jujutsu Kaisen,1,11,Narrow-minded,"Dec 12, 2020",8.7,2000,Kento's fight with the curse that is manipulating Junpei goes into overtime. Itadori makes contact with Junpei.,https://www.imdb.com/title/tt13594214/,tt12343534,A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.
Jujutsu Kaisen,1,12,"To You, Someday","Dec 19, 2020",9.5,3300,"Itadori arrives, he discovers that Junpei has unleashed so much pain. Rather than asking why though, Itadori launches into his attempt to stop him. This leads to a violent confrontation between the two fledgling friends.",https://www.imdb.com/title/tt13625562/,tt12343534,A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.
Jujutsu Kaisen,1,13,Tomorrow,"Dec 26, 2020",9.4,2700,"Yuji and Kento continue their battle against Mahito, who develops his powers in unexpected ways.",https://www.imdb.com/title/tt13707046/,tt12343534,A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.
Jujutsu Kaisen,1,14,Kyoto Sister School Exchange Event - Group Battle 0 -,"Jan 16, 2021",8.0,1900,"In the aftermath of the battles with Mahito, both sides return to their usual routines. Yuji finally goes back to school but his surprise return doesn't exactly go over well with his peers. Even so, the Tokyo students must come together as their rivals from Kyoto arrive for the Goodwill Event.",https://www.imdb.com/title/tt13847654/,tt12343534,A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.
Jujutsu Kaisen,1,15,Kyoto Sister School Exchange Event - Group Battle 1 -,"Jan 23, 2021",8.4,2000,"Itadori Yuji and the rest of Tokyo Metropolitan Curse Technical School engage into their team battle against their sister school from Kyoto. However with the entire Kyoto team against Yuji, will he be able to last with his short training?",https://www.imdb.com/title/tt13873752/,tt12343534,A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.
Jujutsu Kaisen,1,16,"Kyoto Sister School Goodwill Event - Team Battle, Part 2","Jan 30, 2021",8.8,2100,"Aoi Todo and Itadori Yuji continue to battle it out, with the former determined to strengthen his new best friend. Meanwhile, Panda discovers Ultimate Mechamaru's secrets while showing a more powerful side of him during their battle",https://www.imdb.com/title/tt13944548/,tt12343534,A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.
Jujutsu Kaisen,1,17,"Kyoto Sister School Goodwill Event - Team Battle, Part 3","Feb 5, 2021",9.0,2300,Miwa and Maki engage in a battle of strength while Nishimiya tackles Nobara. The battle is interrupted by Mai and the twins battle it out revealing secrets about their clan.,https://www.imdb.com/title/tt14023258/,tt12343534,A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.
Jujutsu Kaisen,1,18,Sage,"Feb 12, 2021",9.1,2400,"Megumi and Noritoshi confront their similarities and differences through battle. However, the Goodwill Event is suddenly upheaved by a sudden invasion!",https://www.imdb.com/title/tt14030804/,tt12343534,A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.
Jujutsu Kaisen,1,19,Black Flash,"Feb 19, 2021",9.5,4200,The special grade cursed spirit Hanami has invaded the Goodwill Event! Can the students survive the onslaught and escape the curtain with their lives?,https://www.imdb.com/title/tt14030806/,tt12343534,A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.
Jujutsu Kaisen,1,20,Nonstandard,"Feb 26, 2021",9.7,6100,Yuji and Todo continue their battle with the special grade curse. Satoru finds a way to enter the battlefield.,https://www.imdb.com/title/tt14134754/,tt12343534,A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.
Jujutsu Kaisen,1,21,Jujutsu Koshien,"Mar 5, 2021",7.9,1900,"After the events interruption, the school tournament continues with a baseball match.",https://www.imdb.com/title/tt14173780/,tt12343534,A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.
Jujutsu Kaisen,1,22,The Origin of Blind Obedience,"Mar 12, 2021",8.1,1800,"Megumi, Nobara, and Yuji are sent out to investigate the mysterious deaths connected to the Saitama Urami East Junior High. Meanwhile, Mahito and Geto continue their schemes, incarnating one of the Cursed Womb: Death Paintings.",https://www.imdb.com/title/tt14180466/,tt12343534,A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.
Jujutsu Kaisen,1,23,The Origin of Blind Obedience - 2 -,"Mar 20, 2021",9.2,2500,"The battle begins, and the group is split. Fighting a familiar foe, Megumi uses a new technique, and reflects on his past. Nobara and Yuji fight Cursed Womb: Death Paintings Kechizu and Eso.",https://www.imdb.com/title/tt14191372/,tt12343534,A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.
Jujutsu Kaisen,1,24,Accomplices,"Mar 27, 2021",9.5,3000,"Yuji and Nobara's battle against the Death Painting Wombs Kechizu and Eso reaches its conclusion. However, even in victory there is a cost in killing, something the Jujutsu students had never considered before. Meanwhile, Choso, Geto and Mahito gain wind of this event.",https://www.imdb.com/title/tt14217976/,tt12343534,A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.
