tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
Justice League Unlimited,1,1,Initiation,"Jul 31, 2004",7.5,639,"After unsuccessfully attempting to recruit the Green Arrow to join the expanded League, he plays an important role with a team sent to manage a crisis in Asia.",https://www.imdb.com/title/tt0618151/,tt6025022,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.
Justice League Unlimited,1,2,For the Man Who Has Everything,"Aug 7, 2004",8.6,819,Batman and Wonder Woman find Superman immobilized in the Fortress of Solitude by a plant sent by the would-be conqueror Mongul.,https://www.imdb.com/title/tt0618139/,tt6025022,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.
Justice League Unlimited,1,3,Kids' Stuff,"Aug 14, 2004",7.9,691,"Morgaine Le Fey transforms Superman, Batman, Wonder Woman, and Green Lantern into children after Mordred uses his magic to remove all adults from Earth and keep children on the Earth.",https://www.imdb.com/title/tt0618154/,tt6025022,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.
Justice League Unlimited,1,4,Hawk and Dove,"Aug 21, 2004",6.6,577,"Ares creates a war machine called the Annihilator to escalate a civil war in Kasnia. Hawk, Dove, and Wonder Woman try to stop his plans.",https://www.imdb.com/title/tt0618142/,tt6025022,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.
Justice League Unlimited,1,5,This Little Piggy,"Aug 28, 2004",7.7,661,"When Circe changes Wonder Woman into a pig, Batman and Zatanna must find her and change her back.",https://www.imdb.com/title/tt0618199/,tt6025022,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.
Justice League Unlimited,1,6,Fearful Symmetry,"Sep 4, 2004",7.8,566,"Supergirl, Green Arrow, and The Question investigate Supergirl's disturbing dreams. They discover that Cadmus created a clone of Supergirl named Galatea while she was recovering from her fight against Superman on Earth.",https://www.imdb.com/title/tt0618136/,tt6025022,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.
Justice League Unlimited,1,7,The Greatest Story Never Told,"Sep 11, 2004",8.0,645,"The Justice League battle Mordru in the background, while the narrative follows Booster Gold as he attempts to close a walking black hole while he's supposed to be on ""crowd control"".",https://www.imdb.com/title/tt0618191/,tt6025022,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.
Justice League Unlimited,1,8,The Return,"Sep 18, 2004",8.5,615,"After blasting through the entire Green Lantern Corps, the android Amazo returns to Earth. Only the Justice League stands between him and his goal -- the now-reformed Lex Luthor.",https://www.imdb.com/title/tt0618192/,tt6025022,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.
Justice League Unlimited,1,9,Ultimatum,"Dec 4, 2004",7.8,537,A team of too-good-to-be-true superheroes find out the truth about their origins and go on the rampage.,https://www.imdb.com/title/tt0618203/,tt6025022,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.
Justice League Unlimited,1,10,Dark Heart,"Dec 11, 2004",7.6,512,"Most of the League battles with powerful alien nanotechnology but, realize that the waves of self-replicating robots cannot be simply destroyed. The diminutive Atom shrinks himself to stop the robots from the inside.",https://www.imdb.com/title/tt0618129/,tt6025022,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.
Justice League Unlimited,1,11,Wake the Dead,"Dec 18, 2004",8.2,544,"A trio of high school kids accidentally resurrect Solomon Grundy, reviving him more powerful than ever but with no memories of his past. Dr. Fate, Amazo, Aquaman, and Shayera assist League regulars stopping his rampage.",https://www.imdb.com/title/tt0618204/,tt6025022,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.
Justice League Unlimited,1,12,"The Once and Future Thing, Part One: Weird Western Tales","Jan 1, 2005",8.4,615,"While pursuing a time traveling thief, Batman, Wonder Woman and Green Lantern team up with a collection of DC Universe western heroes to battle the villain controlling him.",https://www.imdb.com/title/tt0618162/,tt6025022,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.
Justice League Unlimited,1,13,"The Once and Future Thing, Part Two: Time, Warped","Jan 29, 2005",8.7,626,The time traveling League team goes to the future to team up with that time's League to battle Chronos who rules.,https://www.imdb.com/title/tt0618161/,tt6025022,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.
Justice League Unlimited,2,1,The Cat and the Canary,"Feb 5, 2005",7.9,511,"Black Canary convinces Green Arrow to help save her mentor, Wildcat, from his involvement in an underground, super-powered fight club known as MetaBrawl.",https://www.imdb.com/title/tt0618185/,tt6025022,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.
Justice League Unlimited,2,2,The Ties That Bind,"Feb 12, 2005",7.5,486,"Mister Miracle and Big Barda solicit Justice League assistance to free Oberon from Apokolips. J'onn refuses, but Flash decides to help out on his own.",https://www.imdb.com/title/tt0618198/,tt6025022,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.
Justice League Unlimited,2,3,The Doomsday Sanction,"Feb 19, 2005",8.6,600,Superman battles Doomsday in the heart of a volcano. Doomsday is revealed to be a modified clone of Superman. Batman probes the Cadmus conspiracy to destroy the Justice League.,https://www.imdb.com/title/tt0618187/,tt6025022,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.
Justice League Unlimited,2,4,Task Force X,"May 21, 2005",8.3,543,"Cadmus has recruited a team of supervillains named Task Force X (based on the comics' Suicide Squad) made up of Deadshot, Plastique, Captain Boomerang, and the Clock King. Their mission: steal the Annihilator armor from the Watchtower.",https://www.imdb.com/title/tt0618181/,tt6025022,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.
Justice League Unlimited,2,5,The Balance,"May 28, 2005",7.6,484,"To help her magic superhero friends, the God Hermes sends Wonder Woman on a mission to help free Hades from the clutches of Felix Faust.",https://www.imdb.com/title/tt0618182/,tt6025022,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.
Justice League Unlimited,2,6,Double Date,"Jun 4, 2005",8.3,552,"Seeking to avenge the death of her parents, the Huntress enlists the help of the Question in tracking down Steven Mandragora, a mobster in protective custody -- and being guarded by the Green Arrow and Black Canary.",https://www.imdb.com/title/tt0618132/,tt6025022,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.
Justice League Unlimited,2,7,Clash,"Jun 11, 2005",8.3,562,Captain Marvel joins the Justice League and his innocent presence inadvertently causes friction with Superman.,https://www.imdb.com/title/tt0618186/,tt6025022,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.
Justice League Unlimited,2,8,Hunter's Moon,"Jun 18, 2005",7.4,468,"Shayera, Vixen and Vigilante are lured into an ambush by Thanagarians seeking revenge.",https://www.imdb.com/title/tt0618147/,tt6025022,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.
Justice League Unlimited,2,9,Question Authority,"Jun 25, 2005",9.0,602,"The Question, fearing disaster, decides to kill Lex Luthor to avert it.",https://www.imdb.com/title/tt0618169/,tt6025022,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.
Justice League Unlimited,2,10,Flashpoint,"Jul 2, 2005",8.9,587,Lex Luthor executes his masterstroke to eliminate Project Cadmus and frame the Justice League.,https://www.imdb.com/title/tt0618138/,tt6025022,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.
Justice League Unlimited,2,11,Panic in the Sky,"Jul 9, 2005",9.0,585,"While the senior Leaguers struggle to respond to the mysterious main gun firing, Amanda Waller orders Galatea to lead a full attack on the Justice League.",https://www.imdb.com/title/tt0618165/,tt6025022,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.
Justice League Unlimited,2,12,Divided We Fall,"Jul 16, 2005",9.3,746,The Justice League charter members must battle the combined Lex Luthor/Brainiac menace alone.,https://www.imdb.com/title/tt0618131/,tt6025022,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.
Justice League Unlimited,2,13,Epilogue,"Jul 23, 2005",9.1,934,"In the future, Terry McGinnis learns the truth about his birth.",https://www.imdb.com/title/tt0618135/,tt6025022,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.
