tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
Justice League,1,1,Secret Origins,"Nov 17, 2001",8.0,1009,"Batman and Superman team up to deal with an alien invasion, and a telepathic message leads the duo to a military base housing future ally J'onn J'onzz.",https://www.imdb.com/title/tt0618170/,tt0275137,Seven of the most formidable heroes form arguably the most powerful team ever.
Justice League,1,2,Secret Origins: Part II,"Nov 17, 2001",7.9,848,"With the nation's warheads disarmed by Superman after a peace initiative, the heroes rally to stop nocturnal alien invaders from blocking out the sun.",https://www.imdb.com/title/tt0618171/,tt0275137,Seven of the most formidable heroes form arguably the most powerful team ever.
Justice League,1,3,Secret Origins: Part III,"Nov 17, 2001",8.1,846,"The heroes are captured by the aliens just as their leader, the Imperium, arrives. After vanquishing the invasion, they decide to officially join forces as the Justice League.",https://www.imdb.com/title/tt0618172/,tt0275137,Seven of the most formidable heroes form arguably the most powerful team ever.
Justice League,1,4,In Blackest Night,"Nov 19, 2001",7.3,741,Green Lantern is brought up on charges of genocide and is forced to attend an intergalactic trial courtesy of the Manhunters.,https://www.imdb.com/title/tt0618149/,tt0275137,Seven of the most formidable heroes form arguably the most powerful team ever.
Justice League,1,5,In Blackest Night: Part II,"Nov 26, 2001",7.5,720,"Suspecting a railroad job, the League digs deeper into the charges against the Lantern. When the Guardians of the Universe arrive, the Manhunters' true motivation is revealed.",https://www.imdb.com/title/tt0618150/,tt0275137,Seven of the most formidable heroes form arguably the most powerful team ever.
Justice League,1,6,The Enemy Below,"Dec 3, 2001",7.6,674,The team encounters an agitated Aquaman while trying to rescue a submarine crew. His opinion of surface dwellers doesn't improve after an attempted assassination by Deadshot.,https://www.imdb.com/title/tt0618188/,tt0275137,Seven of the most formidable heroes form arguably the most powerful team ever.
Justice League,1,7,The Enemy Below: Part II,"Dec 10, 2001",7.9,664,"The team is captured after helping Aquaman stop an underwater coup by his half-brother, Orm. Struggling to free himself and his son from death, Aquaman sacrifices his own hand.",https://www.imdb.com/title/tt0618189/,tt0275137,Seven of the most formidable heroes form arguably the most powerful team ever.
Justice League,1,8,Paradise Lost,"Jan 21, 2002",7.6,659,"Wonder Woman returns to Paradise Island after her abrupt departure, only to find the Amazons turned to stone. Sorcerer Felix Faust demands three mystical artifacts as the ransom.",https://www.imdb.com/title/tt0618166/,tt0275137,Seven of the most formidable heroes form arguably the most powerful team ever.
Justice League,1,9,Paradise Lost: Part II,"Jan 28, 2002",7.7,651,"While helping Wonder Woman liberate her island, the League discovers Faust is attempting to free Hades and open a portal to Tartarus, a pit of souls.",https://www.imdb.com/title/tt0618167/,tt0275137,Seven of the most formidable heroes form arguably the most powerful team ever.
Justice League,1,10,War World,"Feb 24, 2002",7.4,608,"While handling an asteroid in space, Superman and J'onn J'onzz are captured and banished to Warworld, a planet where combatants are forced to duel to the death.",https://www.imdb.com/title/tt0618205/,tt0275137,Seven of the most formidable heroes form arguably the most powerful team ever.
Justice League,1,11,War World: Part II,"Mar 3, 2002",7.5,596,"Fight promoter and new contestant Mongul instructs Superman to throw the fight against him, or he'll destroy the enslaved Draaga's home planet.",https://www.imdb.com/title/tt0618206/,tt0275137,Seven of the most formidable heroes form arguably the most powerful team ever.
Justice League,1,12,The Brave and the Bold,"Mar 10, 2002",7.5,588,"Gorilla Grodd uses a mind-control device to obtain isotopes that will help destroy Gorilla City. To that end, he enlists Flash to oppose the Green Lantern.",https://www.imdb.com/title/tt0618183/,tt0275137,Seven of the most formidable heroes form arguably the most powerful team ever.
Justice League,1,13,The Brave and the Bold: Part II,"Mar 17, 2002",7.7,583,"Central City is under the rule of Grodd, who plans on attacking Gorilla City with missiles. As Flash confronts the maniacal ape the team races to stop the destruction.",https://www.imdb.com/title/tt0618184/,tt0275137,Seven of the most formidable heroes form arguably the most powerful team ever.
Justice League,1,14,Fury,"Apr 7, 2002",7.5,566,The Justice League must battle a fanatical Amazon scheming to kill all the men in the world.,https://www.imdb.com/title/tt0618140/,tt0275137,Seven of the most formidable heroes form arguably the most powerful team ever.
Justice League,1,15,Fury: Part II,"Apr 14, 2002",7.5,555,"With the male heroes suffering from Aresia's bio-weapon, the female Justice Leaguers race to stop their foe before she can contaminate the entire planet.",https://www.imdb.com/title/tt0618141/,tt0275137,Seven of the most formidable heroes form arguably the most powerful team ever.
Justice League,1,16,Legends,"Apr 21, 2002",8.5,705,"Several Leaguers are flung into another dimension populated with Green Lantern's childhood comic book heroes, the Justice Guild.",https://www.imdb.com/title/tt0618155/,tt0275137,Seven of the most formidable heroes form arguably the most powerful team ever.
Justice League,1,17,Legends: Part II,"Apr 28, 2002",8.7,701,"Still trapped in an alternate dimension, the Leaguers help the Justice Guild wage war against the Injustice Guild. But the secret behind this reality threatens to erase them all.",https://www.imdb.com/title/tt0618156/,tt0275137,Seven of the most formidable heroes form arguably the most powerful team ever.
