tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,encoded_title,show_desc
Justified,1,1,Fire in the Hole,"Mar 16, 2010",8.5,2469,Marshal Givens returns home and is assigned a case involving an old friend from his coal mining days who has become a white supremacist and blew up an African American church.,tt1489428,"U.S. Marshal Raylan Givens is reassigned from Miami to his childhood home in the poor, rural coal mining towns of eastern Kentucky."
Justified,1,2,Riverbrook,"Mar 23, 2010",7.8,1856,Raylan hunts an escaped prisoner who is determined to reunite with his ex-wife...and his stashed fortune.,tt1489428,"U.S. Marshal Raylan Givens is reassigned from Miami to his childhood home in the poor, rural coal mining towns of eastern Kentucky."
Justified,1,3,Fixer,"Mar 30, 2010",7.6,1721,"Raylan comes to the aid of a bookie informant, who has been kidnapped by one of his collectors and one of his delinquent clients.",tt1489428,"U.S. Marshal Raylan Givens is reassigned from Miami to his childhood home in the poor, rural coal mining towns of eastern Kentucky."
Justified,1,4,Long in the Tooth,"Apr 6, 2010",8.1,1688,"Raylan and the mob compete to capture a fugitive, Roland Pike, racing to the Mexican border.",tt1489428,"U.S. Marshal Raylan Givens is reassigned from Miami to his childhood home in the poor, rural coal mining towns of eastern Kentucky."
Justified,1,5,The Lord of War and Thunder,"Apr 13, 2010",7.9,1573,"Raylan's surveillance job on a fugitive is interrupted when he is forced to deal with his troubled father, who is causing mischief for a drug dealer who is renting from him.",tt1489428,"U.S. Marshal Raylan Givens is reassigned from Miami to his childhood home in the poor, rural coal mining towns of eastern Kentucky."
Justified,1,6,The Collection,"Apr 20, 2010",8.0,1533,"Raylan turns to an art collector to help bring a criminal to justice, but the case soon turns to a murder investigation. Meanwhile, Raylan's ex-wife turns to him for help, and he turns to Boyd Crowder to gather dirt on his father.",tt1489428,"U.S. Marshal Raylan Givens is reassigned from Miami to his childhood home in the poor, rural coal mining towns of eastern Kentucky."
Justified,1,7,Blind Spot,"Apr 27, 2010",8.2,1474,"Raylan and Ava survive a hitman's attack, and Raylan suspects that the Crowder family is trying to get revenge on Ava. But are his own biases clouding his judgment?",tt1489428,"U.S. Marshal Raylan Givens is reassigned from Miami to his childhood home in the poor, rural coal mining towns of eastern Kentucky."
Justified,1,8,Blowback,"May 4, 2010",8.5,1493,"Raylan tries to defuse a hostage situation in the Marshals' office without any casualties, and later discovers that his relationship with Ava could have repercussions on Boyd Crowder's prison sentence.",tt1489428,"U.S. Marshal Raylan Givens is reassigned from Miami to his childhood home in the poor, rural coal mining towns of eastern Kentucky."
Justified,1,9,Hatless,"May 11, 2010",8.5,1481,"While away from the Marshall's office because of a forced ""vacation,"" Raylan comes to the aid of his ex-wife after she is threatened by dangerous loan collectors who are looking for her husband.",tt1489428,"U.S. Marshal Raylan Givens is reassigned from Miami to his childhood home in the poor, rural coal mining towns of eastern Kentucky."
Justified,1,10,The Hammer,"May 18, 2010",8.1,1395,"Fresh out of prison, Boyd Crowder begins his mission to bring ""religion"" to the backwoods. Meanwhile Raylan starts trying to make a new case against Boyd while working as a bodyguard for a judge whose life has been threatened.",tt1489428,"U.S. Marshal Raylan Givens is reassigned from Miami to his childhood home in the poor, rural coal mining towns of eastern Kentucky."
Justified,1,11,Veterans,"May 25, 2010",8.1,1354,Raylan learns that his dad's life is in danger because he ran Bo Crowder's business while Bo was in prison and ran it into the ground. Raylan turns to an unlikely source to pin a meth lab killing on Boyd Crowder.,tt1489428,"U.S. Marshal Raylan Givens is reassigned from Miami to his childhood home in the poor, rural coal mining towns of eastern Kentucky."
Justified,1,12,Fathers and Sons,"Jun 1, 2010",8.6,1379,"The marshals are forced to turn to Arlo for help in making a case against Bo Crowder, but will he go along? Meanwhile, Bo is having problems of his own with Boyd, who continues to wage a religious war against his drug business.",tt1489428,"U.S. Marshal Raylan Givens is reassigned from Miami to his childhood home in the poor, rural coal mining towns of eastern Kentucky."
Justified,1,13,Bulletville,"Jun 8, 2010",9.3,1776,"Bo gets revenge on Boyd for blowing up his ephedrine shipment, asks Arlo to help him kill Raylan at the request of the Miami cartel, and kidnaps Ava for bait and insurance against Raylan.",tt1489428,"U.S. Marshal Raylan Givens is reassigned from Miami to his childhood home in the poor, rural coal mining towns of eastern Kentucky."
Justified,2,1,The Moonshine War,"Feb 9, 2011",8.6,1435,Raylan tangles with a ruthless Harlan County crime family while hunting for a fugitive sex offender.,tt1489428,"U.S. Marshal Raylan Givens is reassigned from Miami to his childhood home in the poor, rural coal mining towns of eastern Kentucky."
Justified,2,2,The Life Inside,"Feb 16, 2011",8.1,1282,Raylan chases a pregnant fugitive who has fallen into the hands of human traffickers.,tt1489428,"U.S. Marshal Raylan Givens is reassigned from Miami to his childhood home in the poor, rural coal mining towns of eastern Kentucky."
Justified,2,3,The I of the Storm,"Feb 23, 2011",8.4,1279,"Dewey Crowe returns and tries to score on a drug shipment, but the bus carrying the drugs is hijacked, and he tries to impersonate Raylan Givens to get it back. Meanwhile Boyd gets a proposition from some fellow coal miners.",tt1489428,"U.S. Marshal Raylan Givens is reassigned from Miami to his childhood home in the poor, rural coal mining towns of eastern Kentucky."
Justified,2,4,For Blood or Money,"Mar 2, 2011",8.0,1253,"Raylan helps Rachel find her brother in law, who has left a halfway house without permission to see his son on his birthday. He also begins investigating the oxy bus shooting and makes contact with the Dixie Mafia.",tt1489428,"U.S. Marshal Raylan Givens is reassigned from Miami to his childhood home in the poor, rural coal mining towns of eastern Kentucky."
Justified,2,5,Cottonmouth,"Mar 9, 2011",8.7,1294,"Boyd reluctantly joins a payroll heist, but can he trust his new partners? Meanwhile, Raylan's investigation into a forged signature on a dead man's government check leads back to the Bennett clan.",tt1489428,"U.S. Marshal Raylan Givens is reassigned from Miami to his childhood home in the poor, rural coal mining towns of eastern Kentucky."
Justified,2,6,Blaze of Glory,"Mar 16, 2011",8.2,1248,"Winona finds herself in hot water after she is a victim in a bank robbery, so Raylan does everything in his power to catch the culprits before anybody else does.",tt1489428,"U.S. Marshal Raylan Givens is reassigned from Miami to his childhood home in the poor, rural coal mining towns of eastern Kentucky."
