tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
Leyla and Mecnun,1,1,Pilot,"Feb 9, 2011",9.1,651,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun.",https://www.imdb.com/title/tt1850110/,tt1831164,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun."
Leyla and Mecnun,1,2,Dugun,"Feb 16, 2011",8.8,454,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun.",https://www.imdb.com/title/tt1850111/,tt1831164,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun."
Leyla and Mecnun,1,3,Hali Saha,"Feb 23, 2011",8.8,401,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun.",https://www.imdb.com/title/tt1850112/,tt1831164,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun."
Leyla and Mecnun,1,4,Fidye,"Mar 2, 2011",8.6,385,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun.",https://www.imdb.com/title/tt1851511/,tt1831164,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun."
Leyla and Mecnun,1,5,Sohret,"Mar 9, 2011",8.7,391,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun.",https://www.imdb.com/title/tt1855790/,tt1831164,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun."
Leyla and Mecnun,1,6,Banka,"Mar 16, 2011",9.0,396,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun.",https://www.imdb.com/title/tt1862823/,tt1831164,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun."
Leyla and Mecnun,1,7,Rüya,"Mar 23, 2011",9.1,377,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun.",https://www.imdb.com/title/tt1862824/,tt1831164,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun."
Leyla and Mecnun,1,8,Mantar,"Mar 30, 2011",8.7,338,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun.",https://www.imdb.com/title/tt1862825/,tt1831164,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun."
Leyla and Mecnun,1,9,Sihirbaz,"Apr 13, 2011",8.8,346,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun.",https://www.imdb.com/title/tt1880618/,tt1831164,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun."
Leyla and Mecnun,1,10,Dünyanin Sonu,"Apr 20, 2011",8.6,345,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun.",https://www.imdb.com/title/tt1910117/,tt1831164,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun."
Leyla and Mecnun,1,11,Canta,"Apr 27, 2011",8.8,323,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun.",https://www.imdb.com/title/tt1925941/,tt1831164,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun."
Leyla and Mecnun,1,12,Cesek,"May 4, 2011",9.0,348,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun.",https://www.imdb.com/title/tt1925942/,tt1831164,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun."
Leyla and Mecnun,1,13,Fake to the Future,"May 11, 2011",9.1,343,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun.",https://www.imdb.com/title/tt1930903/,tt1831164,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun."
Leyla and Mecnun,1,14,Evler,"May 18, 2011",8.8,302,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun.",https://www.imdb.com/title/tt1958958/,tt1831164,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun."
Leyla and Mecnun,1,15,Arda'nin Dügünü,"May 25, 2011",8.8,313,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun.",https://www.imdb.com/title/tt1958959/,tt1831164,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun."
Leyla and Mecnun,1,16,Clone Wars,"Jun 8, 2011",8.6,315,"Arda's father works with a crazy professor. Together, they start cloning people.",https://www.imdb.com/title/tt1972022/,tt1831164,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun."
Leyla and Mecnun,1,17,Sekerpare,"Jun 13, 2011",9.4,403,Ismail meets a woman and he fells in love. He doesn't know what to do in this situation so he wants help from his friends.,https://www.imdb.com/title/tt1972023/,tt1831164,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun."
Leyla and Mecnun,1,18,Arda Kalan,"Jun 20, 2011",8.6,298,"Iskender founds his own mafia, ""Godfather"" style. Set on spoiling the peace, Arda's father sends Kamil to wreak havoc in the neighborhood.",https://www.imdb.com/title/tt1972024/,tt1831164,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun."
Leyla and Mecnun,1,19,Benjamin,"Jun 27, 2011",8.8,314,"Benjamin creates chaos in the neighborhood and separates Leyla and Mecun, but his vendetta is directed against the white-bearded grandpa.",https://www.imdb.com/title/tt1972025/,tt1831164,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun."
Leyla and Mecnun,1,20,Hoscakal,"Jul 4, 2011",9.5,458,Leyla decides to go to United States and Mecnun can't make her change her decision.,https://www.imdb.com/title/tt1972026/,tt1831164,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun."
Leyla and Mecnun,2,1,Ramadan Is Coming,"Aug 8, 2011",8.8,347,Leyla is in U.S.A. Mecnun is so depressed about this and he wants to bring her back with Dede's help.,https://www.imdb.com/title/tt2014967/,tt1831164,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun."
Leyla and Mecnun,2,2,Yozgat,"Aug 15, 2011",8.9,303,Aksakalli Dede is lost. Mecnun wants to find him. He discovers that Leyla is kidnapped. Benjamin makes Mecnun see weird dreams.,https://www.imdb.com/title/tt2079146/,tt1831164,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun."
Leyla and Mecnun,2,3,Mecnun,"Aug 29, 2011",8.9,307,"Leyla is kidnapped and Mecnun wants to save her. He learns everything was just a game. When he learns everyone was in the game, Mecnun shoots himself in the head.",https://www.imdb.com/title/tt2084444/,tt1831164,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun."
Leyla and Mecnun,2,4,Beyin,"Aug 29, 2011",8.8,281,Mecnun is in coma. The crew enter Mecnun's subconscious in order to save him.,https://www.imdb.com/title/tt2084445/,tt1831164,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun."
Leyla and Mecnun,2,5,Nurten'in Yegeni,"Sep 5, 2011",8.6,264,Mecnun suddenly decides to marry Nurten's niece. Everyone is shocked by this decision.,https://www.imdb.com/title/tt2084446/,tt1831164,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun."
Leyla and Mecnun,2,6,Evlenme,"Sep 12, 2011",8.6,262,Mecnun suddenly changes his mind. He doesn't want to marry Nurten's niece anymore but brothers of the bride force him for marriage.,https://www.imdb.com/title/tt2084447/,tt1831164,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun."
Leyla and Mecnun,2,7,Uzay,"Sep 19, 2011",8.8,273,"Aliens, who have no feelings, come to the earth to investigate about love. When they see the love between Leyla and Mecnun, they decide to kidnap them.",https://www.imdb.com/title/tt2084448/,tt1831164,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun."
Leyla and Mecnun,2,8,Baz Istasyonu,"Sep 26, 2011",9.0,286,"The cell site, which Erdal has gotten, causes a big complication in the galactic system. Planets changes their places and because of that some changes happen in the world. Everyone has different personality except Leyla, Mecnun and Ismail.",https://www.imdb.com/title/tt2084449/,tt1831164,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun."
Leyla and Mecnun,2,9,"Illuzyon Nasil Ki Bir Goz Yanilmasiysa, Ask da Bir Gonul Yanilmasidir","Oct 3, 2011",8.9,283,Leyla eavesdrops a conversation of Mecnun and assumes that Mecnun doesn't want to be with her anymore.,https://www.imdb.com/title/tt2084450/,tt1831164,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun."
Leyla and Mecnun,2,10,Kimi Vedalarda Hoscakal Denilmez!,"Oct 31, 2011",9.1,322,Zeynep abandons the neighborhood and moves to a different city. Leyla has a big traffic accident.,https://www.imdb.com/title/tt2105582/,tt1831164,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun."
Leyla and Mecnun,2,11,"Hayat, Damarlarindan Tutup Zorla Icine Ceker Insani","Nov 7, 2011",9.0,283,"Mecnun speaks for the first time, one year after Leyla's death. He still can't accept the truth so he travels through time with Dede in order to save her.",https://www.imdb.com/title/tt2107160/,tt1831164,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun."
Leyla and Mecnun,2,12,Sari Biyik,"Nov 14, 2011",8.6,248,Leyla's organs were donated by her family. Arda's father kidnaps all the people who has Leyla's organs. He wants to create a Leyla for Arda. Mecnun meets Sedef and Sirin.,https://www.imdb.com/title/tt2111773/,tt1831164,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun."
Leyla and Mecnun,2,13,Gercek Kesik,"Nov 21, 2011",8.9,262,Ismail sells his organs for money. Mecnun seeks the person who has Leyla's heart. Erdal Bakkal is kidnapped.,https://www.imdb.com/title/tt2118282/,tt1831164,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun."
Leyla and Mecnun,2,14,Erdal Bakkal ve Ciraklari,"Nov 28, 2011",8.9,262,"Mecnun gets close with Sedef and Sirin. Iskender, Ismail and Yavuz start working in Erdal Bakkal as pupils.",https://www.imdb.com/title/tt2123589/,tt1831164,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun."
Leyla and Mecnun,2,15,Hayal Kirikliklari Muzesi,"Dec 5, 2011",8.7,252,Mecnun is about to marry Sirin. There are two different Dede. Everyone has a big disappointment.,https://www.imdb.com/title/tt2129430/,tt1831164,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun."
Leyla and Mecnun,2,16,Askin Formulu,"Nov 12, 2011",8.6,246,There are six unsolved math problems in the world. There is one million dollar reward for each problem. Everyone tries to solve these problems. Mecnun also tries to find the formula of love.,https://www.imdb.com/title/tt2138533/,tt1831164,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun."
Leyla and Mecnun,2,17,Marduk,"Dec 19, 2011",8.5,245,"A big meteor, which name is Marduk, is about collide with the world. The Maya calendar reaches its last date. Everyone assumes that this is the end of the world. Mecnun and his friends try to stop the world from ending.",https://www.imdb.com/title/tt2146611/,tt1831164,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun."
Leyla and Mecnun,2,18,Sir,"Dec 26, 2011",8.4,249,Mecnun finds the truth about Sedef's father. Sirin sees Aksakalli Dede in her dream and she wants to find out if Aksakalli Dede is real.,https://www.imdb.com/title/tt2155951/,tt1831164,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun."
