tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,encoded_title,show_desc
Louie,1,1,Pilot,"Jun 29, 2010",7.6,1250,Louie goes on a date as well as a field trip with his daughters. Both go badly.,tt1492966,"The life of Louie C.K., a divorced comedian living in New York with two kids."
Louie,1,2,Poker/Divorce,"Jun 29, 2010",8.0,1049,"Louie and his friends have a discussion about homosexuality with a gay friend during a poker game. After Louie's divorce is finalized, he looks up a woman he had a ""moment"" with back in school.",tt1492966,"The life of Louie C.K., a divorced comedian living in New York with two kids."
Louie,1,3,Dr. Ben/Nick,"Jul 6, 2010",8.1,979,Louie goes to the doctor and argues with an old friend.,tt1492966,"The life of Louie C.K., a divorced comedian living in New York with two kids."
Louie,1,4,So Old/Playdate,"Jul 13, 2010",8.1,910,Louie's age is an advantage and he sets up a play date.,tt1492966,"The life of Louie C.K., a divorced comedian living in New York with two kids."
Louie,1,5,Travel Day/South,"Jul 20, 2010",8.2,883,Louie goes on a trip. Louie plays the South.,tt1492966,"The life of Louie C.K., a divorced comedian living in New York with two kids."
Louie,1,6,Heckler/Cop Movie,"Jul 27, 2010",8.2,928,Louie reluctantly acts in a movie.,tt1492966,"The life of Louie C.K., a divorced comedian living in New York with two kids."
Louie,1,7,Double Date/Mom,"Aug 3, 2010",8.0,839,"Louie's brother comes to him with an odd request related to his date, and Louie's mom comes to tell him that she is a lesbian.",tt1492966,"The life of Louie C.K., a divorced comedian living in New York with two kids."
Louie,1,8,Dogpound,"Aug 10, 2010",7.9,793,"While the kids are away, Louie eats a lot of ice cream, gets high with a neighbor, and rescues an old dog from the pound.",tt1492966,"The life of Louie C.K., a divorced comedian living in New York with two kids."
Louie,1,9,Bully,"Aug 17, 2010",8.8,968,"Louie recalls his awkward sex education lessons as a child, and a high school bully threatens Louie in a donut shop and ruins his date.",tt1492966,"The life of Louie C.K., a divorced comedian living in New York with two kids."
Louie,1,10,Dentist/Tarese,"Aug 24, 2010",7.6,784,"Louie tries to overcome his fear of dentists, and tries to get a date with an African American grocery cashier.",tt1492966,"The life of Louie C.K., a divorced comedian living in New York with two kids."
