tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
"Love, Death & Robots",1,1,Sonnie's Edge,"Mar 15, 2019",8.2,19124,"In the underground world of ""beastie"" fights, Sonnie is unbeatable -- as long as she keeps her edge.",https://www.imdb.com/title/tt9781722/,tt9561862,"A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy."
"Love, Death & Robots",1,2,Three Robots,"Mar 15, 2019",8.0,17827,"Long after the fall of humanity, three robots embark on a sightseeing tour of a post-apocalyptic city.",https://www.imdb.com/title/tt9788484/,tt9561862,"A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy."
"Love, Death & Robots",1,3,The Witness,"Mar 15, 2019",7.8,16995,"After seeing a brutal murder, a woman flees from the killer through the streets of a surreal city.",https://www.imdb.com/title/tt9788486/,tt9561862,"A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy."
"Love, Death & Robots",1,4,Suits,"Mar 15, 2019",7.5,14691,A community of farmers use their homemade mechs to defend their families from an alien invasion.,https://www.imdb.com/title/tt9788490/,tt9561862,"A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy."
"Love, Death & Robots",1,5,Sucker of Souls,"Mar 15, 2019",6.5,13675,"Unleashed by an archaeological dig, a bloodthirsty demon battles a team of mercenaries armed with... cats?",https://www.imdb.com/title/tt9788492/,tt9561862,"A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy."
"Love, Death & Robots",1,6,When the Yogurt Took Over,"Mar 15, 2019",6.8,14702,"After scientists accidentally breed super-intelligent yogurt, it soon hungers for world domination.",https://www.imdb.com/title/tt9788494/,tt9561862,"A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy."
"Love, Death & Robots",1,7,Beyond the Aquila Rift,"Mar 15, 2019",8.5,18371,"Awakening after traveling light years off course, a ship's crew struggles to discover just how far they've come.",https://www.imdb.com/title/tt9788496/,tt9561862,"A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy."
"Love, Death & Robots",1,8,Good Hunting,"Mar 15, 2019",8.0,14782,The son of a spirit hunter forges a bond with a shape-shifting huli jing.,https://www.imdb.com/title/tt9788498/,tt9561862,"A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy."
"Love, Death & Robots",1,9,The Dump,"Mar 15, 2019",6.3,12616,"Ugly Dave calls the garbage dump home, and he's not about to let some city slicker take it away from him.",https://www.imdb.com/title/tt9788500/,tt9561862,"A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy."
"Love, Death & Robots",1,10,Shape-Shifters,"Mar 15, 2019",7.5,13428,"Deep in Afghanistan, two Marines with supernatural powers face a threat from one of their own kind.",https://www.imdb.com/title/tt9788502/,tt9561862,"A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy."
"Love, Death & Robots",1,11,Helping Hand,"Mar 15, 2019",7.4,12610,"Stranded in orbit, an astronaut must choose between life and limb before her oxygen runs out.",https://www.imdb.com/title/tt9788504/,tt9561862,"A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy."
"Love, Death & Robots",1,12,Fish Night,"Mar 15, 2019",6.4,12378,"After their car breaks down in the desert, two salesmen take a dreamlike voyage to the dawn of time.",https://www.imdb.com/title/tt9788506/,tt9561862,"A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy."
"Love, Death & Robots",1,13,Lucky 13,"Mar 15, 2019",7.5,12502,"After the drop-ship Lucky 13 lost two crews, no pilot would fly her... but rookies don't get a choice.",https://www.imdb.com/title/tt9788508/,tt9561862,"A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy."
"Love, Death & Robots",1,14,Zima Blue,"Mar 15, 2019",8.3,15636,The renowned artist Zima recounts his mysterious past and rise to fame before unveiling his final work.,https://www.imdb.com/title/tt9788510/,tt9561862,"A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy."
"Love, Death & Robots",1,15,Blind Spot,"Mar 15, 2019",6.4,11158,A gang of cyborg thieves stage a high-speed heist of a heavily armored convoy.,https://www.imdb.com/title/tt9788512/,tt9561862,"A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy."
"Love, Death & Robots",1,16,Ice Age,"Mar 15, 2019",7.0,13105,A young couple moves into an apartment and finds a lost civilization inside their antique freezer.,https://www.imdb.com/title/tt9788514/,tt9561862,"A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy."
"Love, Death & Robots",1,17,Alternate Histories,"Mar 15, 2019",6.4,12008,Want to see Hitler die in a variety of comically fantastic ways? Now you can. Welcome to Multiversity!,https://www.imdb.com/title/tt9788516/,tt9561862,"A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy."
"Love, Death & Robots",1,18,The Secret War,"Mar 15, 2019",8.1,13635,Elite units of the Red Army fight an unholy evil deep in the ancient forests of Siberia.,https://www.imdb.com/title/tt9788518/,tt9561862,"A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy."
"Love, Death & Robots",2,1,Automated Customer Service,"May 14, 2021",6.5,8212,"Some senior citizens are lucky enough to enjoy their golden years in tomorrow's high-tech, assisted living communities. They pursue relaxation, their every need taken care of - until their robotic servants decide to kill them.",https://www.imdb.com/title/tt14536130/,tt9561862,"A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy."
"Love, Death & Robots",2,2,Ice,"May 14, 2021",6.1,7772,"In a future where many humans are enhanced with extraordinary strength and endurance, the ""unmodded"" feel left behind. This class-conflict drives a rift between two brothers that puts their lives at risk during a dangerous race.",https://www.imdb.com/title/tt14536106/,tt9561862,"A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy."
"Love, Death & Robots",2,3,Pop Squad,"May 14, 2021",8.1,8924,"In a future where resources are controlled by the rich, ""unregistered offspring"" are forbidden by the state. A police officer charged with enforcing population control faces a crisis of conscience.",https://www.imdb.com/title/tt10468230/,tt9561862,"A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy."
"Love, Death & Robots",2,4,Snow in the Desert,"May 14, 2021",7.9,8009,"On an arid, scorched planet at the edge of galactic civilization, an ageless albino named ""Snow"" is hunted by an assortment of hired killers. But after a beautiful stranger named Hirald saves his life, she reveals her own plans for him.",https://www.imdb.com/title/tt14536160/,tt9561862,"A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy."
"Love, Death & Robots",2,5,The Tall Grass,"May 14, 2021",7.0,7037,"When a train makes an unscheduled stop in the middle of nowhere, a lone traveler is lured into the surrounding fields by ethereal lights. But his curiosity may prove deadly when he discovers the hellish source of the illumination.",https://www.imdb.com/title/tt14536118/,tt9561862,"A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy."
"Love, Death & Robots",2,6,All Through the House,"May 14, 2021",7.4,7185,"On Christmas Eve, a young girl and her little brother lie awake. When a jingle of bells announces Saint Nick's arrival they sneak downstairs hoping to catch a glimpse of the mythical gift-giver - but find something unexpected.",https://www.imdb.com/title/tt14536144/,tt9561862,"A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy."
