tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
Mahabharat,1,1,King Shantanu's Promise to Ganga,"Oct 2, 1988",7.0,126,"King Bharat of Hastinapur, even after having nine sons, chooses a sage's son Bhumanyu as his successor. A few generations later, King Shantanu's reign weakens due to a promise made to his wife, Ganga.",https://www.imdb.com/title/tt4003396/,tt0158417,"When differences between the Kaurava and the Pandava clans, who belong to the same family line, lead them to the threshold of war, Lord Krishna decides to step in and take control of the situation."
Mahabharat,1,2,Ganga's Revelation about a Curse,"Oct 9, 1988",5.5,83,"After revealing about a curse to King Shantanu, Ganga leaves with their eighth son, Devavrat. He finds two newborns and names them as Kripa and Kripi. 16 years later, Ganga returns with Devavrat.",https://www.imdb.com/title/tt4170616/,tt0158417,"When differences between the Kaurava and the Pandava clans, who belong to the same family line, lead them to the threshold of war, Lord Krishna decides to step in and take control of the situation."
Mahabharat,1,3,Bhishma Is Grown-up,"Oct 16, 1988",5.5,75,"Devavrat is crowned as Yuvraj, heir apparent to King Shantanu. But, to enable his father's remarriage to a village girl, Devavrat vows to remain unmarried for the rest of his life and renounces his rights to the throne.",https://www.imdb.com/title/tt4170622/,tt0158417,"When differences between the Kaurava and the Pandava clans, who belong to the same family line, lead them to the threshold of war, Lord Krishna decides to step in and take control of the situation."
Mahabharat,1,4,Devavrat Becomes Bhishma,"Oct 23, 1988",5.8,89,"Bhisma gets the Iccha Mrityu Vardaan. With all these sacrifices for Shantanu, do he gets peace.",https://www.imdb.com/title/tt4170624/,tt0158417,"When differences between the Kaurava and the Pandava clans, who belong to the same family line, lead them to the threshold of war, Lord Krishna decides to step in and take control of the situation."
Mahabharat,1,5,"Amba, Ambika and Ambalika's Introduction","Oct 30, 1988",4.9,71,Bhisma action for restoring the image of Hastinapur will lead to his death.,https://www.imdb.com/title/tt4170626/,tt0158417,"When differences between the Kaurava and the Pandava clans, who belong to the same family line, lead them to the threshold of war, Lord Krishna decides to step in and take control of the situation."
Mahabharat,1,6,"Birth of Pandu, Dhritarashtra and Vidur","Nov 6, 1988",5.4,71,"Rishi Vyas is introduced and is the father of Pandu, Dhritarashtra and Vidhur. These are imparted knowledge and training by Bhisma and a new king of Hastinapur is selected.",https://www.imdb.com/title/tt4170634/,tt0158417,"When differences between the Kaurava and the Pandava clans, who belong to the same family line, lead them to the threshold of war, Lord Krishna decides to step in and take control of the situation."
Mahabharat,1,7,"Karna's Birth-story, Dhritarashtra and Gandhari Get Married and Pandu and Kunti Get Married","Nov 13, 1988",5.9,77,"This is the divine story of Karna's birth. Lord Surya comes and blesses Kunti with a child who is named as Vasusena by the gods because his birth was royal and celebrated by Devas,Yakshas and Apsaras",https://www.imdb.com/title/tt4170638/,tt0158417,"When differences between the Kaurava and the Pandava clans, who belong to the same family line, lead them to the threshold of war, Lord Krishna decides to step in and take control of the situation."
Mahabharat,1,8,"Madri is gifted to Pandu, Pandu is resting and Sage Kindama's curse on Pandu","Nov 20, 1988",5.3,75,"Pandu establishes the supremacy of the Kuru House. During his campaigns he takes another wife, Madri. After the campaigns, Pandu goes to the forest for relaxation with his two queens Kunti and Madri.",https://www.imdb.com/title/tt1855802/,tt0158417,"When differences between the Kaurava and the Pandava clans, who belong to the same family line, lead them to the threshold of war, Lord Krishna decides to step in and take control of the situation."
Mahabharat,1,9,Dhritarashtra is king his sanyas and Kansa is king and Akashwani about Krishna,"Nov 27, 1988",5.1,64,"While hunting, Pandu accidentally kills a Sage. To do penance Pandu decides to spend his life in exile and entrusts Kingdom to Dhritarastra. In time five children are born to Kunti and Madri. Dhritarastra had a hundred sons from Gandhari.",https://www.imdb.com/title/tt4170958/,tt0158417,"When differences between the Kaurava and the Pandava clans, who belong to the same family line, lead them to the threshold of war, Lord Krishna decides to step in and take control of the situation."
Mahabharat,1,10,Birth of Balarama and Five Pandavas,"Dec 4, 1988",5.0,58,"In Mathura, King Kans dethrones his father and takes over. He arranges his sister Devki's marriage with his influential friend Vasudev. But when a Sage predicts Kans' death, he imprisons Devki and Vasudev.",https://www.imdb.com/title/tt4170960/,tt0158417,"When differences between the Kaurava and the Pandava clans, who belong to the same family line, lead them to the threshold of war, Lord Krishna decides to step in and take control of the situation."
Mahabharat,1,11,Krishna Janma,"Dec 11, 1988",5.3,65,"Kans personally kills Devki's first six children. Devki's seventh ""pregnancy"" is taken over by Vasudev's second wife, giving birth to Balram. During eighth child, Vasudev is able to smuggle out the child.",https://www.imdb.com/title/tt4170962/,tt0158417,"When differences between the Kaurava and the Pandava clans, who belong to the same family line, lead them to the threshold of war, Lord Krishna decides to step in and take control of the situation."
Mahabharat,1,12,Pootna's Death,"Dec 18, 1988",5.0,59,"Gokul is in a festive mood to celebrate the birth of Krishna, unaware of the fact that King Kans has assigned Demon Pootna to kill all the newborns.",https://www.imdb.com/title/tt4170964/,tt0158417,"When differences between the Kaurava and the Pandava clans, who belong to the same family line, lead them to the threshold of war, Lord Krishna decides to step in and take control of the situation."
Mahabharat,1,13,Krishna brahmand darshan and Krishna gets caught while stealing makhan,"Dec 25, 1988",4.8,59,"While Yashoda happily reared Shri Krishna in Nandgaon, his real mother Devki, and his father Vasudev spent days inside the prison in Mathura.",https://www.imdb.com/title/tt4170966/,tt0158417,"When differences between the Kaurava and the Pandava clans, who belong to the same family line, lead them to the threshold of war, Lord Krishna decides to step in and take control of the situation."
Mahabharat,1,14,Maiya Mori Mai nahi makhan khayo and Kaliya Nag Tandav,"Jan 1, 1989",5.0,55,"Krishna enjoys his times in Nandgaon, showing his divine power time to time.",https://www.imdb.com/title/tt4171010/,tt0158417,"When differences between the Kaurava and the Pandava clans, who belong to the same family line, lead them to the threshold of war, Lord Krishna decides to step in and take control of the situation."
Mahabharat,1,15,"Radha and Gopikas, protest against Mathura, Devakasur and Trulambasur Vadh","Jan 8, 1989",4.8,55,"Krishna grows up to an 11-year-old boy. Now he has given up stealing butter; instead he steals the hearts of the young ""Gopinis"". Radha is one such ""Gopini"" who has lost her heart to him.",https://www.imdb.com/title/tt4171014/,tt0158417,"When differences between the Kaurava and the Pandava clans, who belong to the same family line, lead them to the threshold of war, Lord Krishna decides to step in and take control of the situation."
Mahabharat,1,16,Kansa invites Krishna to Mathura,"Jan 15, 1989",5.0,57,"Kansa came to know about the true identity of Krishna, and invited him to Mathura by faking his repentance.",https://www.imdb.com/title/tt4171012/,tt0158417,"When differences between the Kaurava and the Pandava clans, who belong to the same family line, lead them to the threshold of war, Lord Krishna decides to step in and take control of the situation."
Mahabharat,1,17,Kansa vadh,"Jan 22, 1989",5.4,57,"Krishna departs for Mathura. The residents of Mathura have heard of his divine powers and they pay obeisance. Eventually Krishna faces his uncle, Kans.",https://www.imdb.com/title/tt4171016/,tt0158417,"When differences between the Kaurava and the Pandava clans, who belong to the same family line, lead them to the threshold of war, Lord Krishna decides to step in and take control of the situation."
