tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
Modern Family,1,1,Pilot,"Sep 23, 2009",8.2,3700,"Jay must adapt to his young new wife, Gloria and her son. Meanwhile, Claire deals with her own family. Mitchell and Cam decide to adopt a baby.",https://www.imdb.com/title/tt1444504/,tt1442437,Three different but related families face trials and tribulations in their own uniquely comedic ways.
Modern Family,1,2,The Bicycle Thief,"Sep 30, 2009",8.1,3100,"After buying a new bike for his son, Phil ends up lying when it gets stolen. Jay tries bonding with Manny. Cam and Mitchell begin daycare classes for Lily.",https://www.imdb.com/title/tt1492032/,tt1442437,Three different but related families face trials and tribulations in their own uniquely comedic ways.
Modern Family,1,3,Come Fly with Me,"Oct 7, 2009",7.9,2700,"Jay takes Phil on a model-airplane excursion with disastrous results. While Manny is at their house, Claire must get used to the fact they are actually siblings.",https://www.imdb.com/title/tt1520618/,tt1442437,Three different but related families face trials and tribulations in their own uniquely comedic ways.
Modern Family,1,4,The Incident,"Oct 14, 2009",8.2,2800,Jay's ex-wife shows up for the first time following a nasty incident at Gloria and Jay's wedding.,https://www.imdb.com/title/tt1523089/,tt1442437,Three different but related families face trials and tribulations in their own uniquely comedic ways.
Modern Family,1,5,Coal Digger,"Oct 21, 2009",8.2,2700,A conflict between Manny and Luke spreads to their respective parents during a football game.,https://www.imdb.com/title/tt1530593/,tt1442437,Three different but related families face trials and tribulations in their own uniquely comedic ways.
Modern Family,1,6,Run for Your Wife,"Oct 28, 2009",7.8,2500,"Claire and Phil have mixed feelings regarding the first day of school for the kids. Jay and Gloria argue about an outfit for Manny, and a minor problem with Lily gets blown out of proportion by Mitchell and Cameron.",https://www.imdb.com/title/tt1523088/,tt1442437,Three different but related families face trials and tribulations in their own uniquely comedic ways.
Modern Family,1,7,En Garde,"Nov 4, 2009",8.0,2500,"The whole family comes out to support Manny's newfound interest - fencing. It turns out he's quite masterful in the sport, but Jay's proud enthusiasm triggers an old childhood wound for Mitchell. Meanwhile Phil is determined to find where Luke's hidden talents lie.",https://www.imdb.com/title/tt1530594/,tt1442437,Three different but related families face trials and tribulations in their own uniquely comedic ways.
Modern Family,1,8,Great Expectations,"Nov 18, 2009",7.9,2600,"Jay has a sleepover for his grandkids, but Haley is looking for a way out. Claire tries to get a perfect anniversary gift for Phil, and Mitchell and Cameron discover that their ladyfriend is crazy and jealous of their daughter.",https://www.imdb.com/title/tt1530595/,tt1442437,Three different but related families face trials and tribulations in their own uniquely comedic ways.
Modern Family,1,9,Fizbo,"Nov 25, 2009",8.6,2900,"Cameron breaks out his favorite clown costume to make Luke's birthday party a hit. However, a series of accidents causes the party to break into chaos and leads to an unfortunate injury.",https://www.imdb.com/title/tt1528496/,tt1442437,Three different but related families face trials and tribulations in their own uniquely comedic ways.
Modern Family,1,10,Undeck the Halls,"Dec 9, 2009",8.1,2400,Phil and Claire cancel Christmas for their kids until they confess to wrongdoings at the house. Jay is hesitant to celebrate Gloria and Manny's holiday traditions. Mitchell and Cameron take Lily to meet Santa.,https://www.imdb.com/title/tt1536241/,tt1442437,Three different but related families face trials and tribulations in their own uniquely comedic ways.
