tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
Monty Python's Flying Circus,1,1,Whither Canada?,"Oct 5, 1969",8.0,1428,"'It's Wolfgang Amadeus Mozart', Famous Deaths, Italian Lesson, Whizzo Butter, 'It's the Arts', Arthur ""Two-Sheds"" Jackson, Cycling Race, and The Funniest Joke in the World.",https://www.imdb.com/title/tt0758095/,tt0063929,The original surreal sketch comedy showcase for the Monty Python troupe.
Monty Python's Flying Circus,1,2,Sex and Violence,"Oct 12, 1969",7.8,1176,"Flying Sheep, French Lecture on Sheep-Aircraft, A Man With Three Buttocks, A Man With Two Noses, Musical Mice, Marriage Guidance Counselor, The Wacky Queen, Working-Class Playwright, A Scotsman on a Horse, The Wrestling Epilogue, and The Mouse Problem.",https://www.imdb.com/title/tt0758094/,tt0063929,The original surreal sketch comedy showcase for the Monty Python troupe.
Monty Python's Flying Circus,1,3,How to Recognise Different Types of Trees from Quite a Long Way Away,"Oct 19, 1969",8.5,1237,"Court Scene, The Larch, Bicycle Repair Man, Children's Stories, Restaurant Sketch, Seduced Milkmen, Stolen News Reader, Children's Interview, and Nudge Nudge.",https://www.imdb.com/title/tt0650977/,tt0063929,The original surreal sketch comedy showcase for the Monty Python troupe.
Monty Python's Flying Circus,1,4,Owl Stretching Time,"Oct 26, 1969",8.0,1041,A change from street clothes to swim trunks turns into a burlesque act; a karate class exercises defense tactics against fresh fruit; a man tries to buy a book about false teeth.,https://www.imdb.com/title/tt0650986/,tt0063929,The original surreal sketch comedy showcase for the Monty Python troupe.
Monty Python's Flying Circus,1,5,Man's Crisis of Identity in the Latter Half of the 20th Century,"Nov 16, 1969",8.2,1045,"Confuse-a-Cat, The Smuggler, A Duck, a Cat and a Lizard (Discussion), Vox Pops on Smuggling, Police Raid, Letters on Vox Pops, Newsreader Arrested, Erotic Film, Cartoon - Charles Fatless, Silly Job Interview, Careers Advisory Board, Burglar/Encyclopaedia Salesman",https://www.imdb.com/title/tt0758093/,tt0063929,The original surreal sketch comedy showcase for the Monty Python troupe.
Monty Python's Flying Circus,1,6,"The BBC Entry for the Zinc Stoat of Budapest (or, It's the Arts)","Nov 23, 1969",8.0,997,"Sketches include: a German composer with an extraordinarily long name; crooks plan an elaborate scheme to buy a watch; a chocolate-company owner markets ""Crunchy Frog.""",https://www.imdb.com/title/tt0650980/,tt0063929,The original surreal sketch comedy showcase for the Monty Python troupe.
Monty Python's Flying Circus,1,7,You're No Fun Any More,"Nov 30, 1969",7.8,1019,Invaders from another galaxy turn Englishmen into Scotsmen. Also: a comedy about camels; a corporate board meeting.,https://www.imdb.com/title/tt0651004/,tt0063929,The original surreal sketch comedy showcase for the Monty Python troupe.
Monty Python's Flying Circus,1,8,Full Frontal Nudity,"Dec 7, 1969",8.6,1059,A pet-shop customer returns his dead parrot; a gang of female senior citizens attacks a town's young men; a young army officer who joined the service to water-ski tries to resign.,https://www.imdb.com/title/tt0650973/,tt0063929,The original surreal sketch comedy showcase for the Monty Python troupe.
Monty Python's Flying Circus,1,9,The Ant: An Introduction,"Dec 14, 1969",8.4,984,A man with double vision organizes a mountain-climbing expedition; llamas are celebrated in a rousing Spanish song; a barber is afraid to cut hair; a couple's romantic evening is ruined by uncouth visitors.,https://www.imdb.com/title/tt0650993/,tt0063929,The original surreal sketch comedy showcase for the Monty Python troupe.
Monty Python's Flying Circus,1,10,Untitled,"Dec 21, 1969",7.8,913,"Sketches include: Bank Robber in Lingerie Shop, It's a Tree, Ron Obvious, Pet Conversations, Gorilla Librarian, Strangers in the Night",https://www.imdb.com/title/tt0650966/,tt0063929,The original surreal sketch comedy showcase for the Monty Python troupe.
Monty Python's Flying Circus,1,11,The Royal Philharmonic Orchestra Goes to the Bathroom,"Dec 28, 1969",7.9,907,A half-inch-tall man appears on a talk show; a town's women's guild reenacts Pearl Harbor; the entire Royal Philharmonic Orchestra retires to the restroom.,https://www.imdb.com/title/tt0651000/,tt0063929,The original surreal sketch comedy showcase for the Monty Python troupe.
Monty Python's Flying Circus,1,12,The Naked Ant,"Jan 4, 1970",8.4,929,The 127th annual Twit of the Year Show. Also: Hitler and Himmler are guests for tea in a boarding house; a BBC broadcast is interrupted when a British minister falls into a fissure.,https://www.imdb.com/title/tt0650998/,tt0063929,The original surreal sketch comedy showcase for the Monty Python troupe.
Monty Python's Flying Circus,1,13,Intermission,"Jan 11, 1970",8.0,877,"Among ""historical"" impersonations are Cardinal Richelieu as Petula Clark and Julius Caesar as Eddie Waring. Also: a police fairy tale; a vegetarian restaurant's menu, featuring a naked man with an apple in his mouth.",https://www.imdb.com/title/tt0650978/,tt0063929,The original surreal sketch comedy showcase for the Monty Python troupe.
Monty Python's Flying Circus,2,1,Dinsdale!,"Sep 15, 1970",8.6,927,A sketch about the Ministry of Silly Walks. Also: a British minister---attired in a pink tulle dress---talks about housing; 30 gas-company men investigate the installation of a stove; a giant hedgehog wanders London.,https://www.imdb.com/title/tt0650972/,tt0063929,The original surreal sketch comedy showcase for the Monty Python troupe.
Monty Python's Flying Circus,2,2,The Spanish Inquisition,"Sep 22, 1970",9.0,1114,"An offbeat look at the Spanish Inquisition; an unconventional version of ""Wuthering Heights."" Also: a jury plays charades while delivering its verdict; a man attempts to find one nontaxable pleasure.",https://www.imdb.com/title/tt0651001/,tt0063929,The original surreal sketch comedy showcase for the Monty Python troupe.
Monty Python's Flying Circus,2,3,Déjà Vu,"Sep 29, 1970",8.2,830,"Sketches include: Flying Lessons, Hijacked Plane, Psychiatrist Milkman, Complaints, Déjà vu.",https://www.imdb.com/title/tt0650969/,tt0063929,The original surreal sketch comedy showcase for the Monty Python troupe.
Monty Python's Flying Circus,2,4,The Buzz Aldrin Show,"Oct 20, 1970",8.2,825,A supersleuth bishop investigates a suspicious insurance business; an elderly couple construct a house that has no walls.,https://www.imdb.com/title/tt0650995/,tt0063929,The original surreal sketch comedy showcase for the Monty Python troupe.
Monty Python's Flying Circus,2,5,Live from the Grill-o-Mat,"Oct 27, 1970",8.0,795,"Contestants vie for incriminating photos in ""The Blackmail Game""; a boxer spars with schoolgirls.",https://www.imdb.com/title/tt0650982/,tt0063929,The original surreal sketch comedy showcase for the Monty Python troupe.
Monty Python's Flying Circus,2,6,It's a Living,"Nov 3, 1970",7.8,781,"Sketches include: The time on BBC 1, School Prize Giving, Films by Mr. Dibley, Timmy Williams Interview, Election Night Special",https://www.imdb.com/title/tt0650979/,tt0063929,The original surreal sketch comedy showcase for the Monty Python troupe.
Monty Python's Flying Circus,2,7,The Attila the Hun Show,"Nov 10, 1970",7.8,781,"""The Attila the Hun Show""; a burlesque performance by government ministers; a documentary study of village idiots. Also: political groupies pursue MPs.",https://www.imdb.com/title/tt0650994/,tt0063929,The original surreal sketch comedy showcase for the Monty Python troupe.
Monty Python's Flying Circus,2,8,Archaeology Today,"Nov 17, 1970",8.0,775,"A dissatisfied bridegroom tries to exchange his spouse; hunters pursue a terrifying mosquito; domestic problems interrupt the work of Beethoven, Shakespeare, Michelangelo and other creative geniuses.",https://www.imdb.com/title/tt0650967/,tt0063929,The original surreal sketch comedy showcase for the Monty Python troupe.
Monty Python's Flying Circus,2,9,How to Recognise Different Parts of the Body,"Nov 24, 1970",8.1,789,"A University of Woolamaloo philosophy-department meeting---the members of which are all named Bruce; an exploding penguin; a radio version of ""The Death of Mary Queen of Scots."" Also: advice on how to pick up a cosmetic surgeon.",https://www.imdb.com/title/tt0650976/,tt0063929,The original surreal sketch comedy showcase for the Monty Python troupe.
Monty Python's Flying Circus,2,10,Scott of the Antarctic,"Dec 1, 1970",7.7,789,"Foam-rubber snow and a stuffed lion are featured in a scene from ""Scott of the Antarctic""; a football match is waged between gynecologists and Long John Silver impersonators.",https://www.imdb.com/title/tt0650990/,tt0063929,The original surreal sketch comedy showcase for the Monty Python troupe.
Monty Python's Flying Circus,2,11,How Not to Be Seen,"Dec 8, 1970",8.4,787,Conquistador coffee campaign; Repeating groove; Ramsey MacDonald striptease; Job hunter; International Chinese Communist Conspiracy; Crelm Toothpaste/Shrill petrol; Agatha Christie sketch (railway timetables); Mr Neville Shunte - railroad playwright; Gavin Millarrrrr writes; Film director/dentist Martin Curry (teeth); City gents vox pops; 'Crackpot Religions Ltd'; 'How not to be seen'; Crossing the Atlantic on a tricycle; Interview in filing cabinet; 'Yummy yummy'; Monty Python's Flying Circus again in thirty seconds.,https://www.imdb.com/title/tt0786606/,tt0063929,The original surreal sketch comedy showcase for the Monty Python troupe.
Monty Python's Flying Circus,2,12,Spam,"Dec 15, 1970",8.7,827,World revolutionaries are quizzed about football scores; figures from works of art go on strike throughout galleries in England; the search continues for a cure for over-acting; Viking marauders kidnap Englishmen who ask for canned ham.,https://www.imdb.com/title/tt0650991/,tt0063929,The original surreal sketch comedy showcase for the Monty Python troupe.
