tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
Mr Inbetween,1,1,The Pee Pee Guy,"Sep 25, 2018",7.6,591,"A business associate falls from grace, while Ray takes the fall for a mate. A chance meeting in the park and a new apprentice.",https://www.imdb.com/title/tt7493662/,tt7472896,"Ray Shoesmith is a father, ex-husband, boyfriend, brother and best friend, tough roles to juggle in the modern age. Especially when you're also a criminal for hire."
Mr Inbetween,1,2,Unicorns Know Everybody's Name,"Sep 25, 2018",7.8,463,The wrong guy gets the good news and Unicorn's do exist. The first of a thousand kisses and good ole revenge.,https://www.imdb.com/title/tt7493668/,tt7472896,"Ray Shoesmith is a father, ex-husband, boyfriend, brother and best friend, tough roles to juggle in the modern age. Especially when you're also a criminal for hire."
Mr Inbetween,1,3,Captain Obvious,"Oct 2, 2018",8.1,469,"Anger mismanagement and no such thing as Jesus. If you can't kill your own brother-in-law, who can?",https://www.imdb.com/title/tt7493670/,tt7472896,"Ray Shoesmith is a father, ex-husband, boyfriend, brother and best friend, tough roles to juggle in the modern age. Especially when you're also a criminal for hire."
Mr Inbetween,1,4,On Behalf of Society,"Oct 2, 2018",8.4,472,"Ray doesn't like surprises, sit downs, sandwiches, or assholes. Brittany asks tough questions, while Ray hands out trouble to those that seek it.",https://www.imdb.com/title/tt7493672/,tt7472896,"Ray Shoesmith is a father, ex-husband, boyfriend, brother and best friend, tough roles to juggle in the modern age. Especially when you're also a criminal for hire."
Mr Inbetween,1,5,Hard Worker,"Oct 9, 2018",8.3,447,People are not always what they appear to be and a good strong name is important. It's also important to lock your car when you leave it.,https://www.imdb.com/title/tt7493674/,tt7472896,"Ray Shoesmith is a father, ex-husband, boyfriend, brother and best friend, tough roles to juggle in the modern age. Especially when you're also a criminal for hire."
Mr Inbetween,1,6,Your Mum's Got a Strongbox,"Oct 9, 2018",8.9,536,A nutritious breakfast is the key to good health. As is looking in the trunk before stealing a car. People say they do but does anybody really like surprises?,https://www.imdb.com/title/tt7493678/,tt7472896,"Ray Shoesmith is a father, ex-husband, boyfriend, brother and best friend, tough roles to juggle in the modern age. Especially when you're also a criminal for hire."
Mr Inbetween,2,1,Shoulda Tapped,"Sep 12, 2019",8.1,441,Ray don't tap but he gives good advice. Sometimes you have to take the scenic route.,https://www.imdb.com/title/tt9144538/,tt7472896,"Ray Shoesmith is a father, ex-husband, boyfriend, brother and best friend, tough roles to juggle in the modern age. Especially when you're also a criminal for hire."
Mr Inbetween,2,2,Don't Be a Dickhead,"Sep 19, 2019",8.4,435,Ray solves problems but under no circumstances does he answer questions.,https://www.imdb.com/title/tt10934174/,tt7472896,"Ray Shoesmith is a father, ex-husband, boyfriend, brother and best friend, tough roles to juggle in the modern age. Especially when you're also a criminal for hire."
Mr Inbetween,2,3,I Came from Your Balls?,"Sep 26, 2019",8.2,417,Ray and Ally get caught out and good dental hygiene is as important as paying your debts.,https://www.imdb.com/title/tt10944050/,tt7472896,"Ray Shoesmith is a father, ex-husband, boyfriend, brother and best friend, tough roles to juggle in the modern age. Especially when you're also a criminal for hire."
Mr Inbetween,2,4,Monsters,"Oct 3, 2019",8.7,501,Is there really any such thing as monsters?,https://www.imdb.com/title/tt10964082/,tt7472896,"Ray Shoesmith is a father, ex-husband, boyfriend, brother and best friend, tough roles to juggle in the modern age. Especially when you're also a criminal for hire."
