tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
Mr. Robot,1,1,eps1.0_hellofriend.mov,"Jun 24, 2015",9.2,16145,"A notorious hacker takes an interest in cyber security engineer and vigilante styled computer hacker Elliot, while an evil corporation is hacked.",https://www.imdb.com/title/tt4652838/,tt4158110,"Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for."
Mr. Robot,1,2,eps1.1_ones-and-zer0es.mpeg,"Jul 1, 2015",8.5,11393,Elliot is hesitant about fsociety; Elliot is offered a new job; Elliot worries about Shayla's association with Fernando Vera; Ollie is given a CD outside of Allsafe; Mr. Robot makes Elliot talk about his father.,https://www.imdb.com/title/tt4686038/,tt4158110,"Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for."
Mr. Robot,1,3,eps1.2_d3bug.mkv,"Jul 8, 2015",8.2,10124,"Elliot tries to live a bug-free life, but is quickly drawn back in; Tyrell takes matters into his own hands when the CTO position becomes available; Ollie gets blackmailed; Gideon starts getting suspicious of the infected server.",https://www.imdb.com/title/tt4730002/,tt4158110,"Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for."
Mr. Robot,1,4,eps1.3_da3m0ns.mp4,"Jul 15, 2015",8.0,10011,"While dealing with his withdrawal, Elliot suffers a series of hallucinations about his life, while Shayla helps Angela take an unexpected trip.",https://www.imdb.com/title/tt4659980/,tt4158110,"Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for."
Mr. Robot,1,5,eps1.4_3xpl0its.wmv,"Jul 22, 2015",8.5,9046,"Fsociety attempts to penetrate Steel Mountain, the most secure data facility in America, while Angela makes an important decision.",https://www.imdb.com/title/tt4730012/,tt4158110,"Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for."
Mr. Robot,1,6,eps1.5_br4ve-trave1er.asf,"Jul 29, 2015",9.1,10598,"Elliot attempts to hack Vera out of jail in order to save someone he cares about; Tyrell's ""game"" gets crazy; and Angela digs deeper into her mother's death.",https://www.imdb.com/title/tt4730014/,tt4158110,"Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for."
Mr. Robot,1,7,eps1.6_v1ew-s0urce.flv,"Aug 5, 2015",8.5,8594,Elliot misses Shayla. Angela makes a deal with Colby. Sharon Knowles has an encounter with Tyrell.,https://www.imdb.com/title/tt4730018/,tt4158110,"Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for."
Mr. Robot,1,8,eps1.7_wh1ter0se.m4v,"Aug 12, 2015",9.4,12649,Allsafe is hacked and Elliot is meeting White Rose. Tyrell is interrogated by the police and Elliot remembers who he really is.,https://www.imdb.com/title/tt4730026/,tt4158110,"Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for."
Mr. Robot,1,9,eps1.8_m1rr0r1ng.qt,"Aug 19, 2015",9.2,10416,"Elliot has to face the challenges of his past, and become accustomed to his new found family.",https://www.imdb.com/title/tt4799588/,tt4158110,"Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for."
Mr. Robot,1,10,eps1.9_zer0-day.avi,"Sep 2, 2015",8.8,9260,"Another huge discovery for Elliot surrounding his family and fsociety, Tyrell's world starts to close around him and Angela has a rather unexpected visitor.",https://www.imdb.com/title/tt4652854/,tt4158110,"Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for."
Mr. Robot,2,1,eps2.0_unm4sk-pt1.tc,"Jul 10, 2016",8.2,7219,"Elliot keeps seeing his psychologist, Krista. The new character Susan Jacobs is having trouble with technology. Gideon pays a visit to Elliot complaining he's been targeted for a crime Elliot might have committed. Fsociety are back in action, asking E Corp for 5.9 million dollars in 24 hours.",https://www.imdb.com/title/tt4901088/,tt4158110,"Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for."
