tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,encoded_title,show_desc
Naruto: Shippûden,1,1,"Akatsuki, shidô","Oct 28, 2009",8.0,611,"Kakashi gives Naruto and Sakura a test to see how far they had improved. Meanwhile, two Akatsuki members, Deidara and Sasori, arrive at the entrance of the Sunagakure to capture the One-Tailed Shukaku's host, Gaara.",tt0988824,"Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of all ninja in the village."
Naruto: Shippûden,1,2,Kikyô,"Oct 28, 2009",8.3,778,Naruto returns to Konoha after a two-and-a-half-year training journey with Jiraiya and is reunited with Sakura.,tt0988824,"Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of all ninja in the village."
Naruto: Shippûden,1,3,Shûgyô no seika,"Oct 28, 2009",8.0,539,"Sakura and Naruto both demonstrate their newly acquired skills. Meanwhile, Deidara commences his attack on Sunagakure and is confronted by Gaara.",tt0988824,"Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of all ninja in the village."
Naruto: Shippûden,1,4,Suna no jinchûriki,"Oct 28, 2009",8.2,547,"Gaara is quick to detect Deidara's presence, and an aerial battle ensues with Deidara on his giant bird and Gaara atop sand.",tt0988824,"Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of all ninja in the village."
Naruto: Shippûden,1,5,Kazekage to shite...!,"Nov 4, 2009",8.2,514,"Naruto and Sakura defeat Kakashi in the survival challenge. Tsunade assigns them to a three-man squad led by Kakashi, who tells them they are now his equals.",tt0988824,"Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of all ninja in the village."
Naruto: Shippûden,1,6,Noruma kuriâ,"Nov 11, 2009",8.2,508,"In order to protect his village from Deidara's explosive clay, Gaara uses his chakra to create a giant sand shield.",tt0988824,"Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of all ninja in the village."
Naruto: Shippûden,1,7,Shissôre Kankurô,"Nov 18, 2009",7.8,482,"Gaara, his strength completely exhausted, is whisked away by Deidara. Kankuro ignores Baki's efforts to stop him and immediately sets out in pursuit with a platoon to rescue Gaara.",tt0988824,"Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of all ninja in the village."
Naruto: Shippûden,1,8,"Shutsugeki, Kakashi han","Dec 2, 2009",7.7,461,"On her way to the Sand Village, Temari encounters Kakashi and his team. Kakashi admonishes Naruto when he tries to rush ahead...",tt0988824,"Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of all ninja in the village."
Naruto: Shippûden,1,9,Jinchûriki no namida,"Dec 9, 2009",7.6,456,An urgent message from the Sand Village detailing the Akatsuki's kidnapping of the Kazekage reaches the Hidden Leaf Village. Tsunade wastes no time in ordering Team Kakashi to the Sand Village.,tt0988824,"Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of all ninja in the village."
Naruto: Shippûden,1,10,Fûinjutsu: Genryû kyû fûjin,"Dec 16, 2009",7.5,446,"The Sand ninja fight against time to treat Kankuro. Even the Sand's poison expert, Granny Chiyo, is baffled. The only hope lies with the reinforcements sent by Tsunade.",tt0988824,"Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of all ninja in the village."
