tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,encoded_title,show_desc
Nathan for You,1,1,Yogurt Shop/Pizzeria,"Feb 28, 2013",8.2,718,Nathan gets buzz for a yogurt shop by creating a controversial flavor. He also devises a scheme for 8-minute pizza delivery.,tt2297757,"Nathan Fielder uses his business degree and life experiences to help real small businesses turn a profit. But because of his unorthodox approach, Nathan's genuine efforts to do good often draw real people into an experience far beyond what they signed up for."
Nathan for You,1,2,Santa/Petting Zoo,"Mar 7, 2013",8.8,711,"Nathan discovers the professional Santa he's helping has a dark secret and his attempt to market a petting zoo has unexpected results. Also, a teen is caught doing graffiti.",tt2297757,"Nathan Fielder uses his business degree and life experiences to help real small businesses turn a profit. But because of his unorthodox approach, Nathan's genuine efforts to do good often draw real people into an experience far beyond what they signed up for."
Nathan for You,1,3,Clothing Store/Restaurant,"Mar 14, 2013",8.2,598,Nathan encourages a clothing store to allow shoplifting and trains a new assistant. A restaurant owner is surprised when Nathan asks to be included in her will.,tt2297757,"Nathan Fielder uses his business degree and life experiences to help real small businesses turn a profit. But because of his unorthodox approach, Nathan's genuine efforts to do good often draw real people into an experience far beyond what they signed up for."
Nathan for You,1,4,Gas Station/Caricature Artist,"Mar 21, 2013",9.3,803,Nathan helps an independent gas station by devising the world's greatest rebate. He also attempts to make a fledgling caricature artist famous.,tt2297757,"Nathan Fielder uses his business degree and life experiences to help real small businesses turn a profit. But because of his unorthodox approach, Nathan's genuine efforts to do good often draw real people into an experience far beyond what they signed up for."
Nathan for You,1,5,Haunted House/The Hunk,"Mar 28, 2013",8.7,617,Nathan tries to help a struggling haunted house. He also attempts to overcome his fear of the opposite sex by dating ten women at once.,tt2297757,"Nathan Fielder uses his business degree and life experiences to help real small businesses turn a profit. But because of his unorthodox approach, Nathan's genuine efforts to do good often draw real people into an experience far beyond what they signed up for."
Nathan for You,1,6,Funeral Home/Burger Joint/Skydiving,"Apr 4, 2013",8.0,539,"Nathan helps a struggling funeral home, a burger joint is forced to stand by its claim that it has the best burger in Los Angeles, and Nathan goes skydiving.",tt2297757,"Nathan Fielder uses his business degree and life experiences to help real small businesses turn a profit. But because of his unorthodox approach, Nathan's genuine efforts to do good often draw real people into an experience far beyond what they signed up for."
Nathan for You,1,7,The Claw of Shame,"Apr 11, 2013",8.7,608,"In this special episode, Nathan performs a daring escape in which he risks a fate that is truly worse than death, and failed business ideas from the season are showcased.",tt2297757,"Nathan Fielder uses his business degree and life experiences to help real small businesses turn a profit. But because of his unorthodox approach, Nathan's genuine efforts to do good often draw real people into an experience far beyond what they signed up for."
Nathan for You,1,8,Private Investigator/Taxi Company,"Apr 18, 2013",8.6,547,"Nathan puts a private investigator to the test by allowing himself to be spied on for a day, a taxi company is brought a solution for shy customers, and Nathan is forced to include product placement in his show.",tt2297757,"Nathan Fielder uses his business degree and life experiences to help real small businesses turn a profit. But because of his unorthodox approach, Nathan's genuine efforts to do good often draw real people into an experience far beyond what they signed up for."
Nathan for You,2,1,Mechanic; Realtor,"Jul 1, 2014",8.5,539,"Nathan convinces a mechanic to verify his estimates with a polygraph test, and rebrands a realtor to sell only ghost-free homes.",tt2297757,"Nathan Fielder uses his business degree and life experiences to help real small businesses turn a profit. But because of his unorthodox approach, Nathan's genuine efforts to do good often draw real people into an experience far beyond what they signed up for."
Nathan for You,2,2,Souvenir Shop; ELAIFF,"Jul 8, 2014",9.4,730,Nathan's plan to help a Hollywood souvenir shop has surprising consequences.,tt2297757,"Nathan Fielder uses his business degree and life experiences to help real small businesses turn a profit. But because of his unorthodox approach, Nathan's genuine efforts to do good often draw real people into an experience far beyond what they signed up for."
Nathan for You,2,3,Pet Store; Maid Service,"Jul 15, 2014",8.2,489,A pet store is given a new way to advertise; Nathan challenges a maid service to clean a house in six minutes.,tt2297757,"Nathan Fielder uses his business degree and life experiences to help real small businesses turn a profit. But because of his unorthodox approach, Nathan's genuine efforts to do good often draw real people into an experience far beyond what they signed up for."
Nathan for You,2,4,Liquor Store; Exterminator; Car Wash,"Jul 22, 2014",8.4,496,Nathan helps a liquor store sell to underage customers; an exterminator learns how to work discretely.,tt2297757,"Nathan Fielder uses his business degree and life experiences to help real small businesses turn a profit. But because of his unorthodox approach, Nathan's genuine efforts to do good often draw real people into an experience far beyond what they signed up for."
Nathan for You,2,5,Dumb Starbucks,"Jul 29, 2014",9.5,848,Nathan uses parody law to help a struggling coffee shop.,tt2297757,"Nathan Fielder uses his business degree and life experiences to help real small businesses turn a profit. But because of his unorthodox approach, Nathan's genuine efforts to do good often draw real people into an experience far beyond what they signed up for."
