tv,season,episode_number,title,airdate,rating,total_votes,desc,encoded_title
One Piece,1,1,I'm Luffy! The Man Who Will Become the Pirate King!,"Oct 20, 1999",7.8,1800,"Alvida pirates plunder a ship only to find a barrel containing a strange boy names Luffy who is on a quest to find the legendary ""One Piece"" and become the King of Pirates.",tt0388629
One Piece,1,2,"The Great Swordsman Appears! Pirate Hunter, Roronoa Zoro","Nov 17, 1999",7.9,1100,"Luffy and Koby arrive at Shell Island where they meet Roronoa Zoro, a bounty hunter held under arrest by Captain Morgan.",tt0388629
One Piece,1,3,Morgan vs. Luffy! Who's This Beautiful Young Girl?,"Nov 24, 1999",7.8,869,"Luffy convinces Zoro to join her crew, but they must defeat Captain Morgan first. Meanwhile, Koby is accepted as a marine.",tt0388629
One Piece,1,4,Luffy's Past! The Red-haired Shanks Appears!,"Dec 8, 1999",8.5,1200,Luffy reflects on his past and how he came in possession of his Straw Hat.,tt0388629
One Piece,1,5,"Fear, Mysterious Power! Pirate Clown Captain Buggy!","Dec 15, 1999",7.6,752,Nami tricks Luffy into allowing her to turn him over to Buggy as a battle ensues.,tt0388629
One Piece,1,6,Desperate Situation! Beast Tamer Mohji vs. Luffy!,"Dec 29, 1999",7.8,732,After Buggy's defeat Mohji and Richie seek revenge while Luffy meets a small dog guarding his master's store.,tt0388629
One Piece,1,7,Sozetsu Ketto! Kengo Zoro VS Kyokugei no Kabaji!,"Dec 29, 1999",7.7,701,The city's mayor rushes to fight Buggy but the Straw Hat Pirates come to his aid. Zoro fights Cajabi while Luffy faces Buggy himself.,tt0388629
One Piece,1,8,Shousha wa docchi? Akuma no mi no nouryoku taiketsu!,"Dec 29, 1999",7.8,672,Luffy becomes enrages when Buggy rips his straw hat as the battle continues.,tt0388629
One Piece,1,9,Seigi no usotsuki? Kyaputen Usoppu,"Jan 12, 2000",7.3,649,Nami forms an alliance with the Straw Hat Pirates as their navigator as the crew arrives at Syrup Village where they meet Usopp.,tt0388629
One Piece,1,10,Chijou saikyou no hen na yatsu! Saiminjutsushi Jango,"Jan 19, 2000",7.5,624,"Luffy and Usopp learn that Kaya's caretaker, Klahadore pairs up with a strange man plot as they plot to kill her.",tt0388629
One Piece,1,11,Inbou o abake! Kaizoku shitsuji Kyaputen Kuro,"Jan 26, 2000",7.4,606,"After learning of Captain Kuro's evil plan, Usopp runs back to the village to warn Kaya, only to find that after all his years of lying no one believes him.",tt0388629
