tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
Ozark,1,1,Sugarwood,"Jul 21, 2017",8.4,7281,"After his business partner cheats a dangerous client, financial adviser Marty must devise a radical plan to save the lives of himself and his family.",https://www.imdb.com/title/tt5770168/,tt5071412,"A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss."
Ozark,1,2,Blue Cat,"Jul 21, 2017",8.1,5628,"In the Ozarks, Marty struggles to find a local business he can use for money laundering, while his kids make new friends but neglect a crucial duty.",https://www.imdb.com/title/tt5974776/,tt5071412,"A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss."
Ozark,1,3,My Dripping Sleep,"Jul 21, 2017",7.7,5234,"Marty finds a way to control Ruth. Wendy worms her way into a job. Looking for another business to invest in, Marty digs for info on the strip bar.",https://www.imdb.com/title/tt6021898/,tt5071412,"A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss."
Ozark,1,4,Tonight We Improvise,"Jul 21, 2017",8.1,4936,Marty hires Ruth to pull off a heist. Agent Petty forges a relationship with a member of the Langmore family. Jonah exhibits disturbing behavior.,https://www.imdb.com/title/tt6021900/,tt5071412,"A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss."
Ozark,1,5,Ruling Days,"Jul 21, 2017",7.9,4749,"Marty decides to invest in the religious sector, unaware he will disrupt a discreet business operation. A surprise visitor shows up at the Byrde home.",https://www.imdb.com/title/tt6021904/,tt5071412,"A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss."
Ozark,1,6,Book of Ruth,"Jul 21, 2017",8.0,4679,Jacob educates Marty on his business. Ruth devises and sets in motion a deadly plan. Rachel learns Marty is cooking the books at the Blue Cat Lodge.,https://www.imdb.com/title/tt6021906/,tt5071412,"A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss."
Ozark,1,7,Nest Box,"Jul 21, 2017",8.0,4622,"To stop Jacob from carrying out his threat, Marty makes an offer. Agent Petty gets what he needs to turn Russ. Charlotte grows desperate to escape.",https://www.imdb.com/title/tt6021918/,tt5071412,"A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss."
Ozark,1,8,Kaleidoscope,"Jul 21, 2017",7.5,5161,"In a flashback to 10 years prior, Wendy struggles with depression, Del asks Marty to be his financial advisor, and Agent Petty faces a family crisis.",https://www.imdb.com/title/tt6021922/,tt5071412,"A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss."
Ozark,1,9,"Coffee, Black","Jul 21, 2017",8.8,5157,"Russ learns Agent Petty's true identity and makes plans to murder, steal and flee. Wendy stumbles on an ideal business to add to the Byrde portfolio.",https://www.imdb.com/title/tt6021926/,tt5071412,"A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss."
Ozark,1,10,The Toll,"Jul 21, 2017",9.1,6453,"During his next sermon, Mason falters. Wendy and the kids are caught trying to flee their home. Marty brokers a deal between Jacob and Del.",https://www.imdb.com/title/tt6021928/,tt5071412,"A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss."
Ozark,2,1,Reparations,"Aug 31, 2018",8.2,4271,Ruth's dad gets out of jail. Approval for a riverboat casino calls for Wendy's political skills. The Mexican cartel demands reparations from the Snells.,https://www.imdb.com/title/tt7258794/,tt5071412,"A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss."
Ozark,2,2,The Precious Blood of Jesus,"Aug 31, 2018",8.0,3839,"When a mobster jeopardizes the casino bill, Marty enlists Buddy's help. Wendy resorts to dirty tactics to get votes. Cade reminds Ruth of her roots.",https://www.imdb.com/title/tt7757530/,tt5071412,"A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss."
