tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
Peep Show,1,1,Warring Factions,"Nov 12, 2004",7.5,908,Mark and Jeremy compete for the attentions of their attractive neighbor Toni.,https://www.imdb.com/title/tt0672475/,tt0387764,Mark and Jez are a couple of twenty-something roommates who have nothing in common - except for the fact that their lives are anything but normal. Mayhem ensues as the pair strive to cope with day-to-day life.
Peep Show,1,2,The Interview,"Sep 26, 2003",7.9,781,"Mark wants Jeremy to get a job in the same office as him so he can pay his share of the rent, however Jeremy isn't keen on the idea. Mark also worries whether Sophie, a co-worker he fancies, may or may not think he's a Nazi.",https://www.imdb.com/title/tt0672476/,tt0387764,Mark and Jez are a couple of twenty-something roommates who have nothing in common - except for the fact that their lives are anything but normal. Mayhem ensues as the pair strive to cope with day-to-day life.
Peep Show,1,3,On the Pull,"Oct 3, 2003",8.1,744,"Mark and Jeremy go out to a party, where Mark strikes up conversation with a teenage ""goth"". The three go with Toni to a bowling alley, where Mark embarrassingly runs into Sophie, who's going out with a work colleague.",https://www.imdb.com/title/tt0672477/,tt0387764,Mark and Jez are a couple of twenty-something roommates who have nothing in common - except for the fact that their lives are anything but normal. Mayhem ensues as the pair strive to cope with day-to-day life.
Peep Show,1,4,Mark Makes a Friend,"Oct 10, 2003",8.0,715,"Mark begins to forge a partnership with his idol, business guru Alan Johnson, and begins to change his behaviour to be more like Johnson. Meanwhile, a displeased Jeremy tries to think back to ""the bad thing"" he did with Super Hans in a drug-heavy weekend.",https://www.imdb.com/title/tt0672478/,tt0387764,Mark and Jez are a couple of twenty-something roommates who have nothing in common - except for the fact that their lives are anything but normal. Mayhem ensues as the pair strive to cope with day-to-day life.
Peep Show,1,5,Dream Job,"Oct 17, 2003",7.9,661,"Mark is angry at Sophie when she gets promoted for a job instead of him, when she told him she wasn't going to apply for it. Jeremy gets a job at a recording studio, which results in Super Hans having an affair with Toni after he brings her in in order to impress her.",https://www.imdb.com/title/tt0672479/,tt0387764,Mark and Jez are a couple of twenty-something roommates who have nothing in common - except for the fact that their lives are anything but normal. Mayhem ensues as the pair strive to cope with day-to-day life.
Peep Show,1,6,Funeral,"Oct 24, 2003",8.0,651,"Jeremy's uncle dies from terminal illness, providing the perfect opportunity for Mark to ask Sophie to be his date to the funeral. Jeremy finds out his uncle died from a hereditary illness and worries that he might have it.",https://www.imdb.com/title/tt0672480/,tt0387764,Mark and Jez are a couple of twenty-something roommates who have nothing in common - except for the fact that their lives are anything but normal. Mayhem ensues as the pair strive to cope with day-to-day life.
Peep Show,2,1,Dance Class,"Nov 12, 2004",8.5,691,"In order to pull Sophie away from Jeff, Mark hacks into her email account in order to find out her thoughts on him. This leads him into going to her ""Rainbow Rhythms"" dance class. Here Jeremy meets a sexually liberated American girl named Nancy who is determined to break the most bizarre sexual taboos, with the help of Jeremy. However Jeremy becomes jealous when Gwyn, another member of Rainbow Rhythms, begins to attract the nymphomaniacal attentions of Nancy.",https://www.imdb.com/title/tt0672481/,tt0387764,Mark and Jez are a couple of twenty-something roommates who have nothing in common - except for the fact that their lives are anything but normal. Mayhem ensues as the pair strive to cope with day-to-day life.
Peep Show,2,2,Jeremy Makes It,"Nov 19, 2004",8.2,669,"Jeremy runs into an old acquaintance from school who he used to pick on but has become successful now and hires Jeremy to make a soundtrack for a film he's making. Mark makes a new friend at work who turns out to hold a fair amount of prejudice. Meanwhile, Sophie spends time with Jeff.",https://www.imdb.com/title/tt0672482/,tt0387764,Mark and Jez are a couple of twenty-something roommates who have nothing in common - except for the fact that their lives are anything but normal. Mayhem ensues as the pair strive to cope with day-to-day life.
Peep Show,2,3,Local Zero,"Nov 26, 2004",7.7,595,"Jeremy wants to get closer to Nancy so he tries to impress her by joining in her volunteer work for the homeless. However, to Jeremy's dismay, Nancy suggests that in order to break the last sexual taboo, they should stop having sex. Mark manages to get Johnson to pick him to go on a business trip with Sophie instead of Jeff, however trouble begins when embarrassing news footage of himself drinking in a public park makes all Johnson think he is an alcoholic.",https://www.imdb.com/title/tt0672483/,tt0387764,Mark and Jez are a couple of twenty-something roommates who have nothing in common - except for the fact that their lives are anything but normal. Mayhem ensues as the pair strive to cope with day-to-day life.
Peep Show,2,4,University Challenge,"Dec 3, 2004",8.5,686,"Mark meets a girl called April working in a shoe shop with the ideal combination of good looks and low self esteem, and when he returns to see her again he discover that she has gone back to university, which happens to be the same university he and Jeremy went to. And Jeremy is also going there to do a gig with a band, so they both take a trip down to the university. Mark pretends he's signed up to the same history course as April in order to see more of her and begins to shine in his knowledge of the subject matter.",https://www.imdb.com/title/tt0672484/,tt0387764,Mark and Jez are a couple of twenty-something roommates who have nothing in common - except for the fact that their lives are anything but normal. Mayhem ensues as the pair strive to cope with day-to-day life.
Peep Show,2,5,The Man Show,"Dec 10, 2004",7.8,573,"When Sophie tells Mark that she and Jeff are moving in together, she tells him that Jeff wants her to spend less time with him. In a bid to get past this he tries to become friends with Jeff, but Jeremy ends up getting on with Jeff much better than he does. However, Mark gets Jeremy to reveal information about Jeff talking to other women and uses it to ruin his relationship with Sophie.",https://www.imdb.com/title/tt0672485/,tt0387764,Mark and Jez are a couple of twenty-something roommates who have nothing in common - except for the fact that their lives are anything but normal. Mayhem ensues as the pair strive to cope with day-to-day life.
Peep Show,2,6,Wedding,"Dec 17, 2004",8.1,594,"Jeremy agrees to marry Nancy in order to make her eligible for a visa, and whilst she insists it's purely an administrative procedure, Jeremy's sure it will be the happiest administrative procedure of their lives. Mark is pleased to see Sophie and Jeff breaking up but finds it hard to make his move and ends up being set up on a date with another woman. A jealous Toni starts an affair with Jeremy.",https://www.imdb.com/title/tt0672486/,tt0387764,Mark and Jez are a couple of twenty-something roommates who have nothing in common - except for the fact that their lives are anything but normal. Mayhem ensues as the pair strive to cope with day-to-day life.
