tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
Persona,1,1,Episode #1.1,"Mar 17, 2018",8.6,1300,Agâh Beyoglu is upset by his initial diagnosis of Alzheimer. Agâh recognizes that forgotten is an opportunity to commit a murder that he has planned for years but is constantly delaying.,https://www.imdb.com/title/tt8115782/,tt7920978,A man diagnosed with Alzheimer's decides to punish criminals.
Persona,1,2,Episode #1.2,"Mar 17, 2018",8.4,1100,The murder that Agâh had committed is the first ring of a chain of murders. Nevra finds a message on a victim that makes her reconsider resigning from her job.,https://www.imdb.com/title/tt8146014/,tt7920978,A man diagnosed with Alzheimer's decides to punish criminals.
Persona,1,3,Episode #1.3,"Mar 17, 2018",8.4,1000,"An important common point between Nevra's with Agâh, who has been lost in an inquiry filled with dead ends, will emerge.",https://www.imdb.com/title/tt8146022/,tt7920978,A man diagnosed with Alzheimer's decides to punish criminals.
Persona,1,4,Episode #1.4,"Apr 13, 2018",8.8,1000,"It affects not all Agah but all the people around him. A very big surprise awaits Nevra, who spent her birthday with Ates.",https://www.imdb.com/title/tt8242530/,tt7920978,A man diagnosed with Alzheimer's decides to punish criminals.
Persona,1,5,Episode #1.5,"Apr 13, 2018",8.6,930,The clues of the murders made by Agah lead Nevra and Murder office to Kambura. But what they will learn there will increase the question marks in their heads.,https://www.imdb.com/title/tt8244810/,tt7920978,A man diagnosed with Alzheimer's decides to punish criminals.
Persona,1,6,Episode #1.6,"Apr 13, 2018",8.8,957,Agah adds new murders to the murders he has committed. The dark face of the Agah's old friend Cemil begins to emerge. Nevra wants to solve the killings on her own way.,https://www.imdb.com/title/tt8244812/,tt7920978,A man diagnosed with Alzheimer's decides to punish criminals.
Persona,1,7,Episode #1.7,"May 11, 2018",8.3,898,"Agâh is setting up new games for his secrets to not appear, but there is something he does not even know about; changing personality will cause surprise murders.",https://www.imdb.com/title/tt8390372/,tt7920978,A man diagnosed with Alzheimer's decides to punish criminals.
Persona,1,8,Episode #1.8,"May 11, 2018",8.5,887,"As the mysterious ""Dog Killer"" becomes a phenomenon, he goes to a change in his Agah plans and decides to take the big step first.",https://www.imdb.com/title/tt8390390/,tt7920978,A man diagnosed with Alzheimer's decides to punish criminals.
Persona,1,9,Episode #1.9,"May 11, 2018",8.2,886,Nevra believes that she now finds the cause of the murders. So she continues to investigate Kambura with all her might to stop the killings.,https://www.imdb.com/title/tt8390410/,tt7920978,A man diagnosed with Alzheimer's decides to punish criminals.
Persona,1,10,Episode #1.10,"Jun 8, 2018",8.5,890,"Assuming that she found a victim of crime committed in Kambura many years ago, Nevra realizes that she was actually wrong, but she does not leave the trail of this crime and continues to climb over the clues in Kambura.",https://www.imdb.com/title/tt8492808/,tt7920978,A man diagnosed with Alzheimer's decides to punish criminals.
Persona,1,11,Episode #1.11,"Jun 8, 2018",9.1,989,"The war which they gave with the memories of Nevra and Agâh are forcing them. While Agâh can not recall the details of the murders he has committed, Nevra has to rely on her past memories.",https://www.imdb.com/title/tt8492812/,tt7920978,A man diagnosed with Alzheimer's decides to punish criminals.
Persona,1,12,Episode #1.12,"Jun 8, 2018",9.5,1500,It is impossible to escape from confronting facts when everyone is approaching the end in his story. Surprise collaborations will cause great changes in the life of Agâh and Nevra.,https://www.imdb.com/title/tt8492824/,tt7920978,A man diagnosed with Alzheimer's decides to punish criminals.
