tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
Pose,1,1,Pilot,"Jun 3, 2018",8.6,1500,A dancer rejected by his homophobic parents and a family man with a high-paying job find themselves being pulled into the world of ball culture in New York in the late 1980s.,https://www.imdb.com/title/tt7600128/,tt7562112,"In the New York of the late 80s and early 90s, this is a story of ball culture and the gay and trans community, the raging AIDS crisis and capitalism."
Pose,1,2,Access,"Jun 10, 2018",8.5,1122,"Blanca is denied access to a popular bar leading to a purposeful feud. Meanwhile, inexperienced Damon learns the truth about love and sex when he is asked on a date.",https://www.imdb.com/title/tt7637846/,tt7562112,"In the New York of the late 80s and early 90s, this is a story of ball culture and the gay and trans community, the raging AIDS crisis and capitalism."
Pose,1,3,Giving and Receiving,"Jun 17, 2018",8.8,1069,The House of Evangelista celebrates the holidays and prepares for the Snow Ball in spite of Angel's lack of holiday spirit. Elektra contemplates undergoing an affirming medical procedure.,https://www.imdb.com/title/tt7793104/,tt7562112,"In the New York of the late 80s and early 90s, this is a story of ball culture and the gay and trans community, the raging AIDS crisis and capitalism."
Pose,1,4,The Fever,"Jun 24, 2018",8.6,943,Candy's insecurities about her appearance are heightened when she is criticized at a ball. Blanca worries when Damon and Ricky have a medical scare that threatens to tear them apart.,https://www.imdb.com/title/tt7793106/,tt7562112,"In the New York of the late 80s and early 90s, this is a story of ball culture and the gay and trans community, the raging AIDS crisis and capitalism."
Pose,1,5,Mother's Day,"Jul 1, 2018",8.9,972,Blanca is forced to reconnect with her estranged siblings after the death of her mother.,https://www.imdb.com/title/tt7793110/,tt7562112,"In the New York of the late 80s and early 90s, this is a story of ball culture and the gay and trans community, the raging AIDS crisis and capitalism."
Pose,1,6,Love Is the Message,"Jul 8, 2018",9.1,1102,Pray Tell organizes a cabaret for the AIDS ward at a local hospital.,https://www.imdb.com/title/tt7793114/,tt7562112,"In the New York of the late 80s and early 90s, this is a story of ball culture and the gay and trans community, the raging AIDS crisis and capitalism."
Pose,1,7,Pink Slip,"Jul 15, 2018",8.5,851,Blanca makes a startling revelation about Lil Papi that changes the House of Evangelista forever; Elektra rethinks her means of survival when the House of Abundance is evicted from their apartment.,https://www.imdb.com/title/tt7793116/,tt7562112,"In the New York of the late 80s and early 90s, this is a story of ball culture and the gay and trans community, the raging AIDS crisis and capitalism."
Pose,1,8,Mother of The Year,"Jul 22, 2018",9.1,1079,"The ultimate showdown takes place at the Princess Ball, when the House of Evangelista battle against the House of Ferocity and Mother of the Year is decided.",https://www.imdb.com/title/tt7779744/,tt7562112,"In the New York of the late 80s and early 90s, this is a story of ball culture and the gay and trans community, the raging AIDS crisis and capitalism."
Pose,2,1,Acting Up,"Jun 11, 2019",8.8,906,Blanca encourages the House of Evangelista to follow their dreams. Pray Tell joins an activist group to fight for the rights of HIV-positive people.,https://www.imdb.com/title/tt8697000/,tt7562112,"In the New York of the late 80s and early 90s, this is a story of ball culture and the gay and trans community, the raging AIDS crisis and capitalism."
Pose,2,2,Worth It,"Jun 18, 2019",8.5,719,"Determined to be an example to her children, Blanca launches a business venture with unexpected results. Meanwhile, Ricky's travels have unpredicted consequences for his relationship with Damon, and Elektra shocks the ballroom community with a bold move.",https://www.imdb.com/title/tt8697012/,tt7562112,"In the New York of the late 80s and early 90s, this is a story of ball culture and the gay and trans community, the raging AIDS crisis and capitalism."
Pose,2,3,Butterfly/Cocoon,"Jun 25, 2019",8.5,732,"A fatal mishap with a client leads Elektra to seek out the counsel of Blanca and Candy. Meanwhile, moving from friends to lovers proves to be a challenge for Angel and Lil Papi.",https://www.imdb.com/title/tt8697014/,tt7562112,"In the New York of the late 80s and early 90s, this is a story of ball culture and the gay and trans community, the raging AIDS crisis and capitalism."
Pose,2,4,Never Knew Love Like This Before,"Jul 9, 2019",9.1,1237,The Ballroom community is shaken to its core when a valued member is brutally attacked.,https://www.imdb.com/title/tt8697016/,tt7562112,"In the New York of the late 80s and early 90s, this is a story of ball culture and the gay and trans community, the raging AIDS crisis and capitalism."
Pose,2,5,What Would Candy Do?,"Jul 16, 2019",8.1,635,Competition gets the best of Damon and Ricky as they audition for a spot on Madonna's Blonde Ambition tour.,https://www.imdb.com/title/tt8697936/,tt7562112,"In the New York of the late 80s and early 90s, this is a story of ball culture and the gay and trans community, the raging AIDS crisis and capitalism."
Pose,2,6,Love's in Need of Love Today,"Jul 23, 2019",7.6,723,"After falling ill while organizing his annual AIDS Cabaret, PrayTell lands in the hospital leading to a series of unexpected visitors.",https://www.imdb.com/title/tt8697020/,tt7562112,"In the New York of the late 80s and early 90s, this is a story of ball culture and the gay and trans community, the raging AIDS crisis and capitalism."
Pose,2,7,Blow,"Jul 30, 2019",8.1,584,"The House of Evangelista plan a large prank to antagonize Frederica. Meanwhile, Angel is introduced to the unsavory side of modeling.",https://www.imdb.com/title/tt8697022/,tt7562112,"In the New York of the late 80s and early 90s, this is a story of ball culture and the gay and trans community, the raging AIDS crisis and capitalism."
Pose,2,8,Revelations,"Aug 6, 2019",8.6,649,Relationships are irreparably damaged when Damon reveals the secrets others have been hiding.,https://www.imdb.com/title/tt8697024/,tt7562112,"In the New York of the late 80s and early 90s, this is a story of ball culture and the gay and trans community, the raging AIDS crisis and capitalism."
Pose,2,9,Life's a Beach,"Aug 13, 2019",8.8,670,"With Blanca reeling from an unexpected loss, Elektra organizes a girls trip to the shore.",https://www.imdb.com/title/tt10150948/,tt7562112,"In the New York of the late 80s and early 90s, this is a story of ball culture and the gay and trans community, the raging AIDS crisis and capitalism."
Pose,2,10,In My Heels,"Aug 20, 2019",9.1,739,"After a medical set back, Blanca struggles to reassemble the House of Evangelista. Meanwhile, Pray Tell confronts old traumas when an exciting new category is proposed.",https://www.imdb.com/title/tt10150950/,tt7562112,"In the New York of the late 80s and early 90s, this is a story of ball culture and the gay and trans community, the raging AIDS crisis and capitalism."
Pose,3,1,On the Run,"May 2, 2021",8.1,540,"1994. With the AIDS epidemic reaching fever pitch, Blanca finds purpose working as a nurse's aide at Roosevelt hospital alongside her new love, Christopher. But Blanca's history with a new patient leads to a challenging ordeal. Meanwhile, Lemar shakes up the ballroom community when he becomes father to the unruly House of Khan forcing the House of Evangelista to consider reassembling.",https://www.imdb.com/title/tt10504890/,tt7562112,"In the New York of the late 80s and early 90s, this is a story of ball culture and the gay and trans community, the raging AIDS crisis and capitalism."
Pose,3,2,Intervention,"May 2, 2021",8.4,501,"When Pray Tell's alcoholism leads to expected consequences, Blanca stages a much-needed intervention. Meanwhile, Blanca nervously prepares to meet Christopher's parents.",https://www.imdb.com/title/tt13863358/,tt7562112,"In the New York of the late 80s and early 90s, this is a story of ball culture and the gay and trans community, the raging AIDS crisis and capitalism."
Pose,3,3,The Trunk,"May 9, 2021",9.3,634,"After she is unjustly arrested, Elektra convinces Blanca to aid in disposing of the trunk in her closet before law enforcement finds it.",https://www.imdb.com/title/tt13863360/,tt7562112,"In the New York of the late 80s and early 90s, this is a story of ball culture and the gay and trans community, the raging AIDS crisis and capitalism."
Pose,3,4,Take Me to Church,"May 16, 2021",8.6,530,"After a startling health update, Pray Tell returns home to reconnect with his birth family.",https://www.imdb.com/title/tt13863364/,tt7562112,"In the New York of the late 80s and early 90s, this is a story of ball culture and the gay and trans community, the raging AIDS crisis and capitalism."
