tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,encoded_title,show_desc
QI,1,1,Adam,"Sep 11, 2003",7.6,169,"Stephen discusses various topics beginning with 'A', including Adam's navel, with his guests Danny Baker, Hugh Laurie and John Sessions.",tt0380136,"A comedy panel game in which being Quite Interesting is more important than being right. Sandi Toksvig is joined each week by four comedians to share anecdotes and trivia, and maybe answer some questions as well."
QI,1,2,Astronomy,"Sep 11, 2003",7.9,139,"Stephen discusses all things astronomical with his guests Bill Bailey, Rich Hall and Jeremy Hardy.",tt0380136,"A comedy panel game in which being Quite Interesting is more important than being right. Sandi Toksvig is joined each week by four comedians to share anecdotes and trivia, and maybe answer some questions as well."
QI,1,3,Aquatic Animals,"Sep 18, 2003",7.7,129,"Stephen discusses various aquatic animals with his guests Clive Anderson, Bill Bailey and Meera Syal.",tt0380136,"A comedy panel game in which being Quite Interesting is more important than being right. Sandi Toksvig is joined each week by four comedians to share anecdotes and trivia, and maybe answer some questions as well."
QI,1,4,Atoms,"Sep 25, 2003",7.6,123,"Stephen Fry hosts the almost impossible quiz show with guests Alan Davies, Jo Brand, Howard Goodall and Jeremy Hardy. The theme of this edition of the show is atoms and questions range from Argentina to the composition of air.",tt0380136,"A comedy panel game in which being Quite Interesting is more important than being right. Sandi Toksvig is joined each week by four comedians to share anecdotes and trivia, and maybe answer some questions as well."
QI,1,5,Advertising,"Oct 2, 2003",7.7,123,"Stephen Fry hosts the challenging quiz in which points are awarded. Alan Davies, Rob Brydon, Rich Hall and Gyles Brandreth face questions related to advertising - from Aristotle to alcoholics.",tt0380136,"A comedy panel game in which being Quite Interesting is more important than being right. Sandi Toksvig is joined each week by four comedians to share anecdotes and trivia, and maybe answer some questions as well."
QI,1,6,Antidotes,"Oct 9, 2003",7.4,120,"Stephen discusses all things 'A' with his guests Danny Baker, Jo Brand and Howard Goodall, including various antidotes for ailments.",tt0380136,"A comedy panel game in which being Quite Interesting is more important than being right. Sandi Toksvig is joined each week by four comedians to share anecdotes and trivia, and maybe answer some questions as well."
QI,1,7,Arthropods,"Oct 16, 2003",7.7,122,"Stephen discusses all things arthropods with his guests Jo Brand, Jimmy Carr and Jackie Clune.",tt0380136,"A comedy panel game in which being Quite Interesting is more important than being right. Sandi Toksvig is joined each week by four comedians to share anecdotes and trivia, and maybe answer some questions as well."
QI,1,8,Albania,"Oct 23, 2003",7.4,118,"Stephen Fry's discusses what his sporty ancestor have to do with Albania, along with other things beginning with 'A' with his guests Alan Davies, Clive Anderson, Sean Lock, Linda Smith.",tt0380136,"A comedy panel game in which being Quite Interesting is more important than being right. Sandi Toksvig is joined each week by four comedians to share anecdotes and trivia, and maybe answer some questions as well."
QI,1,9,Antelopes,"Oct 30, 2003",7.3,111,"Stephen discusses all things African with his guests Alan Davies, Jo Brand, Dave Gorman and Jeremy Hardy.",tt0380136,"A comedy panel game in which being Quite Interesting is more important than being right. Sandi Toksvig is joined each week by four comedians to share anecdotes and trivia, and maybe answer some questions as well."
QI,1,10,Aviation,"Nov 6, 2003",7.3,109,"Stephen discusses all things aviation with his guests Alan Davies, Rich Hall, Julia Morris and Peter Serafinowicz.",tt0380136,"A comedy panel game in which being Quite Interesting is more important than being right. Sandi Toksvig is joined each week by four comedians to share anecdotes and trivia, and maybe answer some questions as well."
QI,1,11,Arts,"Nov 13, 2003",7.5,113,"Stephen Fry poses questions on the topic of arts to Alan Davies, Linda Smith, Bill Bailey and Richard E. Grant. Questions in this edition include - who invented the telephone and what is the most dangerous animal in Africa?",tt0380136,"A comedy panel game in which being Quite Interesting is more important than being right. Sandi Toksvig is joined each week by four comedians to share anecdotes and trivia, and maybe answer some questions as well."
QI,1,12,Advent,"Dec 23, 2003",7.2,105,"Stephen Fry hosts a festive edition of the quiz show. Alan Davies, Sean Lock, John Sessions and Phill Jupitus attempt to identify the gender of Rudolf the reindeer and guess which Christmas decoration a German village exported worldwide.",tt0380136,"A comedy panel game in which being Quite Interesting is more important than being right. Sandi Toksvig is joined each week by four comedians to share anecdotes and trivia, and maybe answer some questions as well."
QI,1,13,Blue,"Oct 8, 2004",7.8,113,"Colourful host Stephen Fry quizzes contestants Alan Davies, Jo Brand, Bill Bailey and Sean Lock on the topic of blue. Questions on butterflies, beetles and baguettes feature including - what rhymes with orange?",tt0380136,"A comedy panel game in which being Quite Interesting is more important than being right. Sandi Toksvig is joined each week by four comedians to share anecdotes and trivia, and maybe answer some questions as well."
QI,1,14,Birds,"Oct 8, 2004",7.6,106,"Our feathered friends are the subject of this edition of the quite interesting quiz. Stephen Fry asks the questions as Alan Davies, Jo Brand, Phil Kay and Rich Hall forget everything they thought they knew about birds, bills and brothers.",tt0380136,"A comedy panel game in which being Quite Interesting is more important than being right. Sandi Toksvig is joined each week by four comedians to share anecdotes and trivia, and maybe answer some questions as well."
QI,1,15,Bombs,"Oct 15, 2004",7.9,109,"Guests Alan Davies, Clive Anderson, Phill Jupitus and Rich Hall try to avoid being damp squibs as they face questions on the topic of bombs. Host Stephen Fry lights the blue touch paper in an explosive edition of the quiz show.",tt0380136,"A comedy panel game in which being Quite Interesting is more important than being right. Sandi Toksvig is joined each week by four comedians to share anecdotes and trivia, and maybe answer some questions as well."
