tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
Ramayan,1,1,Birth and childhood of Lord Ram,"Jan 25, 1987",9.0,96,The saga of Ramayan Gods' Prayers to Lord Vishnu King Dashrath's yagna invoking blessings for a son Birth and childhood of Shri Ram.,https://www.imdb.com/title/tt4048758/,tt0268093,"An adaptation of the ancient epic, in which the exiled Prince Rama and his brother Laxman set out to save Rama's wife, Sita, who has been kidnapped by the demon king of Lanka Ravana."
Ramayan,1,2,Rama going to Gurukul,"Feb 1, 1987",8.8,62,Childhood of Shri Ram Thread Ceremony of Shri Ram Fundamental education imparted Shri Ram in Gurukul.,https://www.imdb.com/title/tt8976966/,tt0268093,"An adaptation of the ancient epic, in which the exiled Prince Rama and his brother Laxman set out to save Rama's wife, Sita, who has been kidnapped by the demon king of Lanka Ravana."
Ramayan,1,3,Continuing Gurukul,"Feb 8, 1987",8.9,57,Continuation of education in Gurukul Vedanta Invocating praises to Lord Shiv Culmination of education in Gurukul.,https://www.imdb.com/title/tt8976970/,tt0268093,"An adaptation of the ancient epic, in which the exiled Prince Rama and his brother Laxman set out to save Rama's wife, Sita, who has been kidnapped by the demon king of Lanka Ravana."
Ramayan,1,4,Vishwamitra comes to Ayodhya and Ram kills Taraka Rakshasi,"Feb 15, 1987",8.9,54,Return To Ayodhya Vishwamitra requests King Dashrath for his son Ram to accompany him Ram slays Tadka Vishwamitra bestows divine weapons upon Ram Warfare of Ram and Lakshman with Subahu and Mareech.,https://www.imdb.com/title/tt8355472/,tt0268093,"An adaptation of the ancient epic, in which the exiled Prince Rama and his brother Laxman set out to save Rama's wife, Sita, who has been kidnapped by the demon king of Lanka Ravana."
Ramayan,1,5,Ganga Redemption of Ahilya,"Mar 1, 1987",8.8,45,Shri Ram and Lakshman proceed to Mithila Story to the origin of the Ganga Redempion of Ahilya Shri Ram and Lakshman walk through the streets of Mithila.,https://www.imdb.com/title/tt8976972/,tt0268093,"An adaptation of the ancient epic, in which the exiled Prince Rama and his brother Laxman set out to save Rama's wife, Sita, who has been kidnapped by the demon king of Lanka Ravana."
Ramayan,1,6,Ram meets Sita,"Mar 8, 1987",8.9,48,"Janak welcomes Vishwamitra, Ram and Lakshman in Mithila, where Vishwamitra has decided to take a rest. While in there, Ram first sets eyes upon Janak's daughter, Princess Sita; in the royal garden.",https://www.imdb.com/title/tt8976974/,tt0268093,"An adaptation of the ancient epic, in which the exiled Prince Rama and his brother Laxman set out to save Rama's wife, Sita, who has been kidnapped by the demon king of Lanka Ravana."
Ramayan,1,7,Sita's Swayamvara,"Mar 15, 1987",9.1,54,"Seeking a suitable husband for his daughter, Janak holds a Swayamvar. Kings and Princes from all over come to Mithila seeking Sita's hand in marriage, yet fail to pass King Janak's test of stringing the Shiv Dhanush bow.",https://www.imdb.com/title/tt8976976/,tt0268093,"An adaptation of the ancient epic, in which the exiled Prince Rama and his brother Laxman set out to save Rama's wife, Sita, who has been kidnapped by the demon king of Lanka Ravana."
Ramayan,1,8,Sita's swayamvar and Parasuram,"Mar 22, 1987",9.1,47,"Shiv Dhanus was broken by prince Rama when he attempted to string the bow, during the swayamvara of Sita, thereby winning the princess's hand in marriage. After the marriage when his father Dasharatha was returning to Ayodhya with Rama, Parashurama obstructed their path and challenged Rama for breaking his guru Shiva's bow.",https://www.imdb.com/title/tt8355414/,tt0268093,"An adaptation of the ancient epic, in which the exiled Prince Rama and his brother Laxman set out to save Rama's wife, Sita, who has been kidnapped by the demon king of Lanka Ravana."
Ramayan,1,9,Marriage Preparations,"Mar 29, 1987",8.6,43,"King Janak sends word to Ayodhya to inform King Dasharath of the engagement of their two children. Overjoyed, the entire Ayodhya royal family come to Mithila to prepare for the wedding. After further discussion between the two royal families, it is decided that the four princes of Ayodhya will wed the four princesses of Videha.",https://www.imdb.com/title/tt8976980/,tt0268093,"An adaptation of the ancient epic, in which the exiled Prince Rama and his brother Laxman set out to save Rama's wife, Sita, who has been kidnapped by the demon king of Lanka Ravana."
Ramayan,1,10,Ram and Sita's Marriage,"Apr 5, 1987",8.7,43,Ram and Sita are married in a grand ceremony as the whole of Mithila celebrates.,https://www.imdb.com/title/tt8976984/,tt0268093,"An adaptation of the ancient epic, in which the exiled Prince Rama and his brother Laxman set out to save Rama's wife, Sita, who has been kidnapped by the demon king of Lanka Ravana."
