tv,season,episode_number,title,airdate,rating,total_votes,desc,encoded_title
Rick and Morty,1,1,Pilot,"Dec 2, 2013",8.0,13683,A strangely eccentric genius scientist and inventor moves into the home of his daughter and her family and begins to strongly influence his young grandson.,tt2861424
Rick and Morty,1,2,Lawnmower Dog,"Dec 9, 2013",8.7,13730,Rick helps Jerry out with the dog.,tt2861424
Rick and Morty,1,3,Anatomy Park,"Dec 16, 2013",8.4,12494,"It's Christmas. Rick shrinks Morty, injecting him into a homeless man to save Anatomy Park. Jerry tries to have a Christmas free of electronic devices, but regrets his decision when his parents introduce him to their new friend.",tt2861424
Rick and Morty,1,4,M. Night Shaym-Aliens!,"Jan 13, 2014",8.7,12599,Rick and Morty try to get to the bottom of a mystery.,tt2861424
Rick and Morty,1,5,Meeseeks and Destroy,"Jan 20, 2014",9.0,14061,"Rick provides the family with a solution to their problems, freeing him up to go on an adventure led by Morty.",tt2861424
Rick and Morty,1,6,Rick Potion #9,"Jan 27, 2014",9.1,13824,"After Rick gives Morty a love potion for a school dance, things quickly spiral out of control when the serum splices with the flu - causing it to spread. Rick and Morty scramble to cure the crisis, making matters worse in the process.",tt2861424
Rick and Morty,1,7,Raising Gazorpazorp,"Mar 10, 2014",8.0,11601,"Morty becomes a father to an alien baby, while Rick and Summer get trapped in a dangerous dimension.",tt2861424
Rick and Morty,1,8,Rixty Minutes,"Mar 17, 2014",8.8,12843,"Rick hooks up the family's TV with interdimensional cable, allowing them to watch infinite TV from across the multiverse.",tt2861424
Rick and Morty,1,9,Something Ricked This Way Comes,"Mar 24, 2014",8.5,11462,Summer gets a job at a pawn shop owned by the devil. Jerry helps Morty with his science fair project.,tt2861424
Rick and Morty,1,10,Close Rick-counters of the Rick Kind,"Apr 7, 2014",9.4,14465,"Rick, falsely blamed for Murder by the council of Ricks, begins a cross-dimensional pursuit with the authorities while attempting to prove his innocence.",tt2861424
Rick and Morty,1,11,Ricksy Business,"Apr 14, 2014",8.5,11135,Beth and Jerry head for an iceberg of a date leaving Rick in charge. Morty doesn't get to go on any more adventures if the house isn't in the same condition when they get back.,tt2861424
Rick and Morty,2,1,A Rickle in Time,"Jul 26, 2015",8.9,12529,"Having restarted time, Rick, Morty and Summer are in a quantum-uncertain state of existence. An argument leads to the creation of two alternate timelines, which need to be stitched back together fast if they are to escape quantum collapse.",tt2861424
