tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
Samurai Jack,1,1,Episode I - The Beginning,"Aug 10, 2001",8.8,1111,"When the ancient evil Aku returns to terrorize Japan, the emperor's young son is send to distant lands to train in the ways of the warrior. Only then can he wield his fathers magical sword to stop Aku from taking over the world.",https://www.imdb.com/title/tt0768684/,tt0278238,"A samurai, sent through time, fights to return home and save the world."
Samurai Jack,1,2,Episode II - The Samurai Called Jack,"Aug 10, 2001",8.3,850,Aku has transported his mortal samurai enemy into the far future in which Aku rules all. Now the warrior has to find a way back while adjusting to his new surroundings. He also takes a new name: Jack.,https://www.imdb.com/title/tt0834491/,tt0278238,"A samurai, sent through time, fights to return home and save the world."
Samurai Jack,1,3,Episode III - The First Fight,"Aug 10, 2001",8.5,793,"Aku's destroyer beetle drones are closing in on Samurai Jack and the pack of archaeologist dogs, therefore Jack decides to use anything and everything at hand to defend themselves.",https://www.imdb.com/title/tt0834490/,tt0278238,"A samurai, sent through time, fights to return home and save the world."
Samurai Jack,1,4,"Episode IV - Jack, the Woolies and the Chritchellites","Aug 13, 2001",8.0,686,"While hunting for food, Jack helps the tiny Chritchellites recapture an escaped Woolie. But once they invite him back to their village for dinner, Jack begins to suspect an unbalance in the pecking order.",https://www.imdb.com/title/tt0693973/,tt0278238,"A samurai, sent through time, fights to return home and save the world."
Samurai Jack,1,5,Episode V - Jack in Space,"Aug 27, 2001",7.8,631,"Samurai Jack hooks up with a group of scientists who are secretly building a rocket to escape from Aku's service. When they hear about Jack's predicament, the scientist come up with a way to send him back in time.",https://www.imdb.com/title/tt0834488/,tt0278238,"A samurai, sent through time, fights to return home and save the world."
Samurai Jack,1,6,Episode VI - Jack and the Warrior Woman,"Nov 19, 2001",8.2,644,Jack is aided by an equally skilled warrior woman with a dark secret to search for a crystal with magical properties.,https://www.imdb.com/title/tt0834487/,tt0278238,"A samurai, sent through time, fights to return home and save the world."
Samurai Jack,1,7,Episode VII - Jack and the Three Blind Archers,"Aug 20, 2001",9.3,914,Jack learns about a wishing well of King Osric on top of a tower protected by three unbeatable archers and vows to make his way past them.,https://www.imdb.com/title/tt0693957/,tt0278238,"A samurai, sent through time, fights to return home and save the world."
Samurai Jack,1,8,Episode VIII - Jack vs. Mad Jack,"Oct 15, 2001",8.5,659,"Despite a reward of Two Googooplex on his head, no bounty hunter has been able to defeat Samurai Jack, therefore Aku creates an evenly matched mirror image of Jack to battle him.",https://www.imdb.com/title/tt0834489/,tt0278238,"A samurai, sent through time, fights to return home and save the world."
Samurai Jack,1,9,Episode IX - Jack Under the Sea,"Sep 3, 2001",7.9,580,"Samurai Jack ventures into the deep end of the ocean after hearing of a time portal can be found in Oceanis, the sunken underwater city of the Triceraquin.",https://www.imdb.com/title/tt0693968/,tt0278238,"A samurai, sent through time, fights to return home and save the world."
Samurai Jack,1,10,Episode X - Jack and the Lava Monster,"Nov 5, 2001",8.7,665,"Having made his way through a cave filled with booby-traps, Samurai Jack faces a giant lava monster that used to be a viking warrior in days long past.",https://www.imdb.com/title/tt0834484/,tt0278238,"A samurai, sent through time, fights to return home and save the world."
Samurai Jack,1,11,Episode XI - Jack and the Scotsman,"Oct 29, 2001",8.9,738,"Samurai Jack is crossing a seemingly endless rope bridge when he meets another wanted man coming from the other side: the Scotsman. After fighting each other to a stalemate, they are forced to team-up when bounty hunters arrive on the scene and shackle Jack and the Scotsman to each other.",https://www.imdb.com/title/tt0693966/,tt0278238,"A samurai, sent through time, fights to return home and save the world."
Samurai Jack,1,12,Episode XII - Jack and the Gangsters,"Nov 26, 2001",8.0,573,"Samurai Jack gets an offer to join a Thirties style gang of mobsters at the Blue Monkey club and decides to take them up on it so he can get close to Aku. The gang plans to steal something Aku has been unable to obtain: the legendary Neptune Jewel, guarded by Earth, Wind and Fire.",https://www.imdb.com/title/tt0693962/,tt0278238,"A samurai, sent through time, fights to return home and save the world."
Samurai Jack,1,13,Episode XIII - Aku's Fairy Tales,"Dec 3, 2001",8.0,592,"Samurai Jack has become a popular folk hero amongst little children, so Aku decides to spread his own kind of fairy tales that put Jack in a bad light.",https://www.imdb.com/title/tt0834482/,tt0278238,"A samurai, sent through time, fights to return home and save the world."
Samurai Jack,2,1,Episode XIV - Jack Learns to Jump Good,"Mar 1, 2002",8.4,558,"After reaching a time portal only to have Aku move it beyond reach at the last moment, Samurai Jack meets a wild man with extraordinary jumping skills. He offers to learn tribe of monkeys that raised the wild man how to defend themselves if they will in turn teach him how to 'jump good'.",https://www.imdb.com/title/tt0837448/,tt0278238,"A samurai, sent through time, fights to return home and save the world."
Samurai Jack,2,2,Episode XV - Jack Tales,"Mar 8, 2002",8.0,495,"Three scary stories. Jack enters the land of the magic worm to ask it to grant him a magic wish. At night, Jack meets a 'family' of cannibal robots who hunger for his magic sword. Jack tries to rescue a wish giving fairy from captivity by a greedy gargoyle.",https://www.imdb.com/title/tt0837450/,tt0278238,"A samurai, sent through time, fights to return home and save the world."
Samurai Jack,2,3,Episode XVI - Jack and the Smackback,"Mar 15, 2002",8.4,503,Samurai Jack is ambushed while he's sleeping and taken to the Dome of Doom. There he is given the name 'Two Sandles' and has to fight to the death for the spectators amusement.,https://www.imdb.com/title/tt0837461/,tt0278238,"A samurai, sent through time, fights to return home and save the world."
Samurai Jack,2,4,Episode XVII - Jack and the Scotsman II,"Mar 22, 2002",8.5,533,The Scotsman asks Samurai Jack for help him rescue his wife from the Keltic Master o' the Hunt who plans to devour her in the Castle of Bone.,https://www.imdb.com/title/tt0693959/,tt0278238,"A samurai, sent through time, fights to return home and save the world."
Samurai Jack,2,5,Episode XVIII - Jack and the Ultra-Robots,"Mar 29, 2002",8.7,529,Jack follows a path of destruction that leads to a group of Adamantium Ultra-Robots built especially to defeat him.,https://www.imdb.com/title/tt0837463/,tt0278238,"A samurai, sent through time, fights to return home and save the world."
Samurai Jack,2,6,Episode XIX - Jack Remembers the Past,"Apr 5, 2002",8.7,524,"On his journey, Jack happens upon his the place he once called home and begins to recall his childhood there.",https://www.imdb.com/title/tt0837449/,tt0278238,"A samurai, sent through time, fights to return home and save the world."
Samurai Jack,2,7,Episode XX - Jack and the Monks,"Apr 12, 2002",8.5,468,"Having been deprived of yet another gateway to the past and after almost losing his hat, Samurai Jack is unsure if he can still go on. Then he meets three mountain monks and joins them on their quest to climb the mountain of Fathoom.",https://www.imdb.com/title/tt0837459/,tt0278238,"A samurai, sent through time, fights to return home and save the world."
Samurai Jack,2,8,Episode XXI - Jack and the Dragon,"Sep 6, 2002",7.4,449,Jack follows a trail of stench in an effort to rid the land of this sickening smell. It leads him to a spire where a dragon suffers from a stomach ache.,https://www.imdb.com/title/tt0693961/,tt0278238,"A samurai, sent through time, fights to return home and save the world."
Samurai Jack,2,9,Episode XXII - Jack vs. the Five Hunters,"Sep 13, 2002",8.6,503,"Aku hires the best hunters in the universe, the Imakandi, to track down Samurai Jack.",https://www.imdb.com/title/tt0837452/,tt0278238,"A samurai, sent through time, fights to return home and save the world."
Samurai Jack,2,10,"Episode XXIII - Jack vs. Demongo, the Soul Collector","Sep 20, 2002",8.4,463,"Aku unleashes upon Samurai Jack Demongo, who commands the essence of many great warriors who once threatened Aku.",https://www.imdb.com/title/tt0693972/,tt0278238,"A samurai, sent through time, fights to return home and save the world."
Samurai Jack,2,11,Episode XXIV - Jack Is Naked,"Sep 27, 2002",7.4,448,"While bathing, Jack's sword, shoes and clothing are stolen by what looks like a white rabbit. When Jack follows the culprit down a hole, he enters a strange underground realm like none he has ever seen.",https://www.imdb.com/title/tt0693970/,tt0278238,"A samurai, sent through time, fights to return home and save the world."
Samurai Jack,2,12,Episode XXV - Jack and the Spartans,"Oct 4, 2002",9.1,603,Samurai Jack joins 300 Spartans in their age old war against a mad mechanical beast.,https://www.imdb.com/title/tt0693969/,tt0278238,"A samurai, sent through time, fights to return home and save the world."
Samurai Jack,2,13,Episode XXVI - Jack's Shoes,"Oct 11, 2002",8.1,429,"Samurai Jack's sandals are run over and destroyed by three robot bikers. Unable to defeat them without protection on his feet, Jack tries out all the latest footwear from the world famous Foot Chalet. But none are adequate replacements.",https://www.imdb.com/title/tt0693967/,tt0278238,"A samurai, sent through time, fights to return home and save the world."
Samurai Jack,3,1,Episode XXVII - Chicken Jack,"Oct 18, 2002",7.9,429,"Samurai Jack accidentally bumps into an easily irritated wizard, who turns him into a chicken. Before he can catch up with the wicked sorcerer, Chicken Jack is captured and forced to fight for his life in Creature Combat Club.",https://www.imdb.com/title/tt0693958/,tt0278238,"A samurai, sent through time, fights to return home and save the world."
Samurai Jack,3,2,Episode XXVIII - Jack and the Rave,"Nov 1, 2002",8.0,450,Samurai Jack enters a town where all the children have fallen under the spell of Aku's rave music and vows to release every one of them from Aku's evil grasp.,https://www.imdb.com/title/tt0693965/,tt0278238,"A samurai, sent through time, fights to return home and save the world."
Samurai Jack,3,3,Episode XXIX - Couple on a Train,"Nov 8, 2002",8.3,418,Samurai Jack boards a train in the new old West and finds himself cornered by bounty hunter Ezekiel Clench as well as a beautiful filly named Josephine.,https://www.imdb.com/title/tt0693960/,tt0278238,"A samurai, sent through time, fights to return home and save the world."
Samurai Jack,3,4,Episode XXX - Jack and the Zombies,"Oct 25, 2002",9.0,502,Aku leads Samurai Jack towards a graveyard where the undead do the evil shape-shifter's bidding.,https://www.imdb.com/title/tt0693971/,tt0278238,"A samurai, sent through time, fights to return home and save the world."
Samurai Jack,3,5,Episode XXXI - Jack and the Scarab,"Nov 15, 2002",8.7,444,Aku releases the minions of Set who were trapped in ancient Egypt and orders them to destroy Samurai Jack. Luckily Jack knows his way around the pyramids from when he was a boy.,https://www.imdb.com/title/tt0693964/,tt0278238,"A samurai, sent through time, fights to return home and save the world."
Samurai Jack,3,6,Episode XXXII - Jack and the Traveling Creatures,"Apr 26, 2003",8.9,487,Several creatures help Samurai Jack to travel to an island where a time passage is located. However it is protected by an unbeatable warrior. Only the one to defeat this guardian may enter the passage.,https://www.imdb.com/title/tt0837462/,tt0278238,"A samurai, sent through time, fights to return home and save the world."
Samurai Jack,3,7,Episode XXXIII - Jack and the Annoying Creature,"May 3, 2003",7.8,398,Samurai Jack is unable to get rid of a large furry animal that insists on following him.,https://www.imdb.com/title/tt0837455/,tt0278238,"A samurai, sent through time, fights to return home and save the world."
Samurai Jack,3,8,Episode XXXIV - Jack and the Swamp Wizard,"May 10, 2003",8.3,378,An old hermit who lives in a swamp leads Samurai Jack on a quest to unite the three gems of the Titans: the Eye of Chronos and the fists of Might and Ability.,https://www.imdb.com/title/tt0837453/,tt0278238,"A samurai, sent through time, fights to return home and save the world."
