tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,encoded_title,show_desc
Schitt's Creek,1,1,Our Cup Runneth Over,"Feb 11, 2015",7.1,2338,"After losing everything, the Roses are forced to move to their only remaining asset, the town of Schitt's Creek.",tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
Schitt's Creek,1,2,The Drip,"Feb 11, 2015",7.3,1936,Johnny tries to get permission to sell the town; David and Alexis spend a night out with the locals.,tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
Schitt's Creek,1,3,"Don't Worry, It's His Sister","Feb 18, 2015",7.6,1803,"Johnny perceives the town's welcome sign to be obscene, but the townspeople don't agree. Meanwhile, Moira falls into a dark depression after googling herself, David seeks employment and Alexis fawns over Mutt.",tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
Schitt's Creek,1,4,Bad Parents,"Feb 25, 2015",7.5,1661,Alexis does community service with Mutt; Stevie convinces David to sell his clothes; and Moira and Johnny contemplate whether or not they're bad parents after they realize they don't know their children's middle names.,tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
Schitt's Creek,1,5,The Cabin,"Mar 4, 2015",8.0,1676,"When Johnny and Moira use the mayor's cabin for the night, Alexis and David throw a party.",tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
Schitt's Creek,1,6,Wine and Roses,"Mar 11, 2015",7.6,1610,Moira is hired to be a local winery's spokesperson; David struggles with a health problem.,tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
Schitt's Creek,1,7,Turkey Shoot,"Mar 18, 2015",7.6,1535,"David joins some townies on a turkey hunt; Jocelyn and Moira have a spa day; Alexis meets Ted, the town veterinarian.",tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
Schitt's Creek,1,8,Allez-Vous,"Mar 25, 2015",7.4,1480,Moira and David try to sell cosmetics to the locals; Johnny tries to collect unemployment insurance.,tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
Schitt's Creek,1,9,Carl's Funeral,"Apr 8, 2015",7.6,1477,Johnny agrees to speak at a stranger's funeral; Alexis struggles with her boyfriend's love of animals.,tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
Schitt's Creek,1,10,Honeymoon,"Apr 15, 2015",8.0,1512,Johnny and Moira go to Roland's Hawaiian party; Alexis and Ted host a dinner party; David and Stevie's relationship heats up.,tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
Schitt's Creek,1,11,Little Sister,"Apr 22, 2015",7.4,1421,Moira's sister Deedee visits; David agrees to talk to a student about being different.,tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
Schitt's Creek,1,12,Surprise Party,"Apr 29, 2015",7.9,1422,"Johnny tries to plan a surprise party for Moira's birthday, but she ends up taking over his plans.",tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
Schitt's Creek,1,13,Town for Sale,"May 6, 2015",8.1,1441,Johnny finds a potential buyer for the town; David and Alexis realize they have become attached to Schitt's Creek.,tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
Schitt's Creek,2,1,Finding David,"Mar 16, 2016",7.8,1404,"The Roses search for their missing son, David, while Alexis takes her relationship with Mutt to the next level despite technically being engaged to Ted.",tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
Schitt's Creek,2,2,Family Dinner,"Mar 16, 2016",8.0,1361,Moira decides to cook dinner with David's help; Johnny looks at an office for his business; Alexis comes clean with Ted.,tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
Schitt's Creek,2,3,Jazzagals,"Jan 19, 2016",7.6,1293,Moira tries to join the a cappella group; Alexis enjoys her new relationship; Johnny helps out at Bob's Garage.,tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
Schitt's Creek,2,4,Estate Sale,"Jan 26, 2016",7.8,1279,Johnny and Moira go to an estate sale; Mutt gives Alexis a bike; Roland asks for David's help to shop for a special item.,tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
Schitt's Creek,2,5,Bob's Bagels,"Feb 2, 2016",8.0,1293,Johnny convinces himself to have a partnership with Bob; David has an interview at a clothing store; Moira takes care of Alexis.,tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
Schitt's Creek,2,6,Moira vs. Town Council,"Feb 9, 2016",7.8,1257,Moira tries to beautify the town; David misuses the company credit card; a grooming misstep forces Alexis and Mutt to question their relationship.,tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
Schitt's Creek,2,7,The Candidate,"Feb 16, 2016",7.6,1211,Johnny considers running for town council; David and Stevie look for love; Alexis copes with being single.,tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
Schitt's Creek,2,8,Milk Money,"Feb 23, 2016",8.1,1254,Johnny gets thrown into the raw milk business; Moira tries to connect with the townspeople; David gives style advice.,tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
Schitt's Creek,2,9,Moira's Nudes,"Mar 1, 2016",8.3,1266,Moira is worried that racy photos from her past will jeopardize the campaign; Johnny asks for financial help; Alexis gets a job.,tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
Schitt's Creek,2,10,Ronnie's Party,"Mar 8, 2016",7.8,1186,Johnny and Moira meet with a key demographic; Alexis struggles with her new job; David offers emotional support to his boss' daughter.,tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
Schitt's Creek,2,11,The Motel Guest,"Mar 15, 2016",7.9,1204,Johnny and Moira contend with a surprise guest; Alexis and David look for an apartment.,tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
Schitt's Creek,2,12,Lawn Signs,"Mar 22, 2016",8.1,1217,Some of Moira's lawn signs disappear; David and Alexis work to get David's boss out of trouble.,tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
Schitt's Creek,2,13,Happy Anniversary,"Mar 29, 2016",9.1,1894,Johnny and Moira see a couple they knew in a past life; Alexis and David go to Mutt's annual barn party.,tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
Schitt's Creek,3,1,Opening Night,"Jan 10, 2017",8.0,1247,Johnny searches for a new purpose; Moira faces the realities of politics.,tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
Schitt's Creek,3,2,The Throuple,"Jan 17, 2017",8.0,1209,David and Stevie try to come to terms with their new relationship; Alexis and Moira plan a mother/daughter lunch.,tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
Schitt's Creek,3,3,New Car,"Jan 24, 2017",8.3,1236,Johnny and Moira try to get a deal on a used car; David helps Stevie put her great aunt to rest.,tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
Schitt's Creek,3,4,Driving Test,"Jan 31, 2017",7.8,1177,Johnny and Moira worry about the future of the motel; David panics at the thought of retaking his driving test.,tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
Schitt's Creek,3,5,Rooms by the Hour,"Feb 7, 2017",8.0,1190,Johnny puts the motel in jeopardy when he rents rooms to a dubious enterprise; David helps Moira with a film audition.,tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
Schitt's Creek,3,6,Murder Mystery,"Feb 14, 2017",7.6,1154,Johnny and Stevie pitch a deal to a nearby golf course; Moira tries to get out of Twyla's murder mystery party.,tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
Schitt's Creek,3,7,General Store,"Feb 21, 2017",7.8,1156,David comes up with a new business venture; Alexis adjusts to her first day of school.,tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
Schitt's Creek,3,8,Motel Review,"Feb 28, 2017",8.1,1172,"David meets a new friend while setting up his business, Johnny defends Alexis's schoolwork, and Moira deals with a difficult guest at the motel.",tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
Schitt's Creek,3,9,The Affair,"Mar 7, 2017",8.2,1170,Moira and Roland find themselves in a compromising situation. Alexis drives a wedge between David and Patrick.,tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
Schitt's Creek,3,10,Sebastien Raine,"Mar 14, 2017",7.5,1148,David's ex comes to town to do a photoshoot for Moira; Johnny and Roland think Bob is cheating at poker.,tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
Schitt's Creek,3,11,Stop Saying Lice!,"Mar 22, 2017",8.3,1189,Johnny tries to stop the spread of lice; Moira tries to get out of having a garden named after her.,tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
Schitt's Creek,3,12,Friends & Family,"Mar 28, 2017",8.6,1232,Johnny and Moira look for a location for the family portrait; David hosts a soft launch for the new store.,tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
Schitt's Creek,3,13,Grad Night,"Apr 4, 2017",9.0,1566,Johnny and Stevie celebrate having a fully booked hotel; David and Patrick go on a date.,tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
Schitt's Creek,4,1,Dead Guy in Room 4,"Jan 9, 2018",8.1,1193,Moira feels responsible for a hotel guests death; David and Patrick make their romance official.,tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
Schitt's Creek,4,2,Pregnancy Test,"Jan 16, 2018",8.2,1168,"After Johnny finds a pregnancy test in the garbage, everyone assumes Alexis is pregnant. Meanwhile, Stevie offers her apartment to David and Patrick so they can get some alone time.",tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
Schitt's Creek,4,3,Asbestos Fest,"Jan 23, 2018",7.5,1111,"Moira headlines a charity fundraiser, Johnny and Stevie take on a new employee at the motel, and David and Patrick contend with a group of teenage shoplifters.",tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
Schitt's Creek,4,4,Girls' Night,"Jan 30, 2018",7.9,1127,"Moira attempts to push Alexis into the dating scene, Patrick and Stevie confront David about his inflexibility, and new coworker Roland drives Johnny crazy.",tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
Schitt's Creek,4,5,RIP Moira Rose,"Feb 6, 2018",8.3,1153,"A rumor circulates online that Moira is dead, Roland asks Johnny to be his son's godfather, and David and Alexis meet Ted's girlfriend.",tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
Schitt's Creek,4,6,Open Mic,"Feb 27, 2018",9.0,1785,"Patrick hosts an open-mic night in an attempt to lure customers into the store, Alexis works on a marketing strategy for the motel, and Moira accidentally learns the sex of Roland's and Jocelyn's baby.",tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
Schitt's Creek,4,7,The Barbecue,"Mar 6, 2018",8.4,1161,"The Rose family throws a barbecue to celebrate David and Patrick's four-month anniversary, but an unexpected visitor threatens to destroy their relationship. Also, Alexis struggles to find meaning when she gets a random text from Ted.",tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
Schitt's Creek,4,8,The Jazzaguy,"Mar 13, 2018",8.2,1106,"Johnny is warmly embraced by the Jazzagals, David and Stevie take a brief vacation, and Alexis goes out with Ted's rival.",tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
Schitt's Creek,4,9,The Olive Branch,"Mar 20, 2018",8.6,1524,"David tries to rekindle his romance with Patrick, who decides to make him pay for his selfish behavior. Meanwhile, Moira steals Alexis's town council proposal, and Johnny gives Stevie an impractical gift.",tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
Schitt's Creek,4,10,Baby Sprinkle,"Mar 27, 2018",7.9,1104,"Jocelyn bullies David into throwing her a last-minute baby shower, Alexis runs into an old friend, and Moira and Johnny do field research for the town's upcoming singles week.",tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
Schitt's Creek,4,11,The Rollout,"Apr 3, 2018",8.2,1087,Moira tries to get out of jury duty; David runs damage control for a Rose Apothecary product.,tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
Schitt's Creek,4,12,Singles Week,"Apr 10, 2018",9.1,1626,Singles Week kicks off just as Jocelyn's baby is born; Patrick and David take their relationship to the next level.,tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
Schitt's Creek,4,13,"Merry Christmas, Johnny Rose","Dec 19, 2018",8.8,1247,"Johnny is hoping to ring in the holidays with a traditional Rose Christmas party like they used to. However, getting everyone to participate will be easier said than done.",tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
Schitt's Creek,5,1,The Crowening,"Jan 19, 2019",8.1,1188,"While Moira is in Bosnia filming the Crows movie that she hopes will revive her acting career, David attempts to take his relationship with Patrick to new heights.",tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
Schitt's Creek,5,2,Love Letters,"Jan 15, 2019",8.0,1095,Moira loses sleep stressing over old love letters; David and Stevie get held up at the store.,tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
Schitt's Creek,5,3,The Plant,"Jan 22, 2019",8.1,1072,"Alexis is able to secure a reservation at the motel for Emir Kaplan, an influential travel blogger specializing in writing about places and things off the beaten path. Beyond giving him extra special treatment, what Alexis, Johnny, Stevie and Roland decide to do as a team is a ""hire"" a plant as a fellow motel guest to talk up the greatness of the motel to him. With no money actually to hire someone to do this, they decide Stevie would be the best person in this role. Although nervous about doing it, Stevie ends up being good in the job, perhaps a little too good. ...",tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
Schitt's Creek,5,4,The Dress,"Jan 29, 2019",8.0,1042,"With finances already tight, Johnny is hit with a couple of unexpected bills. One is repair of the motel's hot water tank, which if he brought in a professional as Roland suggests instead of trying to fix it himself to save money, may lead to learning that the tank needs to be replaced in its entirety. The other, which is more discretionary in nature, is a $3,700 discounted couture, albeit off the rack, gown that Moira has just purchased to wear at the premiere - whenever it may be - of ""The Crows Have Eyes III"", the premiere at which she needs to look good as her ...",tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
Schitt's Creek,5,5,Housewarming,"Feb 5, 2019",8.5,1175,"Patrick is having a housewarming party he is planning without David's help, the latter who expects it to fail because of it. It doesn't help from David's perspective that Patrick's party theme is high school slumber party instead of the slightly inaccessible higher class theme David had in mind. But in the way of many high school parties, an incident happens during the course of one of the party games between David and an extremely drunk Ted, who has decided to let loose in needing to stay sober for the rest of the week due to an extremely busy work schedule, that is ...",tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
Schitt's Creek,5,6,Rock On!,"Feb 12, 2019",7.8,1048,"The Jazzagals, on Jocelyn's initiative, are going to the Poison rock concert being held at the casino. If only because of how important the concert seemed to be for Jocelyn considering that it is one night out away from the baby, they are dismayed to tell her that the concert has been postponed due to the venue being double booked. To give Jocelyn that night out, they decide to go to the casino anyway. The rock concert may have been more important to Jocelyn than she originally let on, the reason for its importance which Moira tries to satisfy in some other way. Meanwhile, ...",tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
Schitt's Creek,5,7,A Whisper of Desire,"Feb 19, 2019",8.0,1032,Johnny believes Ted's mom is attracted to him. Moira gets involved in a local musical production.,tt3526078,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
