tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
Shameless,1,1,Pilot,"Jan 9, 2011",8.4,3200,Drunken father Frank is of no use to his dysfunctional family; Fiona meets a handsome stranger when her purse is stolen; Lip is shocked to discover his brother Ian is gay.,https://www.imdb.com/title/tt1589573/,tt1586680,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies."
Shameless,1,2,Frank the Plank,"Jan 16, 2011",8.1,2500,"A manhunt ensues after Frank goes on a bender and turns up missing on Friday, the day he never fails to cash his disability check, and turns up in Toronto with no idea how he got there.",https://www.imdb.com/title/tt1717968/,tt1586680,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies."
Shameless,1,3,Aunt Ginger,"Jan 23, 2011",8.4,2400,"Fiona turns her attentions to a cop, Tony, but Steve isn't willing to give up without a fight; Ian is targeted by the brothers of a girl he spurned; the family searches for the elderly aunt who owns their house.",https://www.imdb.com/title/tt1732475/,tt1586680,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies."
Shameless,1,4,Casey Casden,"Jan 30, 2011",8.4,2300,"A sad and lonely Debbie steals a little boy from a birthday party, forcing the family to scheme a way to return him; a web of lies ends in a marriage proposal from Kevin, who is already married.",https://www.imdb.com/title/tt1733025/,tt1586680,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies."
Shameless,1,5,Three Boys,"Feb 6, 2011",8.0,2200,"The family fakes a wedding when they learn Kevin's new fiancee comes with a substantial dowry; Frank deals with bad medical news by spiraling out of control; Steve looks for a new car, with Fiona along for the ride.",https://www.imdb.com/title/tt1744244/,tt1586680,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies."
Shameless,1,6,Killer Carl,"Feb 13, 2011",8.0,2100,Fiona tries to prove the Gallagher home is suitable for rehabilitating a delinquent; Lip gets busted taking the SAT for fellow students; Frank's poor business acumen continues to have negative consequences.,https://www.imdb.com/title/tt1751740/,tt1586680,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies."
Shameless,1,7,"Frank Gallagher: Loving Husband, Devoted Father","Feb 20, 2011",8.3,2100,"Frank takes a risk when goons demand the six grand he owes them; Fiona agrees to a night away with Steve, leaving Liam in agoraphobic Sheila's care; Ian is fed up with Mickey's bullying of Kash.",https://www.imdb.com/title/tt1814411/,tt1586680,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies."
Shameless,1,8,It's Time to Kill the Turtle,"Feb 27, 2011",8.5,2100,"When Frank gives up drinking, Sheila worries he'll no longer be attracted to her, while Carl and Debbie enjoy having their dad back - despite Lip's warning that it won't last; Fiona barely notices that Steve's behaving suspiciously.",https://www.imdb.com/title/tt1812446/,tt1586680,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies."
Shameless,1,9,But at Last Came a Knock,"Mar 6, 2011",8.6,2200,Frank needs his ex-wife's signature to claim some settlement money; Debbie learns that Steve may not be who he says he is; Monica shows up and announces she's taking baby Liam.,https://www.imdb.com/title/tt1812447/,tt1586680,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies."
Shameless,1,10,Nana Gallagher Had an Affair,"Mar 13, 2011",8.5,2000,"Monica's return wreaks havoc on the Gallagher clan, while Frank hits a new low to stop a disability worker from tampering with his benefits.",https://www.imdb.com/title/tt1814409/,tt1586680,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies."
Shameless,1,11,Daddyz Girl,"Mar 20, 2011",8.5,2000,Fiona meets a new friend at Debbie's mothers group; Tony unravels the truth about Steve's car-stealing business; Frank loses his worker's compensation and tasks his kids with finding him a new and promisingly dangerous job.,https://www.imdb.com/title/tt1814410/,tt1586680,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies."
Shameless,1,12,"Father Frank, Full of Grace","Mar 27, 2011",8.9,2200,"Steve tries to convince Fiona to skip town with him while she's trying to get Lip and Ian out of jail; Frank and Karen's secret is revealed, forcing Frank to go into hiding.",https://www.imdb.com/title/tt1812445/,tt1586680,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies."
Shameless,1,13,Summertime,"Jan 8, 2012",8.1,2100,Frank surrenders baby Liam collateral in a lost bet; Fiona thoroughly enjoys her youth as a bartender at a local hot spot; Sheila takes steps to finally leave the house; Debbie runs a daycare with Carl; Ian's business expands.,https://www.imdb.com/title/tt1988453/,tt1586680,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies."
Shameless,1,14,Summer Loving,"Jan 15, 2012",7.9,2000,"Frank seeks new financial footing in fellow bar patron Dottie, whose declining health and city pension makes her attractive; Fiona juggles her job, kids and a burgeoning love life; Jasmine tries to help by setting her up with a sugar daddy.",https://www.imdb.com/title/tt2004908/,tt1586680,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies."
Shameless,1,15,I'll Light a Candle for You Every Day,"Jan 22, 2012",8.1,1900,"Fiona reconnects with her married high school crush, but wonders if her moral compass is leading her astray; Frank is willing to do just about anything to stay in Dottie's good graces, even marry her; Debbie becomes obsessed with death.",https://www.imdb.com/title/tt2108266/,tt1586680,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies."
Shameless,1,16,A Beautiful Mess,"Jan 29, 2012",8.5,1900,Fiona deals with the consequences of sleeping with Craig when his angry wife shows up at the door; agoraphobic Sheila makes it all the way to the hair salon and Frank realizes his days in the Jackson household are numbered.,https://www.imdb.com/title/tt2108267/,tt1586680,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies."
Shameless,1,17,Father's Day,"Feb 5, 2012",8.3,1800,"Frank tries to claim Eddie's insurance benefits and pension, despite being a prime suspect in his death; Fiona attends a ritzy wedding with Richard and lies about her background.",https://www.imdb.com/title/tt2108268/,tt1586680,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies."
Shameless,1,18,Can I Have a Mother,"Feb 12, 2012",8.4,1800,Grammy Gallagher shows up on medical furlough and tries to track down a former meth lab protege that owes her money; Fiona double dates with Steve and his Brazilian girlfriend; Frank discovers the identity of Eddie's insurance beneficiary.,https://www.imdb.com/title/tt2048583/,tt1586680,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies."
Shameless,1,19,A Bottle of Jean Nate,"Feb 19, 2012",8.0,1800,Lip tries to get back in Karen's good graces by crafting a prenuptial agreement for her and Jody; Frank wants to kick Grammy out but Fiona resists until the basement meth lab explodes.,https://www.imdb.com/title/tt2064556/,tt1586680,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies."
Shameless,1,20,Parenthood,"Mar 4, 2012",8.5,1800,"Fiona and Lip make a pact to earn their diplomas, but Lip acts out and is expelled after he realizes Karen plans to sell their baby; with Grammy near death, Frank leaves and walks in on Ian and Mickey locked in passion at the Kash and Grab.",https://www.imdb.com/title/tt2105878/,tt1586680,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies."
Shameless,1,21,Hurricane Monica,"Mar 11, 2012",8.2,1800,"Monica returns to party with Frank, but nobody thinks she's back to stay; Fiona reconsiders kicking Lip out of the house; Frank is determined to claim every penny his mother left behind.",https://www.imdb.com/title/tt2080942/,tt1586680,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies."
Shameless,1,22,A Great Cause,"Mar 18, 2012",8.5,1800,"Fiona starts to plan for her future now that Monica has returned, but her reprieve may be short-lived; Steve conspires to reunite Estefania with her true love so he can be with Fiona; Lip and Ian learn the true identity of Mandy's baby.",https://www.imdb.com/title/tt2093744/,tt1586680,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies."
Shameless,1,23,Just Like the Pilgrims Intended,"Mar 25, 2012",9.1,2400,"A traditional Gallagher family Thanksgiving includes a suicide attempt by Monica, Carl shooting a bald eagle, a case of willing identity theft, a money grab by Frank, and Karen going into labor.",https://www.imdb.com/title/tt2091073/,tt1586680,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies."
Shameless,1,24,Fiona Interrupted,"Apr 1, 2012",8.7,1900,"Frank schemes to break Monica out of the facility, Jimmy earns his way back.",https://www.imdb.com/title/tt2104602/,tt1586680,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies."
Shameless,1,25,El Gran Cañon,"Jan 13, 2013",8.5,1900,"Now that they're living together, Fiona struggles to accept the new ""boring"" Jimmy. Frank wakes up in a place completely foreign to him. Lip is sentenced to community service. Baby Hymie keeps Jody and Sheila up all night.",https://www.imdb.com/title/tt2316912/,tt1586680,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies."
