tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
Sherlock,1,0,Unaired Pilot,"Jun 5, 2011",8.8,11173,"Invalided home from the war in Afghanistan, Dr. John Watson becomes roommates with the world's only ""consulting detective,"" Sherlock Holmes. Within a day their friendship is forged and several murders are solved.",https://www.imdb.com/title/tt1815240/,tt1475582,A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.
Sherlock,1,1,A Study in Pink,"Oct 24, 2010",9.0,30758,"War vet Dr. John Watson returns to London in need of a place to stay. He meets Sherlock Holmes, a consulting detective, and the two soon find themselves digging into a string of serial ""suicides.""",https://www.imdb.com/title/tt1665071/,tt1475582,A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.
Sherlock,1,2,The Blind Banker,"Oct 31, 2010",8.0,26547,"Mysterious symbols and murders are showing up all over London, leading Sherlock and John to a secret Chinese crime syndicate called Black Lotus.",https://www.imdb.com/title/tt1664529/,tt1475582,A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.
Sherlock,1,3,The Great Game,"Nov 7, 2010",9.0,27114,"Mycroft needs Sherlock's help, but a remorseless criminal mastermind puts Sherlock on a distracting crime-solving spree via a series of hostage human bombs through which he speaks.",https://www.imdb.com/title/tt1664530/,tt1475582,A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.
Sherlock,2,1,A Scandal in Belgravia,"May 6, 2012",9.4,38750,Sherlock must confiscate something of importance from a mysterious woman named Irene Adler.,https://www.imdb.com/title/tt1942612/,tt1475582,A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.
Sherlock,2,2,The Hounds of Baskerville,"May 13, 2012",8.3,25785,Sherlock and John investigate the ghosts of a young man who has been seeing monstrous hounds out in the woods where his father died.,https://www.imdb.com/title/tt1942613/,tt1475582,A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.
Sherlock,2,3,The Reichenbach Fall,"May 20, 2012",9.6,37801,Jim Moriarty hatches a mad scheme to turn the whole city against Sherlock.,https://www.imdb.com/title/tt1942614/,tt1475582,A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.
Sherlock,3,0,Many Happy Returns,"Jan 19, 2014",8.5,11420,"John and Lestrade try to move on with their lives after Sherlock's apparent death. However, Anderson believes he is still alive.",https://www.imdb.com/title/tt3381878/,tt1475582,A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.
Sherlock,3,1,The Empty Hearse,"Jan 19, 2014",8.9,29971,Mycroft calls Sherlock back to London to investigate an underground terrorist organization.,https://www.imdb.com/title/tt2189771/,tt1475582,A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.
Sherlock,3,2,The Sign of Three,"Jan 26, 2014",8.9,26844,Sherlock tries to give the perfect best man speech at John's wedding when he suddenly realizes a murder is about to take place.,https://www.imdb.com/title/tt2781042/,tt1475582,A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.
Sherlock,3,3,His Last Vow,"Feb 2, 2014",9.2,29992,"Sherlock goes up against Charles Augustus Magnussen, media tycoon and a notorious blackmailer.",https://www.imdb.com/title/tt2781046/,tt1475582,A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.
Sherlock,4,0,The Abominable Bride,"Jan 1, 2016",8.1,34159,Sherlock Holmes and Dr. Watson find themselves in 1890s London in this Christmas special.,https://www.imdb.com/title/tt3845232/,tt1475582,A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.
Sherlock,4,1,The Six Thatchers,"Jan 1, 2017",7.6,24139,Sherlock takes on the case of finding out who is going around and smashing six unique head statues of late Prime Minister Margaret Thatcher.,https://www.imdb.com/title/tt3538760/,tt1475582,A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.
Sherlock,4,2,The Lying Detective,"Jan 8, 2017",9.1,27014,Sherlock goes up against the powerful and seemingly unassailable Culverton Smith - a man with a very dark secret indeed.,https://www.imdb.com/title/tt3845888/,tt1475582,A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.
Sherlock,4,3,The Final Problem,"Jan 15, 2017",8.2,27142,"A dark secret in the Holmes family rears its head with a vengeance, putting Sherlock and friends through a series of sick, manipulative psychological and potentially fatal games.",https://www.imdb.com/title/tt3845892/,tt1475582,A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.
