tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
Silicon Valley,1,1,Minimum Viable Product,"Apr 6, 2014",7.7,2687,"Richard is a computer programmer. He has to choose between a $10 million deal with Gavin Belson and a $200,000 deal with Peter Gregory, in exchange for his cooperation to make the idea of a super compressing algorithm change the world.",https://www.imdb.com/title/tt3222784/,tt2575988,"Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper."
Silicon Valley,1,2,The Cap Table,"Apr 13, 2014",7.8,2163,"Richard hires Jared to design a business plan. Big Head is asked to work for Gavin Belson, where he discovers that Hooli has stolen the Pied Piper algorithm and calls it Nucleus. Meanwhile Richard struggles to get his money from Gregory.",https://www.imdb.com/title/tt3668816/,tt2575988,"Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper."
Silicon Valley,1,3,Articles of Incorporation,"Apr 20, 2014",8.0,2083,"The guys find themselves in trouble with their company name when they find out it's already taken. So whilst Richard tries to find a solution, Erlich searches for a new name in another dimension of his consciousness.",https://www.imdb.com/title/tt3380250/,tt2575988,"Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper."
Silicon Valley,1,4,Fiduciary Duties,"Apr 27, 2014",7.7,1931,"Richard drunkenly promises to make Erlich a board member, which he regrets the next morning. Big Head finds others at Hooli, who like him, have made careers out of doing nothing. Richard struggles to put Pied Piper's vision into words.",https://www.imdb.com/title/tt3668330/,tt2575988,"Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper."
Silicon Valley,1,5,Signaling Risk,"May 4, 2014",8.3,1980,"Now that Pied Piper is the official company name, Erlich wants a logotype to go with it so he hires a very unexpected artist in for the job. Meanwhile Richard gets a tighter deadline for the project after a simple mistake.",https://www.imdb.com/title/tt3467892/,tt2575988,"Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper."
Silicon Valley,1,6,Third Party Insourcing,"May 11, 2014",8.4,1998,"Richard comes across a problem in the code writing and hires Kevin, a young kid, to write the code for him.",https://www.imdb.com/title/tt3557356/,tt2575988,"Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper."
Silicon Valley,1,7,Proof of Concept,"May 18, 2014",8.5,1995,"Richard has trouble getting Pied Piper ready in time for the TechCrunch Disrupt, while Erlich realizes he slept with the wife of one of the judges of the contest.",https://www.imdb.com/title/tt3388032/,tt2575988,"Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper."
Silicon Valley,1,8,Optimal Tip-To-Tip Efficiency,"Jun 1, 2014",9.3,3628,Pied Piper makes it to the next stage of Disrupt but runs into trouble with Hooli's presentation. The guys break out into a ridiculous argument and Richard tries to pull Pied Piper together before the big presentation.,https://www.imdb.com/title/tt3557358/,tt2575988,"Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper."
Silicon Valley,2,1,Sand Hill Shuffle,"Apr 12, 2015",8.2,1882,Monica deals with her new boss; Richard makes a decision about the company's future.,https://www.imdb.com/title/tt3682540/,tt2575988,"Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper."
Silicon Valley,2,2,Runaway Devaluation,"Apr 19, 2015",7.9,1613,"Richard and the guys struggle to find a backer as they face legal and financial woes. Meanwhile, an old enemy pays Richard a visit.",https://www.imdb.com/title/tt3682600/,tt2575988,"Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper."
Silicon Valley,2,3,Bad Money,"Apr 26, 2015",8.0,1609,"While considering Gavin's proposal, Richard is approached by a billionaire.",https://www.imdb.com/title/tt3682606/,tt2575988,"Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper."
Silicon Valley,2,4,The Lady,"May 3, 2015",7.8,1575,Richard butts heads with Erlich over a prospective hire; Dinesh and Gilfoyle grow suspicious.,https://www.imdb.com/title/tt3682586/,tt2575988,"Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper."
Silicon Valley,2,5,Server Space,"May 10, 2015",8.0,1561,Gavin's interference causes Pied Piper to struggle with securing their expansion.,https://www.imdb.com/title/tt3682590/,tt2575988,"Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper."
Silicon Valley,2,6,Homicide,"May 17, 2015",8.7,1823,Monica encourages the guys to pounce on an opportunity; Erlich reconnects with a former mentee.,https://www.imdb.com/title/tt3682592/,tt2575988,"Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper."
Silicon Valley,2,7,Adult Content,"May 24, 2015",8.4,1584,"With the Pied Piper team fielding job offers, Richard faces the prospect of folding.",https://www.imdb.com/title/tt3682588/,tt2575988,"Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper."
Silicon Valley,2,8,White Hat/Black Hat,"May 31, 2015",8.2,1629,Richard accidentally sparks a feud that leads him to become paranoid about security.,https://www.imdb.com/title/tt3682604/,tt2575988,"Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper."
Silicon Valley,2,9,Binding Arbitration,"Jun 7, 2015",8.7,1684,"Erlich demands to be put on stand as Pied Piper and Hooli enter Arbitration. Richard faces a moral dilemma now that he realizes that Hooli's claim may have successful potential. Meanwhile back at Pied Piper headquarters, Jared, Dinesh and Gilfoyle question a profound theory and its affiliation to their live stream.",https://www.imdb.com/title/tt4185454/,tt2575988,"Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper."
Silicon Valley,2,10,Two Days of the Condor,"Jun 14, 2015",9.2,2320,"The verdict on Pied Piper's fate coincides with a startling real-life drama that makes their livestream immensely popular, and emotions run high as the gang tries to keep the company together.",https://www.imdb.com/title/tt4185460/,tt2575988,"Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper."
Silicon Valley,3,1,Founder Friendly,"Apr 24, 2016",8.1,1640,"After being unceremoniously fired, an angry Richard faces a tough decision: accept the diminished role of CTO, or leave Pied Piper for good. Erlich takes a shine to Jack Barker, Laurie's new choice of CEO, while Dinesh and Gilfoyle weigh their options in Richard's absence. At Hooli, Gavin tries to improve his image by admitting failure, and Big Head gets wind of major changes.",https://www.imdb.com/title/tt4633480/,tt2575988,"Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper."
Silicon Valley,3,2,Two in the Box,"May 1, 2016",8.0,1462,"The new and improved Pied Piper impresses Dinesh and Gilfoyle, but worries Richard; Jared and Erlich face housing issues; Gavin suggests a controversial move.",https://www.imdb.com/title/tt5218398/,tt2575988,"Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper."
Silicon Valley,3,3,Meinertzhagen's Haversack,"May 8, 2016",8.6,1620,Richard searches for a way around Jack; Gilfoyle opens himself up to recruiters; Dinesh draws unwanted attention from a recent purchase.,https://www.imdb.com/title/tt5218400/,tt2575988,"Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper."
Silicon Valley,3,4,Maleant Data Systems Solutions,"May 15, 2016",8.6,1501,The Pied Piper guys struggle to phone it in; Erlich faces competition; Monica takes a stand; Gavin makes a decision about Nucleus.,https://www.imdb.com/title/tt5218414/,tt2575988,"Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper."
