tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
Southland,1,1,Unknown Trouble,"Apr 9, 2009",8.1,471,A rookie LAPD cop has a very busy shift on his first day in the field while a seasoned detective handles an apparent kidnapping involving a young girl.,https://www.imdb.com/title/tt1406935/,tt1299368,The lives of Police Officers working for the Los Angeles Police Department.
Southland,1,2,Mozambique,"Apr 16, 2009",7.6,328,"Ben Sherman begins to believe all the accolades coming his way, clouding his judgment. Bryant and Moretta try to keep their witness alive. Lydia Adams bonds with a baby found crawling in an intersection.",https://www.imdb.com/title/tt1402973/,tt1299368,The lives of Police Officers working for the Los Angeles Police Department.
Southland,1,3,See the Woman,"Apr 23, 2009",7.6,304,"Ben reveals details of his past and why he chose to be a cop to Cooper. Meanwhile, Dewey's friendship with a burnt-out actor causes a rift in his partnership with Chickie.",https://www.imdb.com/title/tt1406932/,tt1299368,The lives of Police Officers working for the Los Angeles Police Department.
Southland,1,4,Sally in the Alley,"Apr 30, 2009",7.8,284,"When an unidentified female body turns up in an alley, Gang Detectives Sammy and Nate have their work cut out for them. Nate searches for a missing relative, and reveals a secret.",https://www.imdb.com/title/tt1406931/,tt1299368,The lives of Police Officers working for the Los Angeles Police Department.
Southland,1,5,Two Gangs,"May 7, 2009",8.0,286,"Cooper & Sherman have a bad shift. Salinger, distracted by speed racers, crashes his car. The racers steal his gun and he gets a 12 hour deadline to find it before the thing becomes official. In the search, something bigger is found.",https://www.imdb.com/title/tt1406934/,tt1299368,The lives of Police Officers working for the Los Angeles Police Department.
Southland,1,6,Westside,"May 14, 2009",7.8,277,Lydia and Russell investigate jewelry thieves who have been robbing Bel Air homes. Ben discovers that he knows one of the home invasion victims and finds himself breaking police policy by becoming personally involved. Gang detective Sammy decides to ensure the safety of a key witness (Carla Jeffery) in a gangland trial by taking her to his home.,https://www.imdb.com/title/tt1416059/,tt1299368,The lives of Police Officers working for the Los Angeles Police Department.
Southland,1,7,Derailed,"May 21, 2009",8.6,312,The body of a dead gang member is discovered; Detective Salinger and his daughter grow further apart; Detective Bryant asks Detective Adams to take in shooting witness Janila.,https://www.imdb.com/title/tt1432715/,tt1299368,The lives of Police Officers working for the Los Angeles Police Department.
Southland,2,1,Phase Three,"Mar 2, 2010",8.3,268,"Ben Sherman is about to complete Phase 2 of his rookie year. During Phase 3, he will be allowed to patrol solo. Detective Adams and Officer Brown are assigned new partners. Rene Cordero, Adams's new partner, is obsessed with receiving glory and press coverage. Their first case involves the search for an elderly man who left his home accompanied by an unknown black man. Brown's new partner, ""Slug"" Ferguson, quickly demonstrates how he earned that nickname when he starts a riot during a traffic stop. Meanwhile, Detectives Moretta and Bryant investigate a ""Sonora ...",https://www.imdb.com/title/tt1503508/,tt1299368,The lives of Police Officers working for the Los Angeles Police Department.
Southland,2,2,Butch & Sundance,"Mar 9, 2010",8.0,241,"Ben suspects his mentor Cooper is getting addicted to painkillers, but can't do anything about it. They find Dr. Rich Ryerson badly wounded outside his looted fine home, where his wife and daughters were bloodily slaughtered. Detective Rene Cordero braves Lydia's prejudiced contrariness to find out about the killer and his boss trough a rehab clinic. Detective Sammy Bryant has joined partner Nate Moretta in his ex-partner's drug task force, mainly for stake-outs, which reveal Nate's daughter is hooked up with a Trinney Day gang suspect. Ben is not amused when his ...",https://www.imdb.com/title/tt1533520/,tt1299368,The lives of Police Officers working for the Los Angeles Police Department.
Southland,2,3,U-Boat,"Mar 16, 2010",8.6,258,"Ben Sherman finally gets to drive his own patrol car when mentor Cooper acts instead as partner for a female colleague, whose shocking incompetence he demonstrates and scolds mercilessly. Ben is shocked but powerless when he sees a bully father 'punish' his gentle son for being a 'sissy victim' of street rabble by imposing front garden chores in female underwear. Ben smartly questions a Korean couple and their young son Matthew whose sister is missing and learns enough to find her. Cordero told Lydia not to be allover recovering Russell, but she only believes it when ...",https://www.imdb.com/title/tt1533521/,tt1299368,The lives of Police Officers working for the Los Angeles Police Department.
Southland,2,4,The Runner,"Mar 23, 2010",8.1,261,"Ben graciously volunteers to accompany Cooper on a visit in rehab to Dewey and afterward to the funeral of John's former partner, who got addicted to alcohol. Lydia Adams's prejudices and mean attitude are all over the place when she and her new partner must investigate the death near her parents' home of a student and college athlete from a dead-end Afro-American ghetto. She had an affair with a football star, but also turned to drugs from street dealers, wasted her studies, got pregnant and has a disastrous rapport with her ambitious parents and elder sister. A ...",https://www.imdb.com/title/tt1524844/,tt1299368,The lives of Police Officers working for the Los Angeles Police Department.
