tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,encoded_title,show_desc
Steins;Gate,1,1,Prologue to the Beginning and End,"Apr 6, 2011",7.6,1200,A scientist can't recall events that others claim he experienced.,tt1910272,"After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans."
Steins;Gate,1,2,Time Travel Paranoia,"Apr 13, 2011",7.7,1100,Okabe is surprised to see Makise up and about after she was killed.,tt1910272,"After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans."
Steins;Gate,1,3,Parallel Process Paranoia,"Apr 20, 2011",7.8,1000,Okabe suspects his microwave oven is behind the recent unusual events.,tt1910272,"After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans."
Steins;Gate,1,4,Interpreter Rendezvous...,"Apr 27, 2011",7.5,1000,Okabe needs to find a very old computer to hack a very new tech.,tt1910272,"After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans."
Steins;Gate,1,5,Starmine Rendezvous,"May 4, 2011",8.2,1000,A successful hack reveals SERN's big secret.,tt1910272,"After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans."
Steins;Gate,1,6,Butterfly Effect's Divergence,"May 11, 2011",7.8,1000,Okabe's small scale experiment is partially successful.,tt1910272,"After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans."
Steins;Gate,1,7,Divergence Singularity,"May 18, 2011",8.5,990,"Okabe takes his experimentation to the next level by texting the winning lotto numbers back in time, but he fails to consider how his actions might alter the present - or the future.",tt1910272,"After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans."
Steins;Gate,1,8,Chaos Theory Homeostasis I,"May 25, 2011",8.2,956,"The latest experiment for Okabe and his lab mates leads to the disappearance of one of their own. Next, they'll attempt to use their time travel technology to make a young boy's dream a reality.",tt1910272,"After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans."
Steins;Gate,1,9,Chaos Theory Homeostasis II,"Jun 1, 2011",8.4,977,"Okabe grows concerned over the drastic changes his experimentation is causing, and the IBN-5100 disappears from the lab. The only hope for finding a replacement rests upon the delicate shoulders of Feyris the cat girl.",tt1910272,"After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans."
Steins;Gate,1,10,Chaos Theory Homeostasis III,"Jun 8, 2011",8.2,941,"The part-time warrior from downstairs tells Okabe about the search for her missing father. Meanwhile, the aspiring mad scientist is troubled by a mysterious text message.",tt1910272,"After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans."
